title,artist,date,word,language
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,moo,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,실례지만,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,내게,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,뭐가,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,묻은,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,거니,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,니,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,눈빛에,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,내가,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,헷갈리잖니,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,mamamoo,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,mamamoo,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,거기,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,mr애매모호,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,쳐다만,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,보지,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,말고,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,좀,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,더,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,다가와,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,봐,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,쉿,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,뭐,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,지금,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,저한테,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,관심,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,있으세요,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,there,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,is,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,a,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,boy,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,hello,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,mr애매모호,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,애매모호,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,니,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,덫에,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,걸린,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,난,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,애정결핍,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,여우,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,mamamoo,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,mamamoo,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,거기,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,mr애매모호,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,찔러보지만,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,말고,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,저질러봐,ko
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,now,en
Mr. Ambiguous (Mr.애매모호) ,MAMAMOO (마마무),2014-06-18,신사숙녀,ko
