title,artist,date,word,language
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,sky,en
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,land,en
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,sea,en
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,once,en
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,upon,en
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,a,en
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,time,en
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,사랑에,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,빠진,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,한,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,소녀가,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,있었는데,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,참,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,유난스럽게,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,막,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,재잘재잘,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,대,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,뭐,en
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,지,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,혼자,ko
mumumumuch (하늘 땅 바다만큼) ,MAMAMOO (마마무),2021-09-20,사랑하는양,ko
