title,artist,date,word,language
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩가할래,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,친구들,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,모아,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,한잔,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,할래,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,drink,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,like,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,a,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,like,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,a,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,like,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,a,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,fish,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,링가링,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,노는,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,게,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,좋아,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,yeah,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩가,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩가,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,ice,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,cream,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,먹으러,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,갈래,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,나나나나나,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩가,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,유유자적해,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,여기,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,방구석에,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,언제부터인지,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,사회와의,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,거리가,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,꽤나,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,멀지,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,이,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,여름이,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,다,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,지났네,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,차가운,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,땀이,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,나네,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,밤이나,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,또,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,낮이나,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,제자리만,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,돌고,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,돌아,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,부족해,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,비타민,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,d,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,아까워요,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,delivery,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,fee,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,하필,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,완벽하네,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,날씨,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,청개구리,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,난,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,원래,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,집순이야,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,"",en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,휘인,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,"",en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,문별,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,"",en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,내,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,친구는,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,날파리고,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,"",en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,휘인,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,"",en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,문별,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,"",en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,외로움만,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,쌓이죠,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,해독할,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,시간이,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,필요해,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩가할래,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,친구들,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,모아,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,한잔,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,할래,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,drink,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,like,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,a,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,like,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,a,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,like,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,a,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,fish,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,링가링,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,노는,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,게,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,좋아,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,yeah,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩가,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,딩가딩가,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,ice,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,cream,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,먹으러,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,갈래,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,나나나나나,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,1,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,2,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,3,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,4,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,네,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,앞을,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,봐,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,왜,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,다들,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,화나,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,있어,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,요즘,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,너무,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,삭막해,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,그저,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,달콤한,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,휴식이,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,필요해,ko
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,i,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,need,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,to,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,love,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,myself,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,all,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,i,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,need,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,is,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,your,en
Dingga (딩가딩가) ,MAMAMOO,2020-10-21,heart,en
