title,artist,date,word,language
Egotistic (너나 해) ,MAMAMOO,2018-07-16,위성,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,네,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,주윌,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,맴돌지,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,그렇다고,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,네가,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,태양은,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,아니니,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,너의,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,멋대로,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,중심이,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,돼,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,제멋대로,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,굴면,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,안,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,돼,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,어떻게,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,한순간의,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,떨림이,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,소리,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,없이,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,너의,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,두,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,눈을,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,가리니,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,너의,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,뜻대로,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,흘러가네,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,내게,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,상처를,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,주면,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,안,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,돼,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,넌,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,네,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,생각만,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,하지,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,그래,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,뭐,en
Egotistic (너나 해) ,MAMAMOO,2018-07-16,그게,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,참,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,당연한,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,듯이,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,어리석게,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,너에게만,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,맞춰,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,왔던,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,게,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,날,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,괴롭히네,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,마지막까지,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,외롭게,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,해,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,할,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,말이,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,없어,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,go,en
Egotistic (너나 해) ,MAMAMOO,2018-07-16,away,en
Egotistic (너나 해) ,MAMAMOO,2018-07-16,설명이,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,더,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,필요해,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,화를,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,내도,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,내,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,입만,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,아프다니까,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,넌,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,멋대로만,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,해,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,난,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,언제나,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,너너너너,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,해,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,넌,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,언제나,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,나나나나,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,해,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,휘다,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,움띠야이야,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,띠야이야,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,네,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,멋대로,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,중심이,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,돼,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,넌,ko
Egotistic (너나 해) ,MAMAMOO,2018-07-16,너만,ko
