title,artist,date,word,language
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,hey,en
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,one,en
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,two,en
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,three,en
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,밤이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,깊어져,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,단둘이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,밤이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,길어져,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,열두시가,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,뭐가,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,문제야,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일낼라,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,해,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일낼라,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,해,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,골목길,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,밤은,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,깊어지고,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,달빛이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,꽉,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,차올라,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,woo,en
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,이리야,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일낼라,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,해,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일낼라,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일내,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,yeah,en
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,해가,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,뜨기,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,전에,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,난,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,너를,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,떠보고,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,싶은,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,오늘,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,밤,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,날까,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일이나,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,낼까,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,별이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,빛나는,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,밤에,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,너의,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,눈빛에,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,취하고,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,있어,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,아닌,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,척해도,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,티가,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,나,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,점점,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,날까,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,일이나,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,낼까,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,모두,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,잠든,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,밤에,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,밤은,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,다크나이트,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,또,en
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,논란이,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,따라와,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,화끈하게,ko
ILLELLA (일낼라) ,MAMAMOO,2022-10-11,dont,en
