title,artist,date,word,language
New York ,MAMAMOO,2016-09-20,it,en
New York ,MAMAMOO,2016-09-20,이,ko
New York ,MAMAMOO,2016-09-20,밤,ko
New York ,MAMAMOO,2016-09-20,잠들,ko
New York ,MAMAMOO,2016-09-20,수,ko
New York ,MAMAMOO,2016-09-20,없는,ko
New York ,MAMAMOO,2016-09-20,이유,ko
New York ,MAMAMOO,2016-09-20,있어,ko
New York ,MAMAMOO,2016-09-20,별빛도,ko
New York ,MAMAMOO,2016-09-20,잠든,ko
New York ,MAMAMOO,2016-09-20,지금,ko
New York ,MAMAMOO,2016-09-20,hello,en
New York ,MAMAMOO,2016-09-20,남들과,ko
New York ,MAMAMOO,2016-09-20,다른,ko
New York ,MAMAMOO,2016-09-20,시간대,ko
New York ,MAMAMOO,2016-09-20,산다면,ko
New York ,MAMAMOO,2016-09-20,lets,en
New York ,MAMAMOO,2016-09-20,hang,en
New York ,MAMAMOO,2016-09-20,out,en
New York ,MAMAMOO,2016-09-20,make,en
New York ,MAMAMOO,2016-09-20,it,en
New York ,MAMAMOO,2016-09-20,loud,en
New York ,MAMAMOO,2016-09-20,ooh,en
New York ,MAMAMOO,2016-09-20,yeah,en
New York ,MAMAMOO,2016-09-20,시간,ko
New York ,MAMAMOO,2016-09-20,낭비야,ko
New York ,MAMAMOO,2016-09-20,그저,ko
New York ,MAMAMOO,2016-09-20,그런,ko
New York ,MAMAMOO,2016-09-20,고민,ko
New York ,MAMAMOO,2016-09-20,247,en
New York ,MAMAMOO,2016-09-20,벨트,ko
New York ,MAMAMOO,2016-09-20,매,ko
New York ,MAMAMOO,2016-09-20,grab,en
New York ,MAMAMOO,2016-09-20,me,en
New York ,MAMAMOO,2016-09-20,내,ko
New York ,MAMAMOO,2016-09-20,맘대로,ko
New York ,MAMAMOO,2016-09-20,할거야,ko
New York ,MAMAMOO,2016-09-20,나만,ko
New York ,MAMAMOO,2016-09-20,믿고,ko
New York ,MAMAMOO,2016-09-20,따라와,ko
New York ,MAMAMOO,2016-09-20,are,en
New York ,MAMAMOO,2016-09-20,you,en
New York ,MAMAMOO,2016-09-20,ready,en
New York ,MAMAMOO,2016-09-20,to,en
New York ,MAMAMOO,2016-09-20,fly,en
New York ,MAMAMOO,2016-09-20,whats,en
New York ,MAMAMOO,2016-09-20,up,en
New York ,MAMAMOO,2016-09-20,new,en
New York ,MAMAMOO,2016-09-20,york,en
