title,artist,date,word,language
Rainy Season (장마) ,MAMAMOO,2018-07-01,rainy,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,day,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,헤어지기엔,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,아직은,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,좀,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,이른,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,듯해,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,why,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,why,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,why,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,이,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,새벽에,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,덩그러니,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,남겨져,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,버린,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,내,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,기분은,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,down,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,down,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,down,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,우산이,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,필요해,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,어설픈,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,위로에,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,나아질,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,것,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,같지,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,않아,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,애써,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,견디려,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,해,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,눈물을,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,보이면,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,멈출,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,것,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,같지,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,않아,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,시간은,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,느리게,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,흐르는데,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,멀어지는,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,너의,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,걸음은,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,빨라,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,oh,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,right,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,now,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,꿈이라면,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,깨고파,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,넌,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,미련하나,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,없이,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,끝,en
Rainy Season (장마) ,MAMAMOO,2018-07-01,인사를,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,건네,ko
Rainy Season (장마) ,MAMAMOO,2018-07-01,달콤하게,ko
