title,artist,date,word,language
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,이리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,와,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,폰은,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,저리,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,치워,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,끼는,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,좀,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,더,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,부려,ko
gogobebe (고고베베) ,MAMAMOO,2019-03-14,골치,ko
