title,artist,date,word,language
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왔니,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왔니,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왔니,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,우리,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,집에,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왔니,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왔니,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,난,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,집에,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,가야돼,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,12시가,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,되면,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,걷기도,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,싫은데,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,나,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,좀,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,데려다,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,줄래,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,오,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,내,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,정신,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,좀,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,봐,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,봐,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,어지럽나봐,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,나는,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,그대론데,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,어쩜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,주위만,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,빙빙,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,돌고,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,있는지,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,우리,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,집,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,안까지,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,들어와도,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,돼,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,왜,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,계속,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,끝까지,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,서,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,있기만,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,해,ko
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,i,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,need,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,you,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,i,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,need,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,you,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,i,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,want,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,you,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,i,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,want,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,you,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,i,en
Why Did You Come To My Home? (우리 집에 왜 왔니?) ,MINX (밍스),2014-09-22,got,en
