title,artist,date,word,language
Love Shake ,MINX,2015-07-02,let,en
Love Shake ,MINX,2015-07-02,me,en
Love Shake ,MINX,2015-07-02,stop,en
Love Shake ,MINX,2015-07-02,you,en
Love Shake ,MINX,2015-07-02,love,en
Love Shake ,MINX,2015-07-02,me,en
Love Shake ,MINX,2015-07-02,dont,en
Love Shake ,MINX,2015-07-02,stop,en
Love Shake ,MINX,2015-07-02,두근두근,ko
Love Shake ,MINX,2015-07-02,한,ko
Love Shake ,MINX,2015-07-02,스푼을,ko
Love Shake ,MINX,2015-07-02,떠서,ko
Love Shake ,MINX,2015-07-02,내,ko
Love Shake ,MINX,2015-07-02,맘,ko
Love Shake ,MINX,2015-07-02,속에,ko
Love Shake ,MINX,2015-07-02,휘휘,ko
Love Shake ,MINX,2015-07-02,저어놓고,ko
Love Shake ,MINX,2015-07-02,설레임,ko
Love Shake ,MINX,2015-07-02,반하고,ko
Love Shake ,MINX,2015-07-02,떨림,ko
Love Shake ,MINX,2015-07-02,반,ko
Love Shake ,MINX,2015-07-02,적당히,ko
Love Shake ,MINX,2015-07-02,섞어,ko
Love Shake ,MINX,2015-07-02,뿌리면,ko
Love Shake ,MINX,2015-07-02,its,en
Love Shake ,MINX,2015-07-02,ok,en
Love Shake ,MINX,2015-07-02,it,en
Love Shake ,MINX,2015-07-02,looks,en
Love Shake ,MINX,2015-07-02,so,en
Love Shake ,MINX,2015-07-02,cool,en
Love Shake ,MINX,2015-07-02,이거,ko
Love Shake ,MINX,2015-07-02,이거,ko
Love Shake ,MINX,2015-07-02,너무,ko
Love Shake ,MINX,2015-07-02,달콤해,ko
Love Shake ,MINX,2015-07-02,맛보기도,ko
Love Shake ,MINX,2015-07-02,전에,ko
Love Shake ,MINX,2015-07-02,빠질것,ko
Love Shake ,MINX,2015-07-02,같애,ko
Love Shake ,MINX,2015-07-02,whipping,en
Love Shake ,MINX,2015-07-02,cream과,ko
Love Shake ,MINX,2015-07-02,같은,ko
Love Shake ,MINX,2015-07-02,내,ko
Love Shake ,MINX,2015-07-02,사랑,ko
Love Shake ,MINX,2015-07-02,너를,ko
Love Shake ,MINX,2015-07-02,위해,ko
Love Shake ,MINX,2015-07-02,준비한,ko
Love Shake ,MINX,2015-07-02,걸,ko
Love Shake ,MINX,2015-07-02,shake,en
Love Shake ,MINX,2015-07-02,it,en
Love Shake ,MINX,2015-07-02,love,en
Love Shake ,MINX,2015-07-02,shake,en
Love Shake ,MINX,2015-07-02,it,en
Love Shake ,MINX,2015-07-02,shake,en
Love Shake ,MINX,2015-07-02,it,en
Love Shake ,MINX,2015-07-02,shake,en
Love Shake ,MINX,2015-07-02,it,en
Love Shake ,MINX,2015-07-02,shake,en
Love Shake ,MINX,2015-07-02,it,en
Love Shake ,MINX,2015-07-02,love,en
Love Shake ,MINX,2015-07-02,나의,ko
Love Shake ,MINX,2015-07-02,맘에,ko
Love Shake ,MINX,2015-07-02,다가와서,ko
Love Shake ,MINX,2015-07-02,달콤하게,ko
Love Shake ,MINX,2015-07-02,섞어줄래,ko
Love Shake ,MINX,2015-07-02,너와,ko
