title,artist,date,word,language
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,갑자기,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,비온듯이,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,내게와,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,신속히,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,쟤네는,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,싱겁지,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,내게와,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,신속히,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,갑자기,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,비온듯이,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,내게와,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,신속히,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,쟤네는,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,싱겁지,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,oh,en
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,yeah,en
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,저기,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,밖에,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,비온다,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,주룩주룩,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,girl,en
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,신속하게,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,내게,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,올라,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,타라,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,부릉부릉,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,지금,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,불러,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,불러,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,oh,en
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,경찰들,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,불러,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,불러,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,쫙,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,빠진,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,콜라병,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,몸매에,ko
RUSH (신속히) ,MONSTA X (몬스타엑스),2015-09-09,girl,en
