title,artist,date,word,language
Beautiful (아름다워) ,MONSTA X,2017-03-21,미쳐버릴,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,것,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,같아,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,대체,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,뭐야,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,반해버린,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,것,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,같아,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,하루,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,종일,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,머릿속에,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,맴맴,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,돌아버려,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,물음표가,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,매일매일,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,가시,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,돋친,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,걸,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,알면서도,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,갖고,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,싶어,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,red,en
Beautiful (아름다워) ,MONSTA X,2017-03-21,rose,en
Beautiful (아름다워) ,MONSTA X,2017-03-21,가시,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,줄기엔,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,아름다운,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,장미가,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,피는,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,법,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,진한,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,빨강,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,꽃말은,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,널,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,사랑한단,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,것,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,온,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,몸에,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,피가,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,나도,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,널,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,안고,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,싶어,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,cause,en
Beautiful (아름다워) ,MONSTA X,2017-03-21,i,en
Beautiful (아름다워) ,MONSTA X,2017-03-21,think,en
Beautiful (아름다워) ,MONSTA X,2017-03-21,about,en
Beautiful (아름다워) ,MONSTA X,2017-03-21,you,en
Beautiful (아름다워) ,MONSTA X,2017-03-21,errday,en
Beautiful (아름다워) ,MONSTA X,2017-03-21,이미,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,중독인,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,걸,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,말해,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,뭐해,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,니가,ko
Beautiful (아름다워) ,MONSTA X,2017-03-21,날,ko
