title,artist,date,word,language
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,hey,en
DRAMARAMA ,MONSTA X,2017-11-07,dramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,hey,en
DRAMARAMA ,MONSTA X,2017-11-07,dramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,hey,en
DRAMARAMA ,MONSTA X,2017-11-07,너의,ko
DRAMARAMA ,MONSTA X,2017-11-07,그,ko
DRAMARAMA ,MONSTA X,2017-11-07,눈빛,ko
DRAMARAMA ,MONSTA X,2017-11-07,묶어버려,ko
DRAMARAMA ,MONSTA X,2017-11-07,나의,ko
DRAMARAMA ,MONSTA X,2017-11-07,팔과,ko
DRAMARAMA ,MONSTA X,2017-11-07,다리,ko
DRAMARAMA ,MONSTA X,2017-11-07,no,en
DRAMARAMA ,MONSTA X,2017-11-07,way,en
DRAMARAMA ,MONSTA X,2017-11-07,not,en
DRAMARAMA ,MONSTA X,2017-11-07,funny,en
DRAMARAMA ,MONSTA X,2017-11-07,내,ko
DRAMARAMA ,MONSTA X,2017-11-07,시간은,ko
DRAMARAMA ,MONSTA X,2017-11-07,멈춰,ko
DRAMARAMA ,MONSTA X,2017-11-07,움직일,ko
DRAMARAMA ,MONSTA X,2017-11-07,수,ko
DRAMARAMA ,MONSTA X,2017-11-07,없어,ko
DRAMARAMA ,MONSTA X,2017-11-07,다시,ko
DRAMARAMA ,MONSTA X,2017-11-07,내,ko
DRAMARAMA ,MONSTA X,2017-11-07,맘이,ko
DRAMARAMA ,MONSTA X,2017-11-07,돌고,ko
DRAMARAMA ,MONSTA X,2017-11-07,돌아,ko
DRAMARAMA ,MONSTA X,2017-11-07,또,en
DRAMARAMA ,MONSTA X,2017-11-07,같은,ko
DRAMARAMA ,MONSTA X,2017-11-07,자리,ko
DRAMARAMA ,MONSTA X,2017-11-07,daydream,en
DRAMARAMA ,MONSTA X,2017-11-07,꿈을,ko
DRAMARAMA ,MONSTA X,2017-11-07,꾸지,ko
DRAMARAMA ,MONSTA X,2017-11-07,이,ko
DRAMARAMA ,MONSTA X,2017-11-07,눈부신,ko
DRAMARAMA ,MONSTA X,2017-11-07,환영,ko
DRAMARAMA ,MONSTA X,2017-11-07,이,ko
DRAMARAMA ,MONSTA X,2017-11-07,달콤한,ko
DRAMARAMA ,MONSTA X,2017-11-07,환청,ko
DRAMARAMA ,MONSTA X,2017-11-07,널,ko
DRAMARAMA ,MONSTA X,2017-11-07,품에,ko
DRAMARAMA ,MONSTA X,2017-11-07,안은,ko
DRAMARAMA ,MONSTA X,2017-11-07,채로,ko
DRAMARAMA ,MONSTA X,2017-11-07,눈을,ko
DRAMARAMA ,MONSTA X,2017-11-07,뜨게,ko
DRAMARAMA ,MONSTA X,2017-11-07,해줘,ko
DRAMARAMA ,MONSTA X,2017-11-07,전부,ko
DRAMARAMA ,MONSTA X,2017-11-07,너라면,ko
DRAMARAMA ,MONSTA X,2017-11-07,yes,en
DRAMARAMA ,MONSTA X,2017-11-07,i,en
DRAMARAMA ,MONSTA X,2017-11-07,do,en
DRAMARAMA ,MONSTA X,2017-11-07,그게,ko
DRAMARAMA ,MONSTA X,2017-11-07,되나,ko
DRAMARAMA ,MONSTA X,2017-11-07,적당히,ko
DRAMARAMA ,MONSTA X,2017-11-07,좋아하는,ko
DRAMARAMA ,MONSTA X,2017-11-07,게,ko
DRAMARAMA ,MONSTA X,2017-11-07,그게,ko
DRAMARAMA ,MONSTA X,2017-11-07,되나,ko
DRAMARAMA ,MONSTA X,2017-11-07,적당히,ko
DRAMARAMA ,MONSTA X,2017-11-07,다가가는,ko
DRAMARAMA ,MONSTA X,2017-11-07,게,ko
DRAMARAMA ,MONSTA X,2017-11-07,너는,ko
DRAMARAMA ,MONSTA X,2017-11-07,잊을,ko
DRAMARAMA ,MONSTA X,2017-11-07,수가,ko
DRAMARAMA ,MONSTA X,2017-11-07,없는,ko
DRAMARAMA ,MONSTA X,2017-11-07,아름다운,ko
DRAMARAMA ,MONSTA X,2017-11-07,충격,ko
DRAMARAMA ,MONSTA X,2017-11-07,숨,ko
DRAMARAMA ,MONSTA X,2017-11-07,쉴,ko
DRAMARAMA ,MONSTA X,2017-11-07,틈을,ko
DRAMARAMA ,MONSTA X,2017-11-07,한번,ko
DRAMARAMA ,MONSTA X,2017-11-07,주지,ko
DRAMARAMA ,MONSTA X,2017-11-07,않게,ko
DRAMARAMA ,MONSTA X,2017-11-07,해,ko
DRAMARAMA ,MONSTA X,2017-11-07,그게,ko
DRAMARAMA ,MONSTA X,2017-11-07,되나,ko
DRAMARAMA ,MONSTA X,2017-11-07,적당히,ko
DRAMARAMA ,MONSTA X,2017-11-07,맘을,ko
DRAMARAMA ,MONSTA X,2017-11-07,주는,ko
DRAMARAMA ,MONSTA X,2017-11-07,게,ko
DRAMARAMA ,MONSTA X,2017-11-07,그게,ko
DRAMARAMA ,MONSTA X,2017-11-07,되나,ko
DRAMARAMA ,MONSTA X,2017-11-07,적당히,ko
DRAMARAMA ,MONSTA X,2017-11-07,빠져있는,ko
DRAMARAMA ,MONSTA X,2017-11-07,게,ko
DRAMARAMA ,MONSTA X,2017-11-07,네가,ko
DRAMARAMA ,MONSTA X,2017-11-07,그려둔,ko
DRAMARAMA ,MONSTA X,2017-11-07,빅,en
DRAMARAMA ,MONSTA X,2017-11-07,픽쳐,ko
DRAMARAMA ,MONSTA X,2017-11-07,그,ko
DRAMARAMA ,MONSTA X,2017-11-07,속에,ko
DRAMARAMA ,MONSTA X,2017-11-07,난,ko
DRAMARAMA ,MONSTA X,2017-11-07,갇혀,ko
DRAMARAMA ,MONSTA X,2017-11-07,끝을,ko
DRAMARAMA ,MONSTA X,2017-11-07,알,ko
DRAMARAMA ,MONSTA X,2017-11-07,수,ko
DRAMARAMA ,MONSTA X,2017-11-07,없는,ko
DRAMARAMA ,MONSTA X,2017-11-07,나의,ko
DRAMARAMA ,MONSTA X,2017-11-07,drama,en
DRAMARAMA ,MONSTA X,2017-11-07,dramarama,en
DRAMARAMA ,MONSTA X,2017-11-07,dramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,hey,en
DRAMARAMA ,MONSTA X,2017-11-07,dramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,hey,en
DRAMARAMA ,MONSTA X,2017-11-07,dramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,hey,en
DRAMARAMA ,MONSTA X,2017-11-07,she,en
DRAMARAMA ,MONSTA X,2017-11-07,is,en
DRAMARAMA ,MONSTA X,2017-11-07,like,en
DRAMARAMA ,MONSTA X,2017-11-07,dramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,상상,ko
DRAMARAMA ,MONSTA X,2017-11-07,속,ko
DRAMARAMA ,MONSTA X,2017-11-07,아마,ko
DRAMARAMA ,MONSTA X,2017-11-07,우린,ko
DRAMARAMA ,MONSTA X,2017-11-07,늑대와,ko
DRAMARAMA ,MONSTA X,2017-11-07,미녀,ko
DRAMARAMA ,MONSTA X,2017-11-07,같아,ko
DRAMARAMA ,MONSTA X,2017-11-07,ah,en
DRAMARAMA ,MONSTA X,2017-11-07,브라운관,ko
DRAMARAMA ,MONSTA X,2017-11-07,뚫고,ko
DRAMARAMA ,MONSTA X,2017-11-07,나와,ko
DRAMARAMA ,MONSTA X,2017-11-07,oh,en
DRAMARAMA ,MONSTA X,2017-11-07,mama,en
DRAMARAMA ,MONSTA X,2017-11-07,gosh,en
DRAMARAMA ,MONSTA X,2017-11-07,널,ko
DRAMARAMA ,MONSTA X,2017-11-07,보내기,ko
DRAMARAMA ,MONSTA X,2017-11-07,너무,ko
DRAMARAMA ,MONSTA X,2017-11-07,아쉬워,ko
DRAMARAMA ,MONSTA X,2017-11-07,길,ko
DRAMARAMA ,MONSTA X,2017-11-07,잃은,ko
DRAMARAMA ,MONSTA X,2017-11-07,방랑자,ko
DRAMARAMA ,MONSTA X,2017-11-07,널,ko
DRAMARAMA ,MONSTA X,2017-11-07,두고,ko
DRAMARAMA ,MONSTA X,2017-11-07,어디,ko
DRAMARAMA ,MONSTA X,2017-11-07,안가,ko
DRAMARAMA ,MONSTA X,2017-11-07,dramama,en
DRAMARAMA ,MONSTA X,2017-11-07,ramama,en
DRAMARAMA ,MONSTA X,2017-11-07,미쳐버리지,ko
DRAMARAMA ,MONSTA X,2017-11-07,oh,en
DRAMARAMA ,MONSTA X,2017-11-07,my,en
DRAMARAMA ,MONSTA X,2017-11-07,god,en
DRAMARAMA ,MONSTA X,2017-11-07,oh,en
DRAMARAMA ,MONSTA X,2017-11-07,my,en
DRAMARAMA ,MONSTA X,2017-11-07,oh,en
DRAMARAMA ,MONSTA X,2017-11-07,my,en
DRAMARAMA ,MONSTA X,2017-11-07,god,en
DRAMARAMA ,MONSTA X,2017-11-07,얼마나,ko
DRAMARAMA ,MONSTA X,2017-11-07,이순간을,ko
DRAMARAMA ,MONSTA X,2017-11-07,기다렸는가,ko
DRAMARAMA ,MONSTA X,2017-11-07,그만,ko
DRAMARAMA ,MONSTA X,2017-11-07,좀,ko
DRAMARAMA ,MONSTA X,2017-11-07,할,ko
DRAMARAMA ,MONSTA X,2017-11-07,때가,ko
DRAMARAMA ,MONSTA X,2017-11-07,됐지,ko
DRAMARAMA ,MONSTA X,2017-11-07,혼잣말,ko
DRAMARAMA ,MONSTA X,2017-11-07,절망감,ko
DRAMARAMA ,MONSTA X,2017-11-07,같은,ko
DRAMARAMA ,MONSTA X,2017-11-07,trauma말고,ko
