title,artist,date,word,language
Find you ,MONSTA X,2019-10-22,더듬어,ko
Find you ,MONSTA X,2019-10-22,아직도,ko
Find you ,MONSTA X,2019-10-22,여기서,ko
Find you ,MONSTA X,2019-10-22,한참을,ko
Find you ,MONSTA X,2019-10-22,서성여,ko
Find you ,MONSTA X,2019-10-22,yeah,en
Find you ,MONSTA X,2019-10-22,너를,ko
Find you ,MONSTA X,2019-10-22,보낸,ko
Find you ,MONSTA X,2019-10-22,후에,ko
Find you ,MONSTA X,2019-10-22,난,ko
Find you ,MONSTA X,2019-10-22,너의,ko
Find you ,MONSTA X,2019-10-22,목소리가,ko
Find you ,MONSTA X,2019-10-22,들리는걸,ko
Find you ,MONSTA X,2019-10-22,yeah,en
Find you ,MONSTA X,2019-10-22,가만히,ko
Find you ,MONSTA X,2019-10-22,눈을,ko
Find you ,MONSTA X,2019-10-22,감으면,ko
Find you ,MONSTA X,2019-10-22,선명히,ko
Find you ,MONSTA X,2019-10-22,느낄,ko
Find you ,MONSTA X,2019-10-22,수,ko
Find you ,MONSTA X,2019-10-22,있어,ko
Find you ,MONSTA X,2019-10-22,니,ko
Find you ,MONSTA X,2019-10-22,온기,ko
Find you ,MONSTA X,2019-10-22,숨소리,ko
Find you ,MONSTA X,2019-10-22,작은,ko
Find you ,MONSTA X,2019-10-22,미소까지,ko
Find you ,MONSTA X,2019-10-22,얼어,ko
Find you ,MONSTA X,2019-10-22,붙었던,ko
Find you ,MONSTA X,2019-10-22,날,ko
Find you ,MONSTA X,2019-10-22,감싸주던,ko
Find you ,MONSTA X,2019-10-22,널,ko
Find you ,MONSTA X,2019-10-22,매일이,ko
Find you ,MONSTA X,2019-10-22,매일이,ko
Find you ,MONSTA X,2019-10-22,매일이,ko
Find you ,MONSTA X,2019-10-22,널,ko
Find you ,MONSTA X,2019-10-22,그리다,ko
Find you ,MONSTA X,2019-10-22,지쳐서,ko
Find you ,MONSTA X,2019-10-22,잠이,ko
Find you ,MONSTA X,2019-10-22,들어,ko
Find you ,MONSTA X,2019-10-22,내일은,ko
Find you ,MONSTA X,2019-10-22,내일은,ko
Find you ,MONSTA X,2019-10-22,내일은,ko
Find you ,MONSTA X,2019-10-22,널,ko
Find you ,MONSTA X,2019-10-22,보게,ko
Find you ,MONSTA X,2019-10-22,될까,ko
Find you ,MONSTA X,2019-10-22,uh,en
Find you ,MONSTA X,2019-10-22,oh,en
Find you ,MONSTA X,2019-10-22,기억,ko
Find you ,MONSTA X,2019-10-22,속,ko
Find you ,MONSTA X,2019-10-22,넌,ko
Find you ,MONSTA X,2019-10-22,마치,ko
Find you ,MONSTA X,2019-10-22,되돌리고,ko
Find you ,MONSTA X,2019-10-22,싶은,ko
Find you ,MONSTA X,2019-10-22,꿈,en
Find you ,MONSTA X,2019-10-22,같은,ko
Find you ,MONSTA X,2019-10-22,걸,ko
Find you ,MONSTA X,2019-10-22,멀어져,ko
Find you ,MONSTA X,2019-10-22,버린,ko
Find you ,MONSTA X,2019-10-22,너와,ko
Find you ,MONSTA X,2019-10-22,나,ko
Find you ,MONSTA X,2019-10-22,사이의,ko
Find you ,MONSTA X,2019-10-22,거리에,ko
Find you ,MONSTA X,2019-10-22,지워져,ko
Find you ,MONSTA X,2019-10-22,지지,ko
Find you ,MONSTA X,2019-10-22,않고,ko
Find you ,MONSTA X,2019-10-22,남은,ko
Find you ,MONSTA X,2019-10-22,너의,ko
Find you ,MONSTA X,2019-10-22,모습은,ko
