title,artist,date,word,language
GAMBLER ,MONSTA X,2021-06-01,if,en
GAMBLER ,MONSTA X,2021-06-01,you,en
GAMBLER ,MONSTA X,2021-06-01,dont,en
GAMBLER ,MONSTA X,2021-06-01,know,en
GAMBLER ,MONSTA X,2021-06-01,now,en
GAMBLER ,MONSTA X,2021-06-01,you,en
GAMBLER ,MONSTA X,2021-06-01,know,en
GAMBLER ,MONSTA X,2021-06-01,ok,en
GAMBLER ,MONSTA X,2021-06-01,deal,en
GAMBLER ,MONSTA X,2021-06-01,오묘한,ko
GAMBLER ,MONSTA X,2021-06-01,기류,ko
GAMBLER ,MONSTA X,2021-06-01,끈적이는,ko
GAMBLER ,MONSTA X,2021-06-01,눈빛,ko
GAMBLER ,MONSTA X,2021-06-01,huh,en
GAMBLER ,MONSTA X,2021-06-01,oh,en
GAMBLER ,MONSTA X,2021-06-01,yeah,en
GAMBLER ,MONSTA X,2021-06-01,i,en
GAMBLER ,MONSTA X,2021-06-01,like,en
GAMBLER ,MONSTA X,2021-06-01,that,en
GAMBLER ,MONSTA X,2021-06-01,모든,ko
GAMBLER ,MONSTA X,2021-06-01,걸,ko
GAMBLER ,MONSTA X,2021-06-01,베팅해,ko
GAMBLER ,MONSTA X,2021-06-01,내,ko
GAMBLER ,MONSTA X,2021-06-01,맘을,ko
GAMBLER ,MONSTA X,2021-06-01,빼앗은,ko
GAMBLER ,MONSTA X,2021-06-01,너,ko
GAMBLER ,MONSTA X,2021-06-01,huh,en
GAMBLER ,MONSTA X,2021-06-01,what,en
GAMBLER ,MONSTA X,2021-06-01,you,en
GAMBLER ,MONSTA X,2021-06-01,want,en
GAMBLER ,MONSTA X,2021-06-01,secret,en
GAMBLER ,MONSTA X,2021-06-01,dont,en
GAMBLER ,MONSTA X,2021-06-01,you,en
GAMBLER ,MONSTA X,2021-06-01,really,en
GAMBLER ,MONSTA X,2021-06-01,wanna,en
GAMBLER ,MONSTA X,2021-06-01,feel,en
GAMBLER ,MONSTA X,2021-06-01,alive,en
GAMBLER ,MONSTA X,2021-06-01,아침까지,ko
GAMBLER ,MONSTA X,2021-06-01,flip,en
GAMBLER ,MONSTA X,2021-06-01,that,en
GAMBLER ,MONSTA X,2021-06-01,낯간지러운,ko
GAMBLER ,MONSTA X,2021-06-01,불장난,ko
GAMBLER ,MONSTA X,2021-06-01,i,en
GAMBLER ,MONSTA X,2021-06-01,want,en
GAMBLER ,MONSTA X,2021-06-01,something,en
GAMBLER ,MONSTA X,2021-06-01,deeper,en
GAMBLER ,MONSTA X,2021-06-01,you,en
GAMBLER ,MONSTA X,2021-06-01,na,en
GAMBLER ,MONSTA X,2021-06-01,mean,en
GAMBLER ,MONSTA X,2021-06-01,hah,en
GAMBLER ,MONSTA X,2021-06-01,강한,ko
GAMBLER ,MONSTA X,2021-06-01,끌림이,ko
GAMBLER ,MONSTA X,2021-06-01,와,ko
GAMBLER ,MONSTA X,2021-06-01,아직은,ko
GAMBLER ,MONSTA X,2021-06-01,알,ko
GAMBLER ,MONSTA X,2021-06-01,수,ko
GAMBLER ,MONSTA X,2021-06-01,없어,ko
GAMBLER ,MONSTA X,2021-06-01,너의,ko
GAMBLER ,MONSTA X,2021-06-01,bluffing,en
GAMBLER ,MONSTA X,2021-06-01,but,en
GAMBLER ,MONSTA X,2021-06-01,다른,ko
GAMBLER ,MONSTA X,2021-06-01,느낌이,ko
GAMBLER ,MONSTA X,2021-06-01,와,ko
GAMBLER ,MONSTA X,2021-06-01,어둠에,ko
GAMBLER ,MONSTA X,2021-06-01,감춰놓은,ko
GAMBLER ,MONSTA X,2021-06-01,my,en
GAMBLER ,MONSTA X,2021-06-01,heart,en
GAMBLER ,MONSTA X,2021-06-01,is,en
GAMBLER ,MONSTA X,2021-06-01,beating,en
GAMBLER ,MONSTA X,2021-06-01,now,en
GAMBLER ,MONSTA X,2021-06-01,so,en
GAMBLER ,MONSTA X,2021-06-01,sweet,en
GAMBLER ,MONSTA X,2021-06-01,한,ko
GAMBLER ,MONSTA X,2021-06-01,네,ko
GAMBLER ,MONSTA X,2021-06-01,미소,ko
GAMBLER ,MONSTA X,2021-06-01,속에,ko
GAMBLER ,MONSTA X,2021-06-01,난,ko
GAMBLER ,MONSTA X,2021-06-01,빠져들어,ko
GAMBLER ,MONSTA X,2021-06-01,너의,ko
GAMBLER ,MONSTA X,2021-06-01,trick에,ko
GAMBLER ,MONSTA X,2021-06-01,난,ko
GAMBLER ,MONSTA X,2021-06-01,홀려,ko
GAMBLER ,MONSTA X,2021-06-01,널,ko
GAMBLER ,MONSTA X,2021-06-01,밀어내려,ko
GAMBLER ,MONSTA X,2021-06-01,해봐도,ko
GAMBLER ,MONSTA X,2021-06-01,널,ko
GAMBLER ,MONSTA X,2021-06-01,잊어보려,ko
GAMBLER ,MONSTA X,2021-06-01,해봐도,ko
GAMBLER ,MONSTA X,2021-06-01,흔들리는,ko
GAMBLER ,MONSTA X,2021-06-01,이,ko
GAMBLER ,MONSTA X,2021-06-01,맘,ko
GAMBLER ,MONSTA X,2021-06-01,callin,en
GAMBLER ,MONSTA X,2021-06-01,me,en
GAMBLER ,MONSTA X,2021-06-01,now,en
GAMBLER ,MONSTA X,2021-06-01,zero,en
GAMBLER ,MONSTA X,2021-06-01,zero,en
GAMBLER ,MONSTA X,2021-06-01,lucky,en
GAMBLER ,MONSTA X,2021-06-01,bang,en
GAMBLER ,MONSTA X,2021-06-01,my,en
GAMBLER ,MONSTA X,2021-06-01,suit,en
GAMBLER ,MONSTA X,2021-06-01,is,en
GAMBLER ,MONSTA X,2021-06-01,black,en
GAMBLER ,MONSTA X,2021-06-01,my,en
GAMBLER ,MONSTA X,2021-06-01,suit,en
GAMBLER ,MONSTA X,2021-06-01,is,en
