title,artist,date,word,language
Jealousy ,MONSTA X,2018-03-26,make,en
Jealousy ,MONSTA X,2018-03-26,me,en
Jealousy ,MONSTA X,2018-03-26,jealous,en
Jealousy ,MONSTA X,2018-03-26,baby,en
Jealousy ,MONSTA X,2018-03-26,내가,ko
Jealousy ,MONSTA X,2018-03-26,이러는,ko
Jealousy ,MONSTA X,2018-03-26,거,ko
Jealousy ,MONSTA X,2018-03-26,이걸,ko
Jealousy ,MONSTA X,2018-03-26,사실은,ko
Jealousy ,MONSTA X,2018-03-26,즐기는,ko
Jealousy ,MONSTA X,2018-03-26,거지,ko
Jealousy ,MONSTA X,2018-03-26,나,ko
Jealousy ,MONSTA X,2018-03-26,보란,ko
Jealousy ,MONSTA X,2018-03-26,듯이,ko
Jealousy ,MONSTA X,2018-03-26,더,ko
Jealousy ,MONSTA X,2018-03-26,어깰,ko
Jealousy ,MONSTA X,2018-03-26,두드려,ko
Jealousy ,MONSTA X,2018-03-26,ha,en
Jealousy ,MONSTA X,2018-03-26,ha,en
Jealousy ,MONSTA X,2018-03-26,funny,en
Jealousy ,MONSTA X,2018-03-26,나라서,ko
Jealousy ,MONSTA X,2018-03-26,특별히,ko
Jealousy ,MONSTA X,2018-03-26,그런,ko
Jealousy ,MONSTA X,2018-03-26,줄,ko
Jealousy ,MONSTA X,2018-03-26,알았지,ko
Jealousy ,MONSTA X,2018-03-26,혼자,ko
Jealousy ,MONSTA X,2018-03-26,착각할,ko
Jealousy ,MONSTA X,2018-03-26,뻔,en
Jealousy ,MONSTA X,2018-03-26,했네,ko
Jealousy ,MONSTA X,2018-03-26,고민하다가,ko
Jealousy ,MONSTA X,2018-03-26,내,ko
Jealousy ,MONSTA X,2018-03-26,머리만,ko
Jealousy ,MONSTA X,2018-03-26,딩딩,ko
Jealousy ,MONSTA X,2018-03-26,대체,ko
Jealousy ,MONSTA X,2018-03-26,왜,ko
Jealousy ,MONSTA X,2018-03-26,그러는,ko
Jealousy ,MONSTA X,2018-03-26,건데,ko
Jealousy ,MONSTA X,2018-03-26,yeyeyeyeyeyeyeh,en
Jealousy ,MONSTA X,2018-03-26,우리,ko
Jealousy ,MONSTA X,2018-03-26,아무,ko
Jealousy ,MONSTA X,2018-03-26,사이,ko
Jealousy ,MONSTA X,2018-03-26,아닌데,ko
Jealousy ,MONSTA X,2018-03-26,뭐지,ko
Jealousy ,MONSTA X,2018-03-26,yeyeyeyeyeyeyeh,en
Jealousy ,MONSTA X,2018-03-26,자꾸,ko
Jealousy ,MONSTA X,2018-03-26,거슬려,ko
Jealousy ,MONSTA X,2018-03-26,왜,ko
Jealousy ,MONSTA X,2018-03-26,a,en
Jealousy ,MONSTA X,2018-03-26,little,en
Jealousy ,MONSTA X,2018-03-26,jealousy,en
Jealousy ,MONSTA X,2018-03-26,내가,ko
Jealousy ,MONSTA X,2018-03-26,아닌,ko
Jealousy ,MONSTA X,2018-03-26,다른,ko
Jealousy ,MONSTA X,2018-03-26,사람,ko
Jealousy ,MONSTA X,2018-03-26,빤히,ko
Jealousy ,MONSTA X,2018-03-26,쳐다보는,ko
Jealousy ,MONSTA X,2018-03-26,눈빛,ko
Jealousy ,MONSTA X,2018-03-26,jealousy,en
Jealousy ,MONSTA X,2018-03-26,내가,ko
Jealousy ,MONSTA X,2018-03-26,아닌,ko
Jealousy ,MONSTA X,2018-03-26,다른,ko
Jealousy ,MONSTA X,2018-03-26,사람,ko
Jealousy ,MONSTA X,2018-03-26,얘기도,ko
Jealousy ,MONSTA X,2018-03-26,그만해줘,ko
Jealousy ,MONSTA X,2018-03-26,stop,en
Jealousy ,MONSTA X,2018-03-26,it,en
Jealousy ,MONSTA X,2018-03-26,jealousy,en
Jealousy ,MONSTA X,2018-03-26,baby,en
Jealousy ,MONSTA X,2018-03-26,jealousy,en
Jealousy ,MONSTA X,2018-03-26,jealousy,en
Jealousy ,MONSTA X,2018-03-26,baby,en
Jealousy ,MONSTA X,2018-03-26,jealousy,en
Jealousy ,MONSTA X,2018-03-26,baby,en
Jealousy ,MONSTA X,2018-03-26,who,en
Jealousy ,MONSTA X,2018-03-26,the,en
Jealousy ,MONSTA X,2018-03-26,x,en
Jealousy ,MONSTA X,2018-03-26,ooh,en
Jealousy ,MONSTA X,2018-03-26,im,en
Jealousy ,MONSTA X,2018-03-26,a,en
Jealousy ,MONSTA X,2018-03-26,x,en
Jealousy ,MONSTA X,2018-03-26,ooh,en
Jealousy ,MONSTA X,2018-03-26,너,ko
Jealousy ,MONSTA X,2018-03-26,땜에,ko
Jealousy ,MONSTA X,2018-03-26,지금,ko
Jealousy ,MONSTA X,2018-03-26,난,ko
Jealousy ,MONSTA X,2018-03-26,뿔난,ko
Jealousy ,MONSTA X,2018-03-26,도깨비,ko
Jealousy ,MONSTA X,2018-03-26,ooh,en
Jealousy ,MONSTA X,2018-03-26,난,ko
Jealousy ,MONSTA X,2018-03-26,적토마,ko
Jealousy ,MONSTA X,2018-03-26,질투,ko
Jealousy ,MONSTA X,2018-03-26,나니까,ko
Jealousy ,MONSTA X,2018-03-26,널,ko
Jealousy ,MONSTA X,2018-03-26,향해,ko
Jealousy ,MONSTA X,2018-03-26,keep,en
Jealousy ,MONSTA X,2018-03-26,going,en
