title,artist,date,word,language
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,하고,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,너와,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,계획을,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,짜고,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,우릴,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,추억에,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,담기,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,위해,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,지금,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,난,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,바뻐,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,뭘,en
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,입을까,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,하고,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,고민해,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,꽃단장하고,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,baby,en
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,너와,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,저,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,밖에,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,새하얀,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,눈을,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,그저,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,함께,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,밟고,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,싶었어,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,그치만,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,너,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,왜,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,자꾸,ko
Lonely Christmas (그놈의 크리스마스) ,MONSTA X,2017-12-18,날,ko
