title,artist,date,word,language
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,growling,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,growling,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,excuse,en
Shoot Out ,MONSTA X,2018-10-22,me,en
Shoot Out ,MONSTA X,2018-10-22,im,en
Shoot Out ,MONSTA X,2018-10-22,walkin,en
Shoot Out ,MONSTA X,2018-10-22,like,en
Shoot Out ,MONSTA X,2018-10-22,zombie,en
Shoot Out ,MONSTA X,2018-10-22,uh,en
Shoot Out ,MONSTA X,2018-10-22,반쯤은,ko
Shoot Out ,MONSTA X,2018-10-22,죽어,ko
Shoot Out ,MONSTA X,2018-10-22,미치고,ko
Shoot Out ,MONSTA X,2018-10-22,팔짝,ko
Shoot Out ,MONSTA X,2018-10-22,뛰어,ko
Shoot Out ,MONSTA X,2018-10-22,jumpin,en
Shoot Out ,MONSTA X,2018-10-22,uh,en
Shoot Out ,MONSTA X,2018-10-22,길이길이,ko
Shoot Out ,MONSTA X,2018-10-22,기억해,ko
Shoot Out ,MONSTA X,2018-10-22,손,ko
Shoot Out ,MONSTA X,2018-10-22,모양,ko
Shoot Out ,MONSTA X,2018-10-22,총,ko
Shoot Out ,MONSTA X,2018-10-22,모양,ko
Shoot Out ,MONSTA X,2018-10-22,blokka,en
Shoot Out ,MONSTA X,2018-10-22,blokka,en
Shoot Out ,MONSTA X,2018-10-22,huh,en
Shoot Out ,MONSTA X,2018-10-22,huh,en
Shoot Out ,MONSTA X,2018-10-22,걸림돌이,ko
Shoot Out ,MONSTA X,2018-10-22,되어버린,ko
Shoot Out ,MONSTA X,2018-10-22,난,ko
Shoot Out ,MONSTA X,2018-10-22,너의,ko
Shoot Out ,MONSTA X,2018-10-22,앞,ko
Shoot Out ,MONSTA X,2018-10-22,choppa,en
Shoot Out ,MONSTA X,2018-10-22,choppa,en
Shoot Out ,MONSTA X,2018-10-22,blakk,en
Shoot Out ,MONSTA X,2018-10-22,blakk,en
Shoot Out ,MONSTA X,2018-10-22,blakk,en
Shoot Out ,MONSTA X,2018-10-22,cant,en
Shoot Out ,MONSTA X,2018-10-22,block,en
Shoot Out ,MONSTA X,2018-10-22,block,en
Shoot Out ,MONSTA X,2018-10-22,block,en
Shoot Out ,MONSTA X,2018-10-22,youre,en
Shoot Out ,MONSTA X,2018-10-22,blah,en
Shoot Out ,MONSTA X,2018-10-22,blah,en
Shoot Out ,MONSTA X,2018-10-22,blah,en
Shoot Out ,MONSTA X,2018-10-22,stop,en
Shoot Out ,MONSTA X,2018-10-22,ta,en
Shoot Out ,MONSTA X,2018-10-22,talking,en
Shoot Out ,MONSTA X,2018-10-22,떠나버린,ko
Shoot Out ,MONSTA X,2018-10-22,감정은,ko
Shoot Out ,MONSTA X,2018-10-22,터트려,ko
Shoot Out ,MONSTA X,2018-10-22,주저,ko
Shoot Out ,MONSTA X,2018-10-22,없이,ko
Shoot Out ,MONSTA X,2018-10-22,다,ko
Shoot Out ,MONSTA X,2018-10-22,pop,en
Shoot Out ,MONSTA X,2018-10-22,pop,en
Shoot Out ,MONSTA X,2018-10-22,pop,en
Shoot Out ,MONSTA X,2018-10-22,never,en
Shoot Out ,MONSTA X,2018-10-22,gonna,en
Shoot Out ,MONSTA X,2018-10-22,stop,en
Shoot Out ,MONSTA X,2018-10-22,this,en
Shoot Out ,MONSTA X,2018-10-22,넌,ko
Shoot Out ,MONSTA X,2018-10-22,망설임,ko
Shoot Out ,MONSTA X,2018-10-22,없이,ko
Shoot Out ,MONSTA X,2018-10-22,가,ko
Shoot Out ,MONSTA X,2018-10-22,잡고,ko
Shoot Out ,MONSTA X,2018-10-22,있던,ko
Shoot Out ,MONSTA X,2018-10-22,끈도,ko
Shoot Out ,MONSTA X,2018-10-22,이젠,ko
Shoot Out ,MONSTA X,2018-10-22,놓을게,ko
Shoot Out ,MONSTA X,2018-10-22,난,ko
Shoot Out ,MONSTA X,2018-10-22,drop,en
Shoot Out ,MONSTA X,2018-10-22,반쯤,ko
Shoot Out ,MONSTA X,2018-10-22,넋,ko
Shoot Out ,MONSTA X,2018-10-22,나간,ko
Shoot Out ,MONSTA X,2018-10-22,채로,ko
Shoot Out ,MONSTA X,2018-10-22,무거운,ko
Shoot Out ,MONSTA X,2018-10-22,다리를,ko
Shoot Out ,MONSTA X,2018-10-22,끌며,ko
Shoot Out ,MONSTA X,2018-10-22,걸어,ko
Shoot Out ,MONSTA X,2018-10-22,헤매,ko
Shoot Out ,MONSTA X,2018-10-22,난,ko
Shoot Out ,MONSTA X,2018-10-22,어딘가,ko
Shoot Out ,MONSTA X,2018-10-22,찾아,ko
Shoot Out ,MONSTA X,2018-10-22,그,ko
Shoot Out ,MONSTA X,2018-10-22,누군가,ko
Shoot Out ,MONSTA X,2018-10-22,네가,ko
Shoot Out ,MONSTA X,2018-10-22,없는,ko
Shoot Out ,MONSTA X,2018-10-22,황혼에서,ko
Shoot Out ,MONSTA X,2018-10-22,새벽,ko
Shoot Out ,MONSTA X,2018-10-22,발목을,ko
Shoot Out ,MONSTA X,2018-10-22,움켜잡은,ko
Shoot Out ,MONSTA X,2018-10-22,이건,ko
Shoot Out ,MONSTA X,2018-10-22,이별,ko
Shoot Out ,MONSTA X,2018-10-22,어둠,ko
Shoot Out ,MONSTA X,2018-10-22,속에,ko
Shoot Out ,MONSTA X,2018-10-22,위태롭게,ko
Shoot Out ,MONSTA X,2018-10-22,휘청이고,ko
Shoot Out ,MONSTA X,2018-10-22,있어,ko
Shoot Out ,MONSTA X,2018-10-22,날,ko
Shoot Out ,MONSTA X,2018-10-22,위해,ko
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,독하게,ko
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,어차피,ko
Shoot Out ,MONSTA X,2018-10-22,다,ko
Shoot Out ,MONSTA X,2018-10-22,끝났다면,ko
Shoot Out ,MONSTA X,2018-10-22,네,ko
Shoot Out ,MONSTA X,2018-10-22,맘이,ko
Shoot Out ,MONSTA X,2018-10-22,떠났다면,ko
Shoot Out ,MONSTA X,2018-10-22,희망도,ko
Shoot Out ,MONSTA X,2018-10-22,남김없이,ko
Shoot Out ,MONSTA X,2018-10-22,버려,ko
Shoot Out ,MONSTA X,2018-10-22,날,ko
Shoot Out ,MONSTA X,2018-10-22,위해,ko
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,한,ko
Shoot Out ,MONSTA X,2018-10-22,방에,ko
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,shootout,en
Shoot Out ,MONSTA X,2018-10-22,언젠가는,ko
Shoot Out ,MONSTA X,2018-10-22,온다니,ko
Shoot Out ,MONSTA X,2018-10-22,그게,ko
Shoot Out ,MONSTA X,2018-10-22,더,ko
Shoot Out ,MONSTA X,2018-10-22,잔인하게,ko
Shoot Out ,MONSTA X,2018-10-22,들려,ko
Shoot Out ,MONSTA X,2018-10-22,어서,ko
Shoot Out ,MONSTA X,2018-10-22,더,ko
Shoot Out ,MONSTA X,2018-10-22,차갑게,ko
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,growling,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,growling,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,walker,en
Shoot Out ,MONSTA X,2018-10-22,i,en
Shoot Out ,MONSTA X,2018-10-22,aint,en
Shoot Out ,MONSTA X,2018-10-22,no,en
Shoot Out ,MONSTA X,2018-10-22,mercy,en
Shoot Out ,MONSTA X,2018-10-22,primacy,en
Shoot Out ,MONSTA X,2018-10-22,i,en
Shoot Out ,MONSTA X,2018-10-22,can,en
Shoot Out ,MONSTA X,2018-10-22,promise,en
Shoot Out ,MONSTA X,2018-10-22,it,en
Shoot Out ,MONSTA X,2018-10-22,oh,en
Shoot Out ,MONSTA X,2018-10-22,hold,en
Shoot Out ,MONSTA X,2018-10-22,on,en
Shoot Out ,MONSTA X,2018-10-22,take,en
Shoot Out ,MONSTA X,2018-10-22,your,en
Shoot Out ,MONSTA X,2018-10-22,time,en
Shoot Out ,MONSTA X,2018-10-22,gonna,en
Shoot Out ,MONSTA X,2018-10-22,make,en
Shoot Out ,MONSTA X,2018-10-22,that,en
Shoot Out ,MONSTA X,2018-10-22,rip,en
Shoot Out ,MONSTA X,2018-10-22,it,en
Shoot Out ,MONSTA X,2018-10-22,up,en
Shoot Out ,MONSTA X,2018-10-22,like,en
Shoot Out ,MONSTA X,2018-10-22,a,en
Shoot Out ,MONSTA X,2018-10-22,beast,en
Shoot Out ,MONSTA X,2018-10-22,ya,en
Shoot Out ,MONSTA X,2018-10-22,grrr,en
Shoot Out ,MONSTA X,2018-10-22,탕탕,ko
Shoot Out ,MONSTA X,2018-10-22,심장이,ko
Shoot Out ,MONSTA X,2018-10-22,아파,ko
Shoot Out ,MONSTA X,2018-10-22,부르르,ko
Shoot Out ,MONSTA X,2018-10-22,떨리는,ko
Shoot Out ,MONSTA X,2018-10-22,몸,ko
Shoot Out ,MONSTA X,2018-10-22,숨이,ko
Shoot Out ,MONSTA X,2018-10-22,너무,ko
Shoot Out ,MONSTA X,2018-10-22,가빠,ko
