title,artist,date,word,language
I Miss You ,Mamamoo (마마무),2016-01-30,하늘을,ko
I Miss You ,Mamamoo (마마무),2016-01-30,바라보면,ko
I Miss You ,Mamamoo (마마무),2016-01-30,so,en
I Miss You ,Mamamoo (마마무),2016-01-30,much,en
I Miss You ,Mamamoo (마마무),2016-01-30,i,en
I Miss You ,Mamamoo (마마무),2016-01-30,miss,en
I Miss You ,Mamamoo (마마무),2016-01-30,you,en
I Miss You ,Mamamoo (마마무),2016-01-30,바람이,ko
I Miss You ,Mamamoo (마마무),2016-01-30,좋은,ko
I Miss You ,Mamamoo (마마무),2016-01-30,이런,ko
I Miss You ,Mamamoo (마마무),2016-01-30,날이면,ko
I Miss You ,Mamamoo (마마무),2016-01-30,난,ko
I Miss You ,Mamamoo (마마무),2016-01-30,너너너너너,ko
I Miss You ,Mamamoo (마마무),2016-01-30,좋은,ko
I Miss You ,Mamamoo (마마무),2016-01-30,노랫소리가,ko
I Miss You ,Mamamoo (마마무),2016-01-30,들리면,ko
I Miss You ,Mamamoo (마마무),2016-01-30,so,en
I Miss You ,Mamamoo (마마무),2016-01-30,much,en
I Miss You ,Mamamoo (마마무),2016-01-30,i,en
I Miss You ,Mamamoo (마마무),2016-01-30,miss,en
I Miss You ,Mamamoo (마마무),2016-01-30,you,en
I Miss You ,Mamamoo (마마무),2016-01-30,좋은,ko
I Miss You ,Mamamoo (마마무),2016-01-30,영활,ko
I Miss You ,Mamamoo (마마무),2016-01-30,볼,ko
I Miss You ,Mamamoo (마마무),2016-01-30,때면,ko
I Miss You ,Mamamoo (마마무),2016-01-30,또,en
I Miss You ,Mamamoo (마마무),2016-01-30,생각나,ko
I Miss You ,Mamamoo (마마무),2016-01-30,난,ko
I Miss You ,Mamamoo (마마무),2016-01-30,너너너너너,ko
I Miss You ,Mamamoo (마마무),2016-01-30,너와,ko
I Miss You ,Mamamoo (마마무),2016-01-30,나누던,ko
I Miss You ,Mamamoo (마마무),2016-01-30,나의,ko
I Miss You ,Mamamoo (마마무),2016-01-30,하루는,ko
I Miss You ,Mamamoo (마마무),2016-01-30,이젠,ko
I Miss You ,Mamamoo (마마무),2016-01-30,없는데,ko
I Miss You ,Mamamoo (마마무),2016-01-30,별이,ko
I Miss You ,Mamamoo (마마무),2016-01-30,뜨는,ko
I Miss You ,Mamamoo (마마무),2016-01-30,밤이면,ko
I Miss You ,Mamamoo (마마무),2016-01-30,언제나,ko
I Miss You ,Mamamoo (마마무),2016-01-30,so,en
I Miss You ,Mamamoo (마마무),2016-01-30,much,en
I Miss You ,Mamamoo (마마무),2016-01-30,so,en
I Miss You ,Mamamoo (마마무),2016-01-30,much,en
I Miss You ,Mamamoo (마마무),2016-01-30,i,en
I Miss You ,Mamamoo (마마무),2016-01-30,miss,en
I Miss You ,Mamamoo (마마무),2016-01-30,you,en
I Miss You ,Mamamoo (마마무),2016-01-30,소리,ko
I Miss You ,Mamamoo (마마무),2016-01-30,없이,ko
I Miss You ,Mamamoo (마마무),2016-01-30,눈물이,ko
I Miss You ,Mamamoo (마마무),2016-01-30,흐르면,ko
I Miss You ,Mamamoo (마마무),2016-01-30,난,ko
I Miss You ,Mamamoo (마마무),2016-01-30,너너너너너,ko
