title,artist,date,word,language
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,예,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,oh,en
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,yes,en
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,음,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,오,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,예,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,너에게,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,빠져들겠어,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,자꾸,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,반응하잖아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,oh,en
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,yes,en
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,음,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,오,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,예,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,그래,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,난,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,다가가겠어,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,넌,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,내,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,취향저격,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,ace,en
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,내,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,앞을,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,지나갔어,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,눈빛이,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,마주쳤어,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,스타일이,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,좋아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,느낌이,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,좋아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,다를,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,게,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,없는,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,오늘,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,너,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,때문에,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,달아오른,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,오늘이,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,좋아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,음오아예,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,첫,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,번째,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,플랜,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,감탄사,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,그,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,동안에,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,찾아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,헤맨,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,남자,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,음오아예,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,수많은,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,옷처럼,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,잘,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,어울리는,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,너야,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,부드럽게,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,이런,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,말,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,어떤,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,것,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,같아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,음,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,두,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,번째,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,플랜,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,먼저,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,당기기,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,오오,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,동공,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,떨리는,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,초침,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,스탠바이,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,큐,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,시간되면,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,차,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,한잔,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,할래요,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,예스,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,이런,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,건,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,어떤,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,것,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,같아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,oh,en
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,yes,en
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,음,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,오,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,아,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,예,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,너에게,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,빠져들겠어,ko
Um Oh Ah Yeh (음오아예) ,Mamamoo (마마무),2015-06-19,자꾸,ko
