title,artist,date,word,language
Ay-Yo ,NCT 127,2023-01-30,are,en
Ay-Yo ,NCT 127,2023-01-30,u,en
Ay-Yo ,NCT 127,2023-01-30,ready,en
Ay-Yo ,NCT 127,2023-01-30,닥쳐오는,ko
Ay-Yo ,NCT 127,2023-01-30,파란,ko
Ay-Yo ,NCT 127,2023-01-30,그,ko
Ay-Yo ,NCT 127,2023-01-30,패러다임,ko
Ay-Yo ,NCT 127,2023-01-30,경고,ko
Ay-Yo ,NCT 127,2023-01-30,속에,ko
Ay-Yo ,NCT 127,2023-01-30,영원했던,ko
Ay-Yo ,NCT 127,2023-01-30,존재들의,ko
Ay-Yo ,NCT 127,2023-01-30,반전,ko
Ay-Yo ,NCT 127,2023-01-30,its,en
Ay-Yo ,NCT 127,2023-01-30,up,en
Ay-Yo ,NCT 127,2023-01-30,to,en
Ay-Yo ,NCT 127,2023-01-30,you,en
Ay-Yo ,NCT 127,2023-01-30,what,en
Ay-Yo ,NCT 127,2023-01-30,you,en
Ay-Yo ,NCT 127,2023-01-30,wanna,en
Ay-Yo ,NCT 127,2023-01-30,do,en
Ay-Yo ,NCT 127,2023-01-30,whoa,en
Ay-Yo ,NCT 127,2023-01-30,how,en
Ay-Yo ,NCT 127,2023-01-30,we,en
Ay-Yo ,NCT 127,2023-01-30,do,en
Ay-Yo ,NCT 127,2023-01-30,that,en
Ay-Yo ,NCT 127,2023-01-30,how,en
Ay-Yo ,NCT 127,2023-01-30,we,en
Ay-Yo ,NCT 127,2023-01-30,do,en
Ay-Yo ,NCT 127,2023-01-30,that,en
Ay-Yo ,NCT 127,2023-01-30,clock,en
Ay-Yo ,NCT 127,2023-01-30,is,en
Ay-Yo ,NCT 127,2023-01-30,ticking,en
Ay-Yo ,NCT 127,2023-01-30,how,en
Ay-Yo ,NCT 127,2023-01-30,we,en
Ay-Yo ,NCT 127,2023-01-30,do,en
Ay-Yo ,NCT 127,2023-01-30,that,en
Ay-Yo ,NCT 127,2023-01-30,우린,ko
Ay-Yo ,NCT 127,2023-01-30,지속되어야,ko
