title,artist,date,word,language
Chain (Korean Ver.) ,NCT 127,2018-11-23,새벽빛에,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,잠을,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,깨는,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,butterfly,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,let,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,go,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,let,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,grow,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,let,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,spread,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,out,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,like,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,a,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,waterdrop,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,ripple,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,out,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,in,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,waves,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,작은,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,날개,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,짓에,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,시작되는,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,역사,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,chain,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,reaction,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,hey,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,번져가는,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,감각,ko
Chain (Korean Ver.) ,NCT 127,2018-11-23,chain,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,reaction,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,yeah,en
Chain (Korean Ver.) ,NCT 127,2018-11-23,연결되는,ko
