title,artist,date,word,language
Favorite (Vampire) ,NCT 127,2021-10-25,oh,en
Favorite (Vampire) ,NCT 127,2021-10-25,yeah,en
Favorite (Vampire) ,NCT 127,2021-10-25,yeah,en
Favorite (Vampire) ,NCT 127,2021-10-25,ah,en
Favorite (Vampire) ,NCT 127,2021-10-25,yeah,en
Favorite (Vampire) ,NCT 127,2021-10-25,ah,en
Favorite (Vampire) ,NCT 127,2021-10-25,yeah,en
Favorite (Vampire) ,NCT 127,2021-10-25,ah,en
Favorite (Vampire) ,NCT 127,2021-10-25,darlin,en
Favorite (Vampire) ,NCT 127,2021-10-25,darlin,en
Favorite (Vampire) ,NCT 127,2021-10-25,youre,en
Favorite (Vampire) ,NCT 127,2021-10-25,my,en
Favorite (Vampire) ,NCT 127,2021-10-25,favorite,en
Favorite (Vampire) ,NCT 127,2021-10-25,girl,en
Favorite (Vampire) ,NCT 127,2021-10-25,oh,en
Favorite (Vampire) ,NCT 127,2021-10-25,yeah,en
Favorite (Vampire) ,NCT 127,2021-10-25,열병같이,ko
Favorite (Vampire) ,NCT 127,2021-10-25,다가와,ko
Favorite (Vampire) ,NCT 127,2021-10-25,날,ko
Favorite (Vampire) ,NCT 127,2021-10-25,멸망,ko
Favorite (Vampire) ,NCT 127,2021-10-25,시켜,ko
Favorite (Vampire) ,NCT 127,2021-10-25,aint,en
Favorite (Vampire) ,NCT 127,2021-10-25,afraid,en
Favorite (Vampire) ,NCT 127,2021-10-25,at,en
Favorite (Vampire) ,NCT 127,2021-10-25,all,en
Favorite (Vampire) ,NCT 127,2021-10-25,내,ko
Favorite (Vampire) ,NCT 127,2021-10-25,세계,ko
Favorite (Vampire) ,NCT 127,2021-10-25,산산이,ko
Favorite (Vampire) ,NCT 127,2021-10-25,부서져,ko
Favorite (Vampire) ,NCT 127,2021-10-25,너를,ko
Favorite (Vampire) ,NCT 127,2021-10-25,탐하게,ko
Favorite (Vampire) ,NCT 127,2021-10-25,되고,ko
Favorite (Vampire) ,NCT 127,2021-10-25,불장난이라,ko
Favorite (Vampire) ,NCT 127,2021-10-25,해,ko
Favorite (Vampire) ,NCT 127,2021-10-25,quit,en
Favorite (Vampire) ,NCT 127,2021-10-25,that,en
Favorite (Vampire) ,NCT 127,2021-10-25,가시를,ko
Favorite (Vampire) ,NCT 127,2021-10-25,가졌네,ko
Favorite (Vampire) ,NCT 127,2021-10-25,hands,en
Favorite (Vampire) ,NCT 127,2021-10-25,down,en
Favorite (Vampire) ,NCT 127,2021-10-25,파편이,ko
Favorite (Vampire) ,NCT 127,2021-10-25,돼,ko
Favorite (Vampire) ,NCT 127,2021-10-25,버린,ko
Favorite (Vampire) ,NCT 127,2021-10-25,crown,en
Favorite (Vampire) ,NCT 127,2021-10-25,take,en
Favorite (Vampire) ,NCT 127,2021-10-25,that,en
Favorite (Vampire) ,NCT 127,2021-10-25,그,ko
Favorite (Vampire) ,NCT 127,2021-10-25,순결한,ko
Favorite (Vampire) ,NCT 127,2021-10-25,독,ko
Favorite (Vampire) ,NCT 127,2021-10-25,난,ko
Favorite (Vampire) ,NCT 127,2021-10-25,깨물었고,ko
Favorite (Vampire) ,NCT 127,2021-10-25,들이마셔,ko
Favorite (Vampire) ,NCT 127,2021-10-25,널,ko
Favorite (Vampire) ,NCT 127,2021-10-25,사랑함은,ko
Favorite (Vampire) ,NCT 127,2021-10-25,불완전함,ko
Favorite (Vampire) ,NCT 127,2021-10-25,위태로움,ko
Favorite (Vampire) ,NCT 127,2021-10-25,비틀거리고,ko
Favorite (Vampire) ,NCT 127,2021-10-25,증오,ko
Favorite (Vampire) ,NCT 127,2021-10-25,속에,ko
Favorite (Vampire) ,NCT 127,2021-10-25,미쳐도,ko
Favorite (Vampire) ,NCT 127,2021-10-25,사랑해,ko
Favorite (Vampire) ,NCT 127,2021-10-25,또,en
Favorite (Vampire) ,NCT 127,2021-10-25,사랑해,ko
Favorite (Vampire) ,NCT 127,2021-10-25,더,ko
Favorite (Vampire) ,NCT 127,2021-10-25,지독하게,ko
Favorite (Vampire) ,NCT 127,2021-10-25,아프고,ko
Favorite (Vampire) ,NCT 127,2021-10-25,싶어,ko
Favorite (Vampire) ,NCT 127,2021-10-25,이,ko
Favorite (Vampire) ,NCT 127,2021-10-25,운명,ko
Favorite (Vampire) ,NCT 127,2021-10-25,속에,ko
Favorite (Vampire) ,NCT 127,2021-10-25,"",en
Favorite (Vampire) ,NCT 127,2021-10-25,유타,ko
Favorite (Vampire) ,NCT 127,2021-10-25,all,en
Favorite (Vampire) ,NCT 127,2021-10-25,거친,ko
Favorite (Vampire) ,NCT 127,2021-10-25,눈빛,ko
Favorite (Vampire) ,NCT 127,2021-10-25,존재,ko
Favorite (Vampire) ,NCT 127,2021-10-25,전부,ko
Favorite (Vampire) ,NCT 127,2021-10-25,"",en
Favorite (Vampire) ,NCT 127,2021-10-25,유타,ko
Favorite (Vampire) ,NCT 127,2021-10-25,all,en
Favorite (Vampire) ,NCT 127,2021-10-25,girl,en
Favorite (Vampire) ,NCT 127,2021-10-25,youre,en
Favorite (Vampire) ,NCT 127,2021-10-25,my,en
Favorite (Vampire) ,NCT 127,2021-10-25,favorite,en
Favorite (Vampire) ,NCT 127,2021-10-25,"",en
Favorite (Vampire) ,NCT 127,2021-10-25,쟈니,ko
Favorite (Vampire) ,NCT 127,2021-10-25,all,en
Favorite (Vampire) ,NCT 127,2021-10-25,눈물,ko
Favorite (Vampire) ,NCT 127,2021-10-25,쏟고,ko
Favorite (Vampire) ,NCT 127,2021-10-25,무너지고,ko
Favorite (Vampire) ,NCT 127,2021-10-25,"",en
Favorite (Vampire) ,NCT 127,2021-10-25,태일,ko
Favorite (Vampire) ,NCT 127,2021-10-25,"",en
Favorite (Vampire) ,NCT 127,2021-10-25,쟈니,ko
Favorite (Vampire) ,NCT 127,2021-10-25,all,en
Favorite (Vampire) ,NCT 127,2021-10-25,열기,ko
