title,artist,date,word,language
Fire Truck (소방차) ,NCT 127,2016-07-08,get,en
Fire Truck (소방차) ,NCT 127,2016-07-08,it,en
Fire Truck (소방차) ,NCT 127,2016-07-08,lifted,en
Fire Truck (소방차) ,NCT 127,2016-07-08,유재,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,what,en
Fire Truck (소방차) ,NCT 127,2016-07-08,what,en
Fire Truck (소방차) ,NCT 127,2016-07-08,what,en
Fire Truck (소방차) ,NCT 127,2016-07-08,what,en
Fire Truck (소방차) ,NCT 127,2016-07-08,fire,en
Fire Truck (소방차) ,NCT 127,2016-07-08,truck,en
Fire Truck (소방차) ,NCT 127,2016-07-08,어딜봐,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,mr,en
Fire Truck (소방차) ,NCT 127,2016-07-08,fireman,en
Fire Truck (소방차) ,NCT 127,2016-07-08,on,en
Fire Truck (소방차) ,NCT 127,2016-07-08,the,en
Fire Truck (소방차) ,NCT 127,2016-07-08,floor,en
Fire Truck (소방차) ,NCT 127,2016-07-08,불을,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,지펴봐,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,이,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,열기를,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,식혀줄게,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,yeah,en
Fire Truck (소방차) ,NCT 127,2016-07-08,불만이,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,가득,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,찬,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,곳,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,더,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,화끈하게,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,저,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,siren소리에,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,느끼는,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,내,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,기분은,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,음,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,애써,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,빼는,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,척은,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,곤란해,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,like,en
Fire Truck (소방차) ,NCT 127,2016-07-08,this,en
Fire Truck (소방차) ,NCT 127,2016-07-08,미지근한,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,분위기는,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,no,en
Fire Truck (소방차) ,NCT 127,2016-07-08,thanks,en
Fire Truck (소방차) ,NCT 127,2016-07-08,흔들리는,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,내,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,달궈진,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,back,en
Fire Truck (소방차) ,NCT 127,2016-07-08,seat,en
Fire Truck (소방차) ,NCT 127,2016-07-08,유재마해,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,태운,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,뒤,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,빈틈없이,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,we,en
Fire Truck (소방차) ,NCT 127,2016-07-08,get,en
Fire Truck (소방차) ,NCT 127,2016-07-08,lit,en
Fire Truck (소방차) ,NCT 127,2016-07-08,ey,en
Fire Truck (소방차) ,NCT 127,2016-07-08,yea,en
Fire Truck (소방차) ,NCT 127,2016-07-08,yea,en
Fire Truck (소방차) ,NCT 127,2016-07-08,yea,en
Fire Truck (소방차) ,NCT 127,2016-07-08,yea,en
Fire Truck (소방차) ,NCT 127,2016-07-08,hands,en
Fire Truck (소방차) ,NCT 127,2016-07-08,up,en
Fire Truck (소방차) ,NCT 127,2016-07-08,if,en
Fire Truck (소방차) ,NCT 127,2016-07-08,you,en
Fire Truck (소방차) ,NCT 127,2016-07-08,feeling,en
Fire Truck (소방차) ,NCT 127,2016-07-08,the,en
Fire Truck (소방차) ,NCT 127,2016-07-08,vibe,en
Fire Truck (소방차) ,NCT 127,2016-07-08,now,en
Fire Truck (소방차) ,NCT 127,2016-07-08,ey,en
Fire Truck (소방차) ,NCT 127,2016-07-08,yea,en
Fire Truck (소방차) ,NCT 127,2016-07-08,yea,en
Fire Truck (소방차) ,NCT 127,2016-07-08,yea,en
Fire Truck (소방차) ,NCT 127,2016-07-08,yea,en
Fire Truck (소방차) ,NCT 127,2016-07-08,one,en
Fire Truck (소방차) ,NCT 127,2016-07-08,step,en
Fire Truck (소방차) ,NCT 127,2016-07-08,two,en
Fire Truck (소방차) ,NCT 127,2016-07-08,steps,en
Fire Truck (소방차) ,NCT 127,2016-07-08,go,en
Fire Truck (소방차) ,NCT 127,2016-07-08,오늘밤,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,너와,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,나,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,모두,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,다,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,빠져들지,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,언제든,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,달려가,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,소방차,ko
Fire Truck (소방차) ,NCT 127,2016-07-08,you,en
Fire Truck (소방차) ,NCT 127,2016-07-08,can,en
Fire Truck (소방차) ,NCT 127,2016-07-08,call,en
Fire Truck (소방차) ,NCT 127,2016-07-08,me,en
Fire Truck (소방차) ,NCT 127,2016-07-08,anytime,en
Fire Truck (소방차) ,NCT 127,2016-07-08,몸을,ko
