title,artist,date,word,language
Regular (Korean Ver.) ,NCT 127,2018-10-12,yeah,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,원하는,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,것,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,get,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,em,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,all,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,아직,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,없어,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,많은,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,buzz,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,도심,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,속의,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,주인공,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,ct,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,앞에,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,n,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,붙여,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,태용마크,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,우린,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,won을,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,쫓지,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,않아,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,be,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,the,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,one,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,one,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,one,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,태용마크,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,yeah,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,셀,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,수,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,없는,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,밤,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,난,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,주인공이,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,돼,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,i,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,be,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,bangin,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,with,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,my,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,team,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,우린,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,깨있어,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,깨있어,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,깨있어,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,빛은,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,우릴,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,가리키지,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,in,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,the,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,street,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,oh,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,splash,en
Regular (Korean Ver.) ,NCT 127,2018-10-12,도심,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,속에,ko
Regular (Korean Ver.) ,NCT 127,2018-10-12,잠시,ko
