title,artist,date,word,language
BOOM ,NCT DREAM,2019-07-26,on,en
BOOM ,NCT DREAM,2019-07-26,숨소리조차도,ko
BOOM ,NCT DREAM,2019-07-26,음악,ko
BOOM ,NCT DREAM,2019-07-26,같은,ko
BOOM ,NCT DREAM,2019-07-26,stage,en
BOOM ,NCT DREAM,2019-07-26,lets,en
BOOM ,NCT DREAM,2019-07-26,go,en
BOOM ,NCT DREAM,2019-07-26,나의,ko
BOOM ,NCT DREAM,2019-07-26,땀방울은,ko
BOOM ,NCT DREAM,2019-07-26,네겐,ko
BOOM ,NCT DREAM,2019-07-26,heavy,en
BOOM ,NCT DREAM,2019-07-26,rain,en
BOOM ,NCT DREAM,2019-07-26,언제나,ko
BOOM ,NCT DREAM,2019-07-26,hot,en
BOOM ,NCT DREAM,2019-07-26,and,en
BOOM ,NCT DREAM,2019-07-26,shine,en
BOOM ,NCT DREAM,2019-07-26,무대,ko
BOOM ,NCT DREAM,2019-07-26,위에서,ko
BOOM ,NCT DREAM,2019-07-26,ride,en
BOOM ,NCT DREAM,2019-07-26,네,ko
BOOM ,NCT DREAM,2019-07-26,눈이,ko
BOOM ,NCT DREAM,2019-07-26,맘보다,ko
BOOM ,NCT DREAM,2019-07-26,먼저,ko
BOOM ,NCT DREAM,2019-07-26,반응해,ko
BOOM ,NCT DREAM,2019-07-26,지금,ko
BOOM ,NCT DREAM,2019-07-26,우린,ko
BOOM ,NCT DREAM,2019-07-26,과도한,ko
BOOM ,NCT DREAM,2019-07-26,열기로,ko
BOOM ,NCT DREAM,2019-07-26,넘쳐,ko
BOOM ,NCT DREAM,2019-07-26,편히,ko
BOOM ,NCT DREAM,2019-07-26,앉아,ko
BOOM ,NCT DREAM,2019-07-26,놀아줄,ko
BOOM ,NCT DREAM,2019-07-26,시간은,ko
BOOM ,NCT DREAM,2019-07-26,없어,ko
BOOM ,NCT DREAM,2019-07-26,과정을,ko
BOOM ,NCT DREAM,2019-07-26,즐겨,ko
BOOM ,NCT DREAM,2019-07-26,나와,ko
BOOM ,NCT DREAM,2019-07-26,같이,ko
BOOM ,NCT DREAM,2019-07-26,더,ko
BOOM ,NCT DREAM,2019-07-26,달려,ko
BOOM ,NCT DREAM,2019-07-26,더,ko
BOOM ,NCT DREAM,2019-07-26,자유롭게,ko
BOOM ,NCT DREAM,2019-07-26,원하고,ko
BOOM ,NCT DREAM,2019-07-26,또,en
BOOM ,NCT DREAM,2019-07-26,원해,ko
BOOM ,NCT DREAM,2019-07-26,too,en
BOOM ,NCT DREAM,2019-07-26,lit,en
BOOM ,NCT DREAM,2019-07-26,too,en
BOOM ,NCT DREAM,2019-07-26,litty,en
BOOM ,NCT DREAM,2019-07-26,we,en
BOOM ,NCT DREAM,2019-07-26,rolling,en
BOOM ,NCT DREAM,2019-07-26,난,ko
BOOM ,NCT DREAM,2019-07-26,너의,ko
BOOM ,NCT DREAM,2019-07-26,꿈이자,ko
BOOM ,NCT DREAM,2019-07-26,꿈에,ko
BOOM ,NCT DREAM,2019-07-26,닿는,ko
BOOM ,NCT DREAM,2019-07-26,통로가,ko
BOOM ,NCT DREAM,2019-07-26,돼,ko
BOOM ,NCT DREAM,2019-07-26,너의,ko
BOOM ,NCT DREAM,2019-07-26,꿈을,ko
BOOM ,NCT DREAM,2019-07-26,손에,ko
BOOM ,NCT DREAM,2019-07-26,쥐여줄,ko
BOOM ,NCT DREAM,2019-07-26,수,ko
BOOM ,NCT DREAM,2019-07-26,있어,ko
BOOM ,NCT DREAM,2019-07-26,oh,en
BOOM ,NCT DREAM,2019-07-26,순수한,ko
BOOM ,NCT DREAM,2019-07-26,표정으로,ko
BOOM ,NCT DREAM,2019-07-26,춤을,ko
BOOM ,NCT DREAM,2019-07-26,추던,ko
BOOM ,NCT DREAM,2019-07-26,아인,ko
BOOM ,NCT DREAM,2019-07-26,이제,ko
BOOM ,NCT DREAM,2019-07-26,웃으면서,ko
BOOM ,NCT DREAM,2019-07-26,이,ko
BOOM ,NCT DREAM,2019-07-26,트랙에,ko
BOOM ,NCT DREAM,2019-07-26,불을,ko
BOOM ,NCT DREAM,2019-07-26,질러,ko
BOOM ,NCT DREAM,2019-07-26,oh,en
BOOM ,NCT DREAM,2019-07-26,지성all,ko
BOOM ,NCT DREAM,2019-07-26,we,en
BOOM ,NCT DREAM,2019-07-26,got,en
BOOM ,NCT DREAM,2019-07-26,that,en
BOOM ,NCT DREAM,2019-07-26,지성all,ko
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,지성all,ko
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,지성all,ko
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,지성all,ko
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,boom,en
BOOM ,NCT DREAM,2019-07-26,지성all,ko
BOOM ,NCT DREAM,2019-07-26,yeah,en
BOOM ,NCT DREAM,2019-07-26,we,en
BOOM ,NCT DREAM,2019-07-26,got,en
BOOM ,NCT DREAM,2019-07-26,that,en
BOOM ,NCT DREAM,2019-07-26,지성all,ko
BOOM ,NCT DREAM,2019-07-26,we,en
BOOM ,NCT DREAM,2019-07-26,like,en
BOOM ,NCT DREAM,2019-07-26,that,en
BOOM ,NCT DREAM,2019-07-26,재민all,ko
BOOM ,NCT DREAM,2019-07-26,나를,ko
BOOM ,NCT DREAM,2019-07-26,던지고,ko
BOOM ,NCT DREAM,2019-07-26,재민all,ko
BOOM ,NCT DREAM,2019-07-26,너를,ko
BOOM ,NCT DREAM,2019-07-26,깨우고,ko
