title,artist,date,word,language
Chewing Gum ,NCT DREAM,2016-08-27,chewing,en
Chewing Gum ,NCT DREAM,2016-08-27,gum,en
Chewing Gum ,NCT DREAM,2016-08-27,chewchewchewchew,en
Chewing Gum ,NCT DREAM,2016-08-27,chewchewchewchewchew,en
Chewing Gum ,NCT DREAM,2016-08-27,chewchewchewchew,en
Chewing Gum ,NCT DREAM,2016-08-27,chewing,en
Chewing Gum ,NCT DREAM,2016-08-27,gum,en
Chewing Gum ,NCT DREAM,2016-08-27,내,ko
Chewing Gum ,NCT DREAM,2016-08-27,까만,ko
Chewing Gum ,NCT DREAM,2016-08-27,스니커즈를,ko
Chewing Gum ,NCT DREAM,2016-08-27,지금,ko
Chewing Gum ,NCT DREAM,2016-08-27,멈추게,ko
Chewing Gum ,NCT DREAM,2016-08-27,만든,ko
Chewing Gum ,NCT DREAM,2016-08-27,너,ko
Chewing Gum ,NCT DREAM,2016-08-27,범인은,ko
Chewing Gum ,NCT DREAM,2016-08-27,어서,ko
Chewing Gum ,NCT DREAM,2016-08-27,나와,ko
Chewing Gum ,NCT DREAM,2016-08-27,좋은,ko
Chewing Gum ,NCT DREAM,2016-08-27,말,ko
Chewing Gum ,NCT DREAM,2016-08-27,할,ko
Chewing Gum ,NCT DREAM,2016-08-27,때,ko
Chewing Gum ,NCT DREAM,2016-08-27,빨리나와,ko
Chewing Gum ,NCT DREAM,2016-08-27,끈적한,ko
Chewing Gum ,NCT DREAM,2016-08-27,발이,ko
Chewing Gum ,NCT DREAM,2016-08-27,떨어지지,ko
Chewing Gum ,NCT DREAM,2016-08-27,않는,ko
Chewing Gum ,NCT DREAM,2016-08-27,게,ko
Chewing Gum ,NCT DREAM,2016-08-27,조금,ko
Chewing Gum ,NCT DREAM,2016-08-27,전,ko
Chewing Gum ,NCT DREAM,2016-08-27,뱉은,ko
Chewing Gum ,NCT DREAM,2016-08-27,지,ko
Chewing Gum ,NCT DREAM,2016-08-27,얼마,ko
Chewing Gum ,NCT DREAM,2016-08-27,안,ko
Chewing Gum ,NCT DREAM,2016-08-27,된,ko
Chewing Gum ,NCT DREAM,2016-08-27,것이,ko
Chewing Gum ,NCT DREAM,2016-08-27,분명,ko
Chewing Gum ,NCT DREAM,2016-08-27,해,ko
Chewing Gum ,NCT DREAM,2016-08-27,딱,ko
Chewing Gum ,NCT DREAM,2016-08-27,기다려,ko
Chewing Gum ,NCT DREAM,2016-08-27,넌지시,ko
Chewing Gum ,NCT DREAM,2016-08-27,마주치는,ko
Chewing Gum ,NCT DREAM,2016-08-27,시선이,ko
Chewing Gum ,NCT DREAM,2016-08-27,어색해,ko
Chewing Gum ,NCT DREAM,2016-08-27,천천히,ko
Chewing Gum ,NCT DREAM,2016-08-27,다가가자,ko
Chewing Gum ,NCT DREAM,2016-08-27,딴,ko
Chewing Gum ,NCT DREAM,2016-08-27,곳을,ko
Chewing Gum ,NCT DREAM,2016-08-27,보는,ko
Chewing Gum ,NCT DREAM,2016-08-27,걸,ko
Chewing Gum ,NCT DREAM,2016-08-27,역시,ko
Chewing Gum ,NCT DREAM,2016-08-27,널,ko
Chewing Gum ,NCT DREAM,2016-08-27,찾아내긴,ko
Chewing Gum ,NCT DREAM,2016-08-27,어렵지,ko
Chewing Gum ,NCT DREAM,2016-08-27,않았어,ko
