title,artist,date,word,language
Hello Future ,NCT DREAM,2021-06-28,big,en
Hello Future ,NCT DREAM,2021-06-28,dreams,en
Hello Future ,NCT DREAM,2021-06-28,and,en
Hello Future ,NCT DREAM,2021-06-28,big,en
Hello Future ,NCT DREAM,2021-06-28,thrills,en
Hello Future ,NCT DREAM,2021-06-28,flying,en
Hello Future ,NCT DREAM,2021-06-28,high,en
Hello Future ,NCT DREAM,2021-06-28,터무니없는,ko
Hello Future ,NCT DREAM,2021-06-28,상상해봐,ko
Hello Future ,NCT DREAM,2021-06-28,네,ko
Hello Future ,NCT DREAM,2021-06-28,눈앞에,ko
Hello Future ,NCT DREAM,2021-06-28,달려들고,ko
Hello Future ,NCT DREAM,2021-06-28,있는,ko
Hello Future ,NCT DREAM,2021-06-28,별,ko
Hello Future ,NCT DREAM,2021-06-28,낚아,ko
Hello Future ,NCT DREAM,2021-06-28,채,en
Hello Future ,NCT DREAM,2021-06-28,불을,ko
Hello Future ,NCT DREAM,2021-06-28,태워,ko
Hello Future ,NCT DREAM,2021-06-28,봐,ko
Hello Future ,NCT DREAM,2021-06-28,시작이라는,ko
Hello Future ,NCT DREAM,2021-06-28,걸,ko
Hello Future ,NCT DREAM,2021-06-28,넌,ko
Hello Future ,NCT DREAM,2021-06-28,믿을,ko
Hello Future ,NCT DREAM,2021-06-28,수,ko
Hello Future ,NCT DREAM,2021-06-28,있겠니,ko
Hello Future ,NCT DREAM,2021-06-28,이제야,ko
Hello Future ,NCT DREAM,2021-06-28,사랑을,ko
Hello Future ,NCT DREAM,2021-06-28,알,ko
Hello Future ,NCT DREAM,2021-06-28,것,ko
Hello Future ,NCT DREAM,2021-06-28,같아,ko
Hello Future ,NCT DREAM,2021-06-28,ready,en
Hello Future ,NCT DREAM,2021-06-28,or,en
Hello Future ,NCT DREAM,2021-06-28,not,en
Hello Future ,NCT DREAM,2021-06-28,가는,ko
Hello Future ,NCT DREAM,2021-06-28,거야,ko
Hello Future ,NCT DREAM,2021-06-28,"",en
Hello Future ,NCT DREAM,2021-06-28,런쥔,ko
Hello Future ,NCT DREAM,2021-06-28,"",en
Hello Future ,NCT DREAM,2021-06-28,천러,ko
Hello Future ,NCT DREAM,2021-06-28,"",en
Hello Future ,NCT DREAM,2021-06-28,나를,ko
Hello Future ,NCT DREAM,2021-06-28,믿어,ko
Hello Future ,NCT DREAM,2021-06-28,soldiers,en
Hello Future ,NCT DREAM,2021-06-28,knocking,en
Hello Future ,NCT DREAM,2021-06-28,doors,en
Hello Future ,NCT DREAM,2021-06-28,down,en
Hello Future ,NCT DREAM,2021-06-28,yelling,en
Hello Future ,NCT DREAM,2021-06-28,out,en
Hello Future ,NCT DREAM,2021-06-28,전쟁,ko
Hello Future ,NCT DREAM,2021-06-28,전쟁,ko
Hello Future ,NCT DREAM,2021-06-28,같던,ko
Hello Future ,NCT DREAM,2021-06-28,시간들은,ko
Hello Future ,NCT DREAM,2021-06-28,모두,ko
Hello Future ,NCT DREAM,2021-06-28,뒤로,ko
Hello Future ,NCT DREAM,2021-06-28,보내,ko
Hello Future ,NCT DREAM,2021-06-28,가슴이,ko
Hello Future ,NCT DREAM,2021-06-28,소리치네,ko
Hello Future ,NCT DREAM,2021-06-28,달려가,ko
Hello Future ,NCT DREAM,2021-06-28,날아,ko
Hello Future ,NCT DREAM,2021-06-28,봐,ko
Hello Future ,NCT DREAM,2021-06-28,if,en
Hello Future ,NCT DREAM,2021-06-28,youre,en
Hello Future ,NCT DREAM,2021-06-28,rocking,en
Hello Future ,NCT DREAM,2021-06-28,with,en
Hello Future ,NCT DREAM,2021-06-28,me,en
Hello Future ,NCT DREAM,2021-06-28,oh,en
Hello Future ,NCT DREAM,2021-06-28,oh,en
Hello Future ,NCT DREAM,2021-06-28,here,en
Hello Future ,NCT DREAM,2021-06-28,we,en
Hello Future ,NCT DREAM,2021-06-28,go,en
Hello Future ,NCT DREAM,2021-06-28,here,en
Hello Future ,NCT DREAM,2021-06-28,we,en
Hello Future ,NCT DREAM,2021-06-28,go,en
Hello Future ,NCT DREAM,2021-06-28,satellite,en
Hello Future ,NCT DREAM,2021-06-28,radio,en
Hello Future ,NCT DREAM,2021-06-28,내,ko
Hello Future ,NCT DREAM,2021-06-28,미래에,ko
Hello Future ,NCT DREAM,2021-06-28,전해,ko
Hello Future ,NCT DREAM,2021-06-28,줘,ko
Hello Future ,NCT DREAM,2021-06-28,온,ko
Hello Future ,NCT DREAM,2021-06-28,세상과,ko
Hello Future ,NCT DREAM,2021-06-28,저,ko
Hello Future ,NCT DREAM,2021-06-28,광야,ko
Hello Future ,NCT DREAM,2021-06-28,위로,ko
Hello Future ,NCT DREAM,2021-06-28,후회,ko
Hello Future ,NCT DREAM,2021-06-28,없이,ko
Hello Future ,NCT DREAM,2021-06-28,사랑했다고,ko
Hello Future ,NCT DREAM,2021-06-28,말하게,ko
Hello Future ,NCT DREAM,2021-06-28,"",en
Hello Future ,NCT DREAM,2021-06-28,마크,ko
Hello Future ,NCT DREAM,2021-06-28,all,en
Hello Future ,NCT DREAM,2021-06-28,기다렸어,ko
Hello Future ,NCT DREAM,2021-06-28,어서,ko
Hello Future ,NCT DREAM,2021-06-28,와,ko
Hello Future ,NCT DREAM,2021-06-28,"",en
Hello Future ,NCT DREAM,2021-06-28,마크,ko
Hello Future ,NCT DREAM,2021-06-28,all,en
Hello Future ,NCT DREAM,2021-06-28,어디든,ko
Hello Future ,NCT DREAM,2021-06-28,were,en
Hello Future ,NCT DREAM,2021-06-28,coming,en
Hello Future ,NCT DREAM,2021-06-28,together,en
Hello Future ,NCT DREAM,2021-06-28,"",en
Hello Future ,NCT DREAM,2021-06-28,마크,ko
Hello Future ,NCT DREAM,2021-06-28,all,en
Hello Future ,NCT DREAM,2021-06-28,아무,ko
Hello Future ,NCT DREAM,2021-06-28,걱정,ko
Hello Future ,NCT DREAM,2021-06-28,하지,ko
Hello Future ,NCT DREAM,2021-06-28,마,ko
Hello Future ,NCT DREAM,2021-06-28,"",en
Hello Future ,NCT DREAM,2021-06-28,마크,ko
Hello Future ,NCT DREAM,2021-06-28,all,en
Hello Future ,NCT DREAM,2021-06-28,잘,ko
Hello Future ,NCT DREAM,2021-06-28,될,ko
Hello Future ,NCT DREAM,2021-06-28,거야,ko
Hello Future ,NCT DREAM,2021-06-28,hello,en
Hello Future ,NCT DREAM,2021-06-28,future,en
Hello Future ,NCT DREAM,2021-06-28,"",en
Hello Future ,NCT DREAM,2021-06-28,해챈,ko
Hello Future ,NCT DREAM,2021-06-28,all,en
Hello Future ,NCT DREAM,2021-06-28,너를,ko
Hello Future ,NCT DREAM,2021-06-28,만나,ko
Hello Future ,NCT DREAM,2021-06-28,같이,ko
Hello Future ,NCT DREAM,2021-06-28,더,ko
Hello Future ,NCT DREAM,2021-06-28,빛나,ko
