title,artist,date,word,language
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,maybe,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,maybe,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,이건,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,사랑일지도,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,몰라,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,이미,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,내,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,눈에는,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,너만,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,보여,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,난,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,아직,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,아닐,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,거라,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,겁을,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,먹어도,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,oh,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,내게도,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,온,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,것,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,같아,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,책에,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,적힌,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,글자들이,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,현실이,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,돼,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,가슴이,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,곧,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,터져,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,버릴,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,것,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,같아,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,oh,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,아냐,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,어떤,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,말로도,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,설명할,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,수,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,없어,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,그래,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,나에겐,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,너뿐이야,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,내가,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,어디,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,있어도,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,꿈속에서도,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,oh,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,나에겐,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,너뿐이야,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,남은,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,인생을,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,걸고,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,말할게,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,두,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,번은,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,없어,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,넌,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,나의,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,마지막,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,lets,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,talk,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,about,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,love,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,let,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,me,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,talk,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,about,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,love,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,yeah,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,im,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,talking,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,about,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,you,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,yeah,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,im,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,talking,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,about,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,you,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,다,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,내게,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,말해,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,기회는,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,더,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,있다고,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,아냐,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,내겐,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,너뿐,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,my,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,baby,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,baby,en
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,처음이라고,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,모르지,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,않아,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,모두,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,우릴,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,부러워하게,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,될,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,걸,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,첫사랑이,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,끝까지,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,이어지는,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,그,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,기회를,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,잡은,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,거야,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,클럽에서,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,춤을,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,꼭,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,추지,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,않아도,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,내,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,심장은,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,너와,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,춤을,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,추는,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,걸,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,알딸딸한,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,게,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,뭔지,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,난,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,아직,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,모르지만,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,너에게,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,취한,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,것,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,같아,ko
My First and Last (마지막 첫사랑) ,NCT DREAM,2017-02-09,내가,ko
