title,artist,date,word,language
BOSS ,NCT U,2018-02-18,이,ko
BOSS ,NCT U,2018-02-18,공간,ko
BOSS ,NCT U,2018-02-18,속에,ko
BOSS ,NCT U,2018-02-18,비밀,ko
BOSS ,NCT U,2018-02-18,shimmy,en
BOSS ,NCT U,2018-02-18,shimmy,en
BOSS ,NCT U,2018-02-18,가까움은,ko
BOSS ,NCT U,2018-02-18,가면,ko
BOSS ,NCT U,2018-02-18,같은,ko
BOSS ,NCT U,2018-02-18,gimmick,en
BOSS ,NCT U,2018-02-18,give,en
BOSS ,NCT U,2018-02-18,me,en
BOSS ,NCT U,2018-02-18,give,en
BOSS ,NCT U,2018-02-18,me,en
BOSS ,NCT U,2018-02-18,우린,ko
BOSS ,NCT U,2018-02-18,만질,ko
BOSS ,NCT U,2018-02-18,수,ko
BOSS ,NCT U,2018-02-18,없는,ko
BOSS ,NCT U,2018-02-18,걸,ko
BOSS ,NCT U,2018-02-18,믿지,ko
BOSS ,NCT U,2018-02-18,태용루카스,ko
BOSS ,NCT U,2018-02-18,woo,en
BOSS ,NCT U,2018-02-18,너도,ko
BOSS ,NCT U,2018-02-18,알지,ko
BOSS ,NCT U,2018-02-18,태용루카스,ko
BOSS ,NCT U,2018-02-18,우린,ko
BOSS ,NCT U,2018-02-18,알고,ko
BOSS ,NCT U,2018-02-18,있지,ko
BOSS ,NCT U,2018-02-18,woo,en
BOSS ,NCT U,2018-02-18,더,ko
BOSS ,NCT U,2018-02-18,가까워진,ko
BOSS ,NCT U,2018-02-18,건,ko
BOSS ,NCT U,2018-02-18,wild,en
BOSS ,NCT U,2018-02-18,소리보다,ko
BOSS ,NCT U,2018-02-18,더,ko
BOSS ,NCT U,2018-02-18,큰,ko
BOSS ,NCT U,2018-02-18,벽,ko
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,wild,en
BOSS ,NCT U,2018-02-18,더는,ko
BOSS ,NCT U,2018-02-18,참을,ko
BOSS ,NCT U,2018-02-18,수,ko
BOSS ,NCT U,2018-02-18,없어,ko
BOSS ,NCT U,2018-02-18,재현윈윈,ko
BOSS ,NCT U,2018-02-18,woo,en
BOSS ,NCT U,2018-02-18,난,ko
BOSS ,NCT U,2018-02-18,깨버리지,ko
BOSS ,NCT U,2018-02-18,재현윈윈,ko
BOSS ,NCT U,2018-02-18,woo,en
BOSS ,NCT U,2018-02-18,난,ko
BOSS ,NCT U,2018-02-18,깨버리지,ko
BOSS ,NCT U,2018-02-18,깨버리지,ko
BOSS ,NCT U,2018-02-18,내가,ko
BOSS ,NCT U,2018-02-18,손대면,ko
BOSS ,NCT U,2018-02-18,뭐든지,ko
BOSS ,NCT U,2018-02-18,가지게,ko
BOSS ,NCT U,2018-02-18,돼,ko
BOSS ,NCT U,2018-02-18,나의,ko
BOSS ,NCT U,2018-02-18,온기,ko
BOSS ,NCT U,2018-02-18,손끝에,ko
BOSS ,NCT U,2018-02-18,닿는,ko
BOSS ,NCT U,2018-02-18,순간,ko
BOSS ,NCT U,2018-02-18,빠진,ko
BOSS ,NCT U,2018-02-18,느낌,ko
BOSS ,NCT U,2018-02-18,yeah,en
BOSS ,NCT U,2018-02-18,i,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,want,en
BOSS ,NCT U,2018-02-18,내게,ko
BOSS ,NCT U,2018-02-18,가까이,ko
BOSS ,NCT U,2018-02-18,닿아봐,ko
BOSS ,NCT U,2018-02-18,the,en
BOSS ,NCT U,2018-02-18,world,en
BOSS ,NCT U,2018-02-18,is,en
BOSS ,NCT U,2018-02-18,ours,en
BOSS ,NCT U,2018-02-18,world,en
BOSS ,NCT U,2018-02-18,is,en
BOSS ,NCT U,2018-02-18,ours,en
BOSS ,NCT U,2018-02-18,마크all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,마크all,ko
BOSS ,NCT U,2018-02-18,내가,ko
BOSS ,NCT U,2018-02-18,널,ko
BOSS ,NCT U,2018-02-18,이끄는,ko
BOSS ,NCT U,2018-02-18,boss,en
BOSS ,NCT U,2018-02-18,루카스all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,마크all,ko
BOSS ,NCT U,2018-02-18,내가,ko
BOSS ,NCT U,2018-02-18,널,ko
BOSS ,NCT U,2018-02-18,움직인,ko
BOSS ,NCT U,2018-02-18,player,en
BOSS ,NCT U,2018-02-18,루카스all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,태용all,ko
BOSS ,NCT U,2018-02-18,내가,ko
BOSS ,NCT U,2018-02-18,널,ko
BOSS ,NCT U,2018-02-18,이끄는,ko
BOSS ,NCT U,2018-02-18,boss,en
BOSS ,NCT U,2018-02-18,루카스all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,태용all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,태용all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,루카스all,ko
BOSS ,NCT U,2018-02-18,내가,ko
BOSS ,NCT U,2018-02-18,널,ko
BOSS ,NCT U,2018-02-18,이끄는,ko
BOSS ,NCT U,2018-02-18,boss,en
BOSS ,NCT U,2018-02-18,윈윈all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,루카스all,ko
BOSS ,NCT U,2018-02-18,내가,ko
BOSS ,NCT U,2018-02-18,널,ko
BOSS ,NCT U,2018-02-18,움직인,ko
BOSS ,NCT U,2018-02-18,player,en
BOSS ,NCT U,2018-02-18,윈윈all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,재현all,ko
BOSS ,NCT U,2018-02-18,내가,ko
BOSS ,NCT U,2018-02-18,널,ko
BOSS ,NCT U,2018-02-18,이끄는,ko
BOSS ,NCT U,2018-02-18,boss,en
BOSS ,NCT U,2018-02-18,윈윈all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,재현all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,재현all,ko
BOSS ,NCT U,2018-02-18,dont,en
BOSS ,NCT U,2018-02-18,you,en
BOSS ,NCT U,2018-02-18,know,en
BOSS ,NCT U,2018-02-18,im,en
BOSS ,NCT U,2018-02-18,a,en
BOSS ,NCT U,2018-02-18,내가,ko
BOSS ,NCT U,2018-02-18,널,ko
BOSS ,NCT U,2018-02-18,이끄는,ko
BOSS ,NCT U,2018-02-18,대로,ko
BOSS ,NCT U,2018-02-18,움직여,ko
BOSS ,NCT U,2018-02-18,더,ko
BOSS ,NCT U,2018-02-18,높이,ko
BOSS ,NCT U,2018-02-18,너의,ko
BOSS ,NCT U,2018-02-18,손을,ko
BOSS ,NCT U,2018-02-18,뻗어,ko
BOSS ,NCT U,2018-02-18,난,ko
BOSS ,NCT U,2018-02-18,또,en
BOSS ,NCT U,2018-02-18,다른,ko
BOSS ,NCT U,2018-02-18,너와,ko
BOSS ,NCT U,2018-02-18,나를,ko
BOSS ,NCT U,2018-02-18,묶지,ko
BOSS ,NCT U,2018-02-18,마크정우,ko
BOSS ,NCT U,2018-02-18,또다시,ko
BOSS ,NCT U,2018-02-18,묶인,ko
BOSS ,NCT U,2018-02-18,oh,en
BOSS ,NCT U,2018-02-18,다른,ko
BOSS ,NCT U,2018-02-18,우리,ko
BOSS ,NCT U,2018-02-18,다른,ko
BOSS ,NCT U,2018-02-18,우리,ko
BOSS ,NCT U,2018-02-18,난,ko
BOSS ,NCT U,2018-02-18,절대적인,ko
BOSS ,NCT U,2018-02-18,너의,ko
