title,artist,date,word,language
Baby Don't Stop ,NCT U,2018-02-27,본,ko
Baby Don't Stop ,NCT U,2018-02-27,이후,ko
Baby Don't Stop ,NCT U,2018-02-27,모든,ko
Baby Don't Stop ,NCT U,2018-02-27,사소한,ko
Baby Don't Stop ,NCT U,2018-02-27,이유는,ko
Baby Don't Stop ,NCT U,2018-02-27,필요,ko
Baby Don't Stop ,NCT U,2018-02-27,없어진,ko
Baby Don't Stop ,NCT U,2018-02-27,feeling,en
Baby Don't Stop ,NCT U,2018-02-27,초의,ko
Baby Don't Stop ,NCT U,2018-02-27,백분위까지,ko
Baby Don't Stop ,NCT U,2018-02-27,느껴지는,ko
Baby Don't Stop ,NCT U,2018-02-27,magic,en
Baby Don't Stop ,NCT U,2018-02-27,섬세한,ko
Baby Don't Stop ,NCT U,2018-02-27,one,en
Baby Don't Stop ,NCT U,2018-02-27,minute,en
Baby Don't Stop ,NCT U,2018-02-27,내,ko
Baby Don't Stop ,NCT U,2018-02-27,모든,ko
Baby Don't Stop ,NCT U,2018-02-27,신경이,ko
Baby Don't Stop ,NCT U,2018-02-27,전부,ko
Baby Don't Stop ,NCT U,2018-02-27,곤두서,ko
Baby Don't Stop ,NCT U,2018-02-27,너를,ko
Baby Don't Stop ,NCT U,2018-02-27,알기를,ko
Baby Don't Stop ,NCT U,2018-02-27,원해,ko
Baby Don't Stop ,NCT U,2018-02-27,낯설고,ko
Baby Don't Stop ,NCT U,2018-02-27,미묘한,ko
Baby Don't Stop ,NCT U,2018-02-27,작은,ko
Baby Don't Stop ,NCT U,2018-02-27,떨림마저,ko
Baby Don't Stop ,NCT U,2018-02-27,전부,ko
Baby Don't Stop ,NCT U,2018-02-27,다,ko
Baby Don't Stop ,NCT U,2018-02-27,전해지네,ko
Baby Don't Stop ,NCT U,2018-02-27,stop,en
Baby Don't Stop ,NCT U,2018-02-27,baby,en
Baby Don't Stop ,NCT U,2018-02-27,dont,en
Baby Don't Stop ,NCT U,2018-02-27,stop,en
Baby Don't Stop ,NCT U,2018-02-27,멈추지,ko
Baby Don't Stop ,NCT U,2018-02-27,마,ko
Baby Don't Stop ,NCT U,2018-02-27,baby,en
Baby Don't Stop ,NCT U,2018-02-27,dont,en
Baby Don't Stop ,NCT U,2018-02-27,stop,en
Baby Don't Stop ,NCT U,2018-02-27,나만,ko
Baby Don't Stop ,NCT U,2018-02-27,알아볼,ko
Baby Don't Stop ,NCT U,2018-02-27,특별한,ko
Baby Don't Stop ,NCT U,2018-02-27,그,ko
Baby Don't Stop ,NCT U,2018-02-27,sign,en
Baby Don't Stop ,NCT U,2018-02-27,cool,en
Baby Don't Stop ,NCT U,2018-02-27,둘,ko
Baby Don't Stop ,NCT U,2018-02-27,뿐인,ko
Baby Don't Stop ,NCT U,2018-02-27,지금,ko
Baby Don't Stop ,NCT U,2018-02-27,baby,en
Baby Don't Stop ,NCT U,2018-02-27,dont,en
Baby Don't Stop ,NCT U,2018-02-27,stop,en
Baby Don't Stop ,NCT U,2018-02-27,stop,en
Baby Don't Stop ,NCT U,2018-02-27,baby,en
Baby Don't Stop ,NCT U,2018-02-27,dont,en
Baby Don't Stop ,NCT U,2018-02-27,stop,en
Baby Don't Stop ,NCT U,2018-02-27,dont,en
Baby Don't Stop ,NCT U,2018-02-27,stop,en
Baby Don't Stop ,NCT U,2018-02-27,둘만,ko
Baby Don't Stop ,NCT U,2018-02-27,아는,ko
Baby Don't Stop ,NCT U,2018-02-27,은밀한,ko
Baby Don't Stop ,NCT U,2018-02-27,sign,en
Baby Don't Stop ,NCT U,2018-02-27,baby,en
Baby Don't Stop ,NCT U,2018-02-27,dont,en
Baby Don't Stop ,NCT U,2018-02-27,stop,en
Baby Don't Stop ,NCT U,2018-02-27,no,en
Baby Don't Stop ,NCT U,2018-02-27,하나하나,ko
Baby Don't Stop ,NCT U,2018-02-27,다,ko
Baby Don't Stop ,NCT U,2018-02-27,완벽한,ko
