title,artist,date,word,language
From Home ,NCT U,2020-10-13,i,en
From Home ,NCT U,2020-10-13,remember,en
From Home ,NCT U,2020-10-13,like,en
From Home ,NCT U,2020-10-13,its,en
From Home ,NCT U,2020-10-13,yesterday,en
From Home ,NCT U,2020-10-13,oh,en
From Home ,NCT U,2020-10-13,no,en
From Home ,NCT U,2020-10-13,외로움에,ko
From Home ,NCT U,2020-10-13,힘들던,ko
From Home ,NCT U,2020-10-13,그때,ko
From Home ,NCT U,2020-10-13,낯설기만,ko
From Home ,NCT U,2020-10-13,하던,ko
From Home ,NCT U,2020-10-13,이,ko
From Home ,NCT U,2020-10-13,공기도,ko
From Home ,NCT U,2020-10-13,두렵기만,ko
From Home ,NCT U,2020-10-13,하던,ko
From Home ,NCT U,2020-10-13,이,ko
From Home ,NCT U,2020-10-13,떨림도,ko
From Home ,NCT U,2020-10-13,now,en
From Home ,NCT U,2020-10-13,i,en
From Home ,NCT U,2020-10-13,know,en
From Home ,NCT U,2020-10-13,그,ko
From Home ,NCT U,2020-10-13,어렸던,ko
From Home ,NCT U,2020-10-13,마음까지,ko
From Home ,NCT U,2020-10-13,모두,ko
From Home ,NCT U,2020-10-13,추억이,ko
From Home ,NCT U,2020-10-13,되게,ko
From Home ,NCT U,2020-10-13,해준,ko
From Home ,NCT U,2020-10-13,너,ko
From Home ,NCT U,2020-10-13,cuz,en
From Home ,NCT U,2020-10-13,of,en
From Home ,NCT U,2020-10-13,us,en
From Home ,NCT U,2020-10-13,im,en
From Home ,NCT U,2020-10-13,feeling,en
From Home ,NCT U,2020-10-13,strong,en
From Home ,NCT U,2020-10-13,again,en
From Home ,NCT U,2020-10-13,서로,ko
From Home ,NCT U,2020-10-13,믿어줄,ko
From Home ,NCT U,2020-10-13,때면,ko
From Home ,NCT U,2020-10-13,이곳에,ko
From Home ,NCT U,2020-10-13,날,ko
From Home ,NCT U,2020-10-13,당연하게,ko
From Home ,NCT U,2020-10-13,해,ko
From Home ,NCT U,2020-10-13,"",en
From Home ,NCT U,2020-10-13,도영,ko
From Home ,NCT U,2020-10-13,all,en
From Home ,NCT U,2020-10-13,when,en
From Home ,NCT U,2020-10-13,we,en
From Home ,NCT U,2020-10-13,shine,en
From Home ,NCT U,2020-10-13,bright,en
From Home ,NCT U,2020-10-13,"",en
From Home ,NCT U,2020-10-13,도영,ko
From Home ,NCT U,2020-10-13,all,en
From Home ,NCT U,2020-10-13,im,en
From Home ,NCT U,2020-10-13,alive,en
From Home ,NCT U,2020-10-13,in,en
From Home ,NCT U,2020-10-13,the,en
From Home ,NCT U,2020-10-13,ct,en
From Home ,NCT U,2020-10-13,날,ko
From Home ,NCT U,2020-10-13,노래해,ko
From Home ,NCT U,2020-10-13,"",en
From Home ,NCT U,2020-10-13,도영,ko
From Home ,NCT U,2020-10-13,all,en
From Home ,NCT U,2020-10-13,이,ko
From Home ,NCT U,2020-10-13,조명,ko
From Home ,NCT U,2020-10-13,아래,ko
From Home ,NCT U,2020-10-13,서로를,ko
From Home ,NCT U,2020-10-13,바라보면,ko
From Home ,NCT U,2020-10-13,"",en
From Home ,NCT U,2020-10-13,도영,ko
From Home ,NCT U,2020-10-13,all,en
From Home ,NCT U,2020-10-13,나도,ko
From Home ,NCT U,2020-10-13,몰래,ko
From Home ,NCT U,2020-10-13,웃게,ko
From Home ,NCT U,2020-10-13,돼,ko
From Home ,NCT U,2020-10-13,다,ko
From Home ,NCT U,2020-10-13,잊게,ko
From Home ,NCT U,2020-10-13,돼,ko
From Home ,NCT U,2020-10-13,yeah,en
From Home ,NCT U,2020-10-13,"",en
From Home ,NCT U,2020-10-13,태일,ko
From Home ,NCT U,2020-10-13,all,en
From Home ,NCT U,2020-10-13,cuz,en
From Home ,NCT U,2020-10-13,im,en
From Home ,NCT U,2020-10-13,not,en
From Home ,NCT U,2020-10-13,alone,en
From Home ,NCT U,2020-10-13,"",en
From Home ,NCT U,2020-10-13,태일,ko
From Home ,NCT U,2020-10-13,all,en
From Home ,NCT U,2020-10-13,내게,ko
From Home ,NCT U,2020-10-13,따듯한,ko
From Home ,NCT U,2020-10-13,집이,ko
From Home ,NCT U,2020-10-13,돼준,ko
From Home ,NCT U,2020-10-13,너,ko
From Home ,NCT U,2020-10-13,"",en
From Home ,NCT U,2020-10-13,해찬,ko
From Home ,NCT U,2020-10-13,all,en
From Home ,NCT U,2020-10-13,어제와,ko
From Home ,NCT U,2020-10-13,지금의,ko
From Home ,NCT U,2020-10-13,나,ko
From Home ,NCT U,2020-10-13,"",en
From Home ,NCT U,2020-10-13,해찬,ko
From Home ,NCT U,2020-10-13,all,en
From Home ,NCT U,2020-10-13,또,en
