title,artist,date,word,language
Make A Wish (Birthday Song) ,NCT U,2020-10-12,me,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,you,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,우린,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,여길,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,떠나려,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,해,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,빨리,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,올라타,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,마음은,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,같은,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,곳에,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,겨우,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,그런,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,고민은,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,다음번에나,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,해,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,시간이,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,부족하잖아,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,so,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,now,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,we,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,on,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,our,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,way,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,자유롭게,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,come,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,join,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,me,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,수면,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,위로,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,꿈을,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,펼쳐,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,보이지,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,시작됐어,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,영화,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,같은,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,스토리,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,i,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,can,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,do,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,this,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,all,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,day,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,하루,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,종일,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,we,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,got,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,this,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,오늘도,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,여긴,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,우리가,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,차지해,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,100,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,넘어가,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,다음,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,단계,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,higher,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,mental,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,우린,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,이미,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,다른,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,차원,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,다른,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,level,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,ya,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,lets,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,start,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,we,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,gon,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,fly,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,we,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,wont,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,stop,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,its,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,alright,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,"",en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,태용,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,all,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,i,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,can,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,do,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,this,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,all,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,day,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,"",en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,태용,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,all,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,back,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,it,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,up,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,back,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,it,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,up,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,"",en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,태용,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,all,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,서둘러,ko
Make A Wish (Birthday Song) ,NCT U,2020-10-12,hit,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,that,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,line,en
Make A Wish (Birthday Song) ,NCT U,2020-10-12,"",en
