title,artist,date,word,language
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,두,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,눈을,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,감고,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,침대에,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,누워,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,두,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,귀를,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,막고,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,어제가,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,오늘,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,또,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,오늘이,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,어제,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,때늦은,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,자책만,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,가득한,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,채,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,tydy,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,well,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,take,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,it,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,slow,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,tydy,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,baby,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,baby,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,well,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,take,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,it,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,slow,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,oh,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,jhdy,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,같은,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,꿈,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,마치,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,날,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,부르는,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,익숙한,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,노래,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,마침내,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,연결돼,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,감싸주지,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,나를,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,hate,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,is,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,on,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,me,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,반복되는,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,매일도,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,괜찮다고,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,깊은,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,어둠,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,위를,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,걸어,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,저,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,너머에,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,숨겨진,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,진짜를,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,봐,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,조용히,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,조용히,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,이제는,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,이제는,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,조용히,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,조용히,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,your,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,eyes,en
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,이제는,ko
The 7th Sense (일곱 번째 감각) ,NCT U,2016-04-08,open,en
