title,artist,date,word,language
Work It ,NCT U,2020-11-27,we,en
Work It ,NCT U,2020-11-27,steppin,en
Work It ,NCT U,2020-11-27,out,en
Work It ,NCT U,2020-11-27,czennies,en
Work It ,NCT U,2020-11-27,tell,en
Work It ,NCT U,2020-11-27,us,en
Work It ,NCT U,2020-11-27,right,en
Work It ,NCT U,2020-11-27,hot,en
Work It ,NCT U,2020-11-27,like,en
Work It ,NCT U,2020-11-27,the,en
Work It ,NCT U,2020-11-27,sun,en
Work It ,NCT U,2020-11-27,우린,ko
Work It ,NCT U,2020-11-27,좀,ko
Work It ,NCT U,2020-11-27,신이,ko
Work It ,NCT U,2020-11-27,나,ko
Work It ,NCT U,2020-11-27,와우,ko
Work It ,NCT U,2020-11-27,보고싶던,ko
Work It ,NCT U,2020-11-27,상상,ko
Work It ,NCT U,2020-11-27,밖의,ko
Work It ,NCT U,2020-11-27,curve,en
Work It ,NCT U,2020-11-27,unzip,en
Work It ,NCT U,2020-11-27,it,en
Work It ,NCT U,2020-11-27,and,en
Work It ,NCT U,2020-11-27,drop,en
Work It ,NCT U,2020-11-27,it,en
Work It ,NCT U,2020-11-27,yeah,en
Work It ,NCT U,2020-11-27,"",en
Work It ,NCT U,2020-11-27,정우,ko
Work It ,NCT U,2020-11-27,all,en
Work It ,NCT U,2020-11-27,ouuu,en
Work It ,NCT U,2020-11-27,what,en
Work It ,NCT U,2020-11-27,you,en
Work It ,NCT U,2020-11-27,gon,en
Work It ,NCT U,2020-11-27,what,en
Work It ,NCT U,2020-11-27,you,en
Work It ,NCT U,2020-11-27,gon,en
Work It ,NCT U,2020-11-27,do,en
Work It ,NCT U,2020-11-27,wit,en
Work It ,NCT U,2020-11-27,it,en
Work It ,NCT U,2020-11-27,"",en
Work It ,NCT U,2020-11-27,정우,ko
Work It ,NCT U,2020-11-27,all,en
Work It ,NCT U,2020-11-27,ouuu,en
Work It ,NCT U,2020-11-27,너의,ko
Work It ,NCT U,2020-11-27,블링,ko
Work It ,NCT U,2020-11-27,블링,ko
Work It ,NCT U,2020-11-27,반짝임,ko
Work It ,NCT U,2020-11-27,"",en
Work It ,NCT U,2020-11-27,정우,ko
Work It ,NCT U,2020-11-27,all,en
Work It ,NCT U,2020-11-27,ouuu,en
Work It ,NCT U,2020-11-27,아무것도,ko
Work It ,NCT U,2020-11-27,놓치지,ko
Work It ,NCT U,2020-11-27,말자,ko
Work It ,NCT U,2020-11-27,우리,ko
Work It ,NCT U,2020-11-27,"",en
Work It ,NCT U,2020-11-27,정우,ko
Work It ,NCT U,2020-11-27,all,en
Work It ,NCT U,2020-11-27,ouuu,en
Work It ,NCT U,2020-11-27,beep,en
Work It ,NCT U,2020-11-27,beep,en
Work It ,NCT U,2020-11-27,skrrr,en
Work It ,NCT U,2020-11-27,skrrr,en
