title,artist,date,word,language
YESTODAY ,NCT U,2018-03-14,been,en
YESTODAY ,NCT U,2018-03-14,looking,en
YESTODAY ,NCT U,2018-03-14,for,en
YESTODAY ,NCT U,2018-03-14,my,en
YESTODAY ,NCT U,2018-03-14,job,en
YESTODAY ,NCT U,2018-03-14,lately,en
YESTODAY ,NCT U,2018-03-14,cause,en
YESTODAY ,NCT U,2018-03-14,i,en
YESTODAY ,NCT U,2018-03-14,had,en
YESTODAY ,NCT U,2018-03-14,no,en
YESTODAY ,NCT U,2018-03-14,dream,en
YESTODAY ,NCT U,2018-03-14,maybe,en
YESTODAY ,NCT U,2018-03-14,계기가,ko
YESTODAY ,NCT U,2018-03-14,된,ko
YESTODAY ,NCT U,2018-03-14,계긴,ko
YESTODAY ,NCT U,2018-03-14,많았지,ko
YESTODAY ,NCT U,2018-03-14,내,ko
YESTODAY ,NCT U,2018-03-14,상황을,ko
YESTODAY ,NCT U,2018-03-14,보니,ko
YESTODAY ,NCT U,2018-03-14,무시당하진,ko
YESTODAY ,NCT U,2018-03-14,않지만,ko
YESTODAY ,NCT U,2018-03-14,but,en
YESTODAY ,NCT U,2018-03-14,i,en
YESTODAY ,NCT U,2018-03-14,act,en
YESTODAY ,NCT U,2018-03-14,like,en
YESTODAY ,NCT U,2018-03-14,i,en
YESTODAY ,NCT U,2018-03-14,do,en
YESTODAY ,NCT U,2018-03-14,all,en
YESTODAY ,NCT U,2018-03-14,of,en
YESTODAY ,NCT U,2018-03-14,my,en
YESTODAY ,NCT U,2018-03-14,problem,en
YESTODAY ,NCT U,2018-03-14,너와,ko
YESTODAY ,NCT U,2018-03-14,멀어지게,ko
YESTODAY ,NCT U,2018-03-14,된,ko
YESTODAY ,NCT U,2018-03-14,계기도,ko
YESTODAY ,NCT U,2018-03-14,내,ko
YESTODAY ,NCT U,2018-03-14,상상과는,ko
YESTODAY ,NCT U,2018-03-14,다른,ko
YESTODAY ,NCT U,2018-03-14,세상의,ko
YESTODAY ,NCT U,2018-03-14,안과,ko
YESTODAY ,NCT U,2018-03-14,밖,ko
YESTODAY ,NCT U,2018-03-14,피폐해진,ko
YESTODAY ,NCT U,2018-03-14,정신과,ko
YESTODAY ,NCT U,2018-03-14,내,ko
YESTODAY ,NCT U,2018-03-14,허탈한,ko
YESTODAY ,NCT U,2018-03-14,마음,ko
YESTODAY ,NCT U,2018-03-14,그런,ko
YESTODAY ,NCT U,2018-03-14,날,ko
YESTODAY ,NCT U,2018-03-14,넌,ko
YESTODAY ,NCT U,2018-03-14,늘,ko
YESTODAY ,NCT U,2018-03-14,어떻게든,ko
YESTODAY ,NCT U,2018-03-14,끌고,ko
YESTODAY ,NCT U,2018-03-14,가려,ko
YESTODAY ,NCT U,2018-03-14,했지,ko
YESTODAY ,NCT U,2018-03-14,어찌,ko
YESTODAY ,NCT U,2018-03-14,넌,ko
YESTODAY ,NCT U,2018-03-14,이리도,ko
YESTODAY ,NCT U,2018-03-14,강할,ko
YESTODAY ,NCT U,2018-03-14,수가,ko
YESTODAY ,NCT U,2018-03-14,있는,ko
YESTODAY ,NCT U,2018-03-14,건지,ko
YESTODAY ,NCT U,2018-03-14,uh,en
YESTODAY ,NCT U,2018-03-14,욕심만,ko
YESTODAY ,NCT U,2018-03-14,채우기,ko
YESTODAY ,NCT U,2018-03-14,바빴지,ko
YESTODAY ,NCT U,2018-03-14,난,ko
YESTODAY ,NCT U,2018-03-14,잃었던,ko
YESTODAY ,NCT U,2018-03-14,것도,ko
YESTODAY ,NCT U,2018-03-14,참,ko
YESTODAY ,NCT U,2018-03-14,많았어,ko
YESTODAY ,NCT U,2018-03-14,난,ko
YESTODAY ,NCT U,2018-03-14,굳이,ko
YESTODAY ,NCT U,2018-03-14,혼자가,ko
YESTODAY ,NCT U,2018-03-14,되는,ko
YESTODAY ,NCT U,2018-03-14,방식이,ko
YESTODAY ,NCT U,2018-03-14,유일하게,ko
YESTODAY ,NCT U,2018-03-14,안정감을,ko
YESTODAY ,NCT U,2018-03-14,주더라,ko
YESTODAY ,NCT U,2018-03-14,하곤,ko
YESTODAY ,NCT U,2018-03-14,굳게,ko
YESTODAY ,NCT U,2018-03-14,믿고서,ko
YESTODAY ,NCT U,2018-03-14,들였었네,ko
YESTODAY ,NCT U,2018-03-14,안,ko
YESTODAY ,NCT U,2018-03-14,좋은,ko
YESTODAY ,NCT U,2018-03-14,버릇을,ko
YESTODAY ,NCT U,2018-03-14,burn,en
YESTODAY ,NCT U,2018-03-14,out,en
YESTODAY ,NCT U,2018-03-14,선택이라,ko
YESTODAY ,NCT U,2018-03-14,확신했던,ko
YESTODAY ,NCT U,2018-03-14,믿음이,ko
YESTODAY ,NCT U,2018-03-14,나약하다는,ko
YESTODAY ,NCT U,2018-03-14,뜻은,ko
YESTODAY ,NCT U,2018-03-14,아니니,ko
YESTODAY ,NCT U,2018-03-14,어제의,ko
YESTODAY ,NCT U,2018-03-14,너와,ko
YESTODAY ,NCT U,2018-03-14,나를,ko
YESTODAY ,NCT U,2018-03-14,버리고,ko
YESTODAY ,NCT U,2018-03-14,오늘날의,ko
YESTODAY ,NCT U,2018-03-14,나를,ko
YESTODAY ,NCT U,2018-03-14,만들,ko
YESTODAY ,NCT U,2018-03-14,거니깐,ko
YESTODAY ,NCT U,2018-03-14,dont,en
YESTODAY ,NCT U,2018-03-14,killing,en
YESTODAY ,NCT U,2018-03-14,my,en
YESTODAY ,NCT U,2018-03-14,vibe,en
YESTODAY ,NCT U,2018-03-14,cause,en
YESTODAY ,NCT U,2018-03-14,this,en
YESTODAY ,NCT U,2018-03-14,is,en
