title,artist,date,word,language
Funky Glitter Christmas ,NMIXX,2022-11-23,oh,en
Funky Glitter Christmas ,NMIXX,2022-11-23,yeah,en
Funky Glitter Christmas ,NMIXX,2022-11-23,another,en
Funky Glitter Christmas ,NMIXX,2022-11-23,year,en
Funky Glitter Christmas ,NMIXX,2022-11-23,another,en
Funky Glitter Christmas ,NMIXX,2022-11-23,round,en
Funky Glitter Christmas ,NMIXX,2022-11-23,are,en
Funky Glitter Christmas ,NMIXX,2022-11-23,you,en
Funky Glitter Christmas ,NMIXX,2022-11-23,ready,en
Funky Glitter Christmas ,NMIXX,2022-11-23,look,en
Funky Glitter Christmas ,NMIXX,2022-11-23,at,en
Funky Glitter Christmas ,NMIXX,2022-11-23,dem,en
Funky Glitter Christmas ,NMIXX,2022-11-23,sparkles,en
Funky Glitter Christmas ,NMIXX,2022-11-23,in,en
Funky Glitter Christmas ,NMIXX,2022-11-23,the,en
Funky Glitter Christmas ,NMIXX,2022-11-23,air,en
Funky Glitter Christmas ,NMIXX,2022-11-23,but,en
Funky Glitter Christmas ,NMIXX,2022-11-23,this,en
Funky Glitter Christmas ,NMIXX,2022-11-23,year,en
Funky Glitter Christmas ,NMIXX,2022-11-23,we,en
Funky Glitter Christmas ,NMIXX,2022-11-23,gonna,en
Funky Glitter Christmas ,NMIXX,2022-11-23,bring,en
Funky Glitter Christmas ,NMIXX,2022-11-23,back,en
Funky Glitter Christmas ,NMIXX,2022-11-23,the,en
Funky Glitter Christmas ,NMIXX,2022-11-23,funk,en
Funky Glitter Christmas ,NMIXX,2022-11-23,so,en
Funky Glitter Christmas ,NMIXX,2022-11-23,lets,en
Funky Glitter Christmas ,NMIXX,2022-11-23,go,en
Funky Glitter Christmas ,NMIXX,2022-11-23,gonna,en
Funky Glitter Christmas ,NMIXX,2022-11-23,be,en
Funky Glitter Christmas ,NMIXX,2022-11-23,a,en
Funky Glitter Christmas ,NMIXX,2022-11-23,funky,en
Funky Glitter Christmas ,NMIXX,2022-11-23,glitter,en
Funky Glitter Christmas ,NMIXX,2022-11-23,christmas,en
Funky Glitter Christmas ,NMIXX,2022-11-23,"",en
Funky Glitter Christmas ,NMIXX,2022-11-23,woah,en
Funky Glitter Christmas ,NMIXX,2022-11-23,"",en
Funky Glitter Christmas ,NMIXX,2022-11-23,설레임으로,ko
Funky Glitter Christmas ,NMIXX,2022-11-23,가득한,ko
Funky Glitter Christmas ,NMIXX,2022-11-23,온,ko
Funky Glitter Christmas ,NMIXX,2022-11-23,세상이,ko
Funky Glitter Christmas ,NMIXX,2022-11-23,들뜬,ko
