title,artist,date,word,language
Roller Coaster ,NMIXX,2023-07-03,mmhmm,en
Roller Coaster ,NMIXX,2023-07-03,so,en
Roller Coaster ,NMIXX,2023-07-03,incredible,en
Roller Coaster ,NMIXX,2023-07-03,cant,en
Roller Coaster ,NMIXX,2023-07-03,you,en
Roller Coaster ,NMIXX,2023-07-03,see,en
Roller Coaster ,NMIXX,2023-07-03,cant,en
Roller Coaster ,NMIXX,2023-07-03,you,en
Roller Coaster ,NMIXX,2023-07-03,see,en
Roller Coaster ,NMIXX,2023-07-03,여기,ko
Roller Coaster ,NMIXX,2023-07-03,모여봐,ko
Roller Coaster ,NMIXX,2023-07-03,chemistry,en
Roller Coaster ,NMIXX,2023-07-03,chemistry,en
Roller Coaster ,NMIXX,2023-07-03,반응하잖니,ko
Roller Coaster ,NMIXX,2023-07-03,chasin,en
Roller Coaster ,NMIXX,2023-07-03,me,en
Roller Coaster ,NMIXX,2023-07-03,chasin,en
Roller Coaster ,NMIXX,2023-07-03,me,en
Roller Coaster ,NMIXX,2023-07-03,사람들,ko
Roller Coaster ,NMIXX,2023-07-03,속에,ko
Roller Coaster ,NMIXX,2023-07-03,우린,ko
Roller Coaster ,NMIXX,2023-07-03,호기심을,ko
Roller Coaster ,NMIXX,2023-07-03,느껴,ko
Roller Coaster ,NMIXX,2023-07-03,그래,ko
Roller Coaster ,NMIXX,2023-07-03,더,ko
Roller Coaster ,NMIXX,2023-07-03,가까이,ko
Roller Coaster ,NMIXX,2023-07-03,무엇을,ko
Roller Coaster ,NMIXX,2023-07-03,상상하든지,ko
Roller Coaster ,NMIXX,2023-07-03,바짝,ko
Roller Coaster ,NMIXX,2023-07-03,긴장해야,ko
Roller Coaster ,NMIXX,2023-07-03,돼,ko
Roller Coaster ,NMIXX,2023-07-03,좋아,ko
Roller Coaster ,NMIXX,2023-07-03,좋아,ko
Roller Coaster ,NMIXX,2023-07-03,어디로,ko
Roller Coaster ,NMIXX,2023-07-03,튈지,ko
Roller Coaster ,NMIXX,2023-07-03,모르는,ko
Roller Coaster ,NMIXX,2023-07-03,나의,ko
Roller Coaster ,NMIXX,2023-07-03,달뜬,ko
Roller Coaster ,NMIXX,2023-07-03,마음을,ko
Roller Coaster ,NMIXX,2023-07-03,you,en
Roller Coaster ,NMIXX,2023-07-03,should,en
Roller Coaster ,NMIXX,2023-07-03,try,en
Roller Coaster ,NMIXX,2023-07-03,잡아봐,ko
Roller Coaster ,NMIXX,2023-07-03,rabbit,en
Roller Coaster ,NMIXX,2023-07-03,and,en
Roller Coaster ,NMIXX,2023-07-03,alice,en
Roller Coaster ,NMIXX,2023-07-03,alice,en
Roller Coaster ,NMIXX,2023-07-03,romeo,en
Roller Coaster ,NMIXX,2023-07-03,and,en
Roller Coaster ,NMIXX,2023-07-03,juliet,en
Roller Coaster ,NMIXX,2023-07-03,juliet,en
Roller Coaster ,NMIXX,2023-07-03,beast,en
Roller Coaster ,NMIXX,2023-07-03,and,en
Roller Coaster ,NMIXX,2023-07-03,beauty,en
Roller Coaster ,NMIXX,2023-07-03,beauty,en
Roller Coaster ,NMIXX,2023-07-03,그래,ko
Roller Coaster ,NMIXX,2023-07-03,여긴,ko
Roller Coaster ,NMIXX,2023-07-03,너의,ko
Roller Coaster ,NMIXX,2023-07-03,자리,ko
Roller Coaster ,NMIXX,2023-07-03,곧,ko
Roller Coaster ,NMIXX,2023-07-03,심장이,ko
Roller Coaster ,NMIXX,2023-07-03,터질,ko
Roller Coaster ,NMIXX,2023-07-03,듯,ko
Roller Coaster ,NMIXX,2023-07-03,멎어버릴,ko
Roller Coaster ,NMIXX,2023-07-03,듯,ko
Roller Coaster ,NMIXX,2023-07-03,벅찬,ko
Roller Coaster ,NMIXX,2023-07-03,이,ko
Roller Coaster ,NMIXX,2023-07-03,느낌,ko
Roller Coaster ,NMIXX,2023-07-03,oh,en
Roller Coaster ,NMIXX,2023-07-03,한,ko
Roller Coaster ,NMIXX,2023-07-03,치,ko
Roller Coaster ,NMIXX,2023-07-03,앞도,ko
Roller Coaster ,NMIXX,2023-07-03,모르지,ko
Roller Coaster ,NMIXX,2023-07-03,shh…,ko
Roller Coaster ,NMIXX,2023-07-03,shooting,en
Roller Coaster ,NMIXX,2023-07-03,star,en
Roller Coaster ,NMIXX,2023-07-03,roller,en
Roller Coaster ,NMIXX,2023-07-03,coaster,en
Roller Coaster ,NMIXX,2023-07-03,ririride,en
Roller Coaster ,NMIXX,2023-07-03,우린,ko
Roller Coaster ,NMIXX,2023-07-03,바람을,ko
Roller Coaster ,NMIXX,2023-07-03,갈라,ko
Roller Coaster ,NMIXX,2023-07-03,so,en
Roller Coaster ,NMIXX,2023-07-03,incredible,en
Roller Coaster ,NMIXX,2023-07-03,달려,ko
Roller Coaster ,NMIXX,2023-07-03,make,en
Roller Coaster ,NMIXX,2023-07-03,me,en
Roller Coaster ,NMIXX,2023-07-03,feel,en
Roller Coaster ,NMIXX,2023-07-03,so,en
Roller Coaster ,NMIXX,2023-07-03,high,en
Roller Coaster ,NMIXX,2023-07-03,nanana,en
Roller Coaster ,NMIXX,2023-07-03,지금,ko
Roller Coaster ,NMIXX,2023-07-03,기분이,ko
Roller Coaster ,NMIXX,2023-07-03,어때,ko
Roller Coaster ,NMIXX,2023-07-03,how,en
Roller Coaster ,NMIXX,2023-07-03,incredible,en
Roller Coaster ,NMIXX,2023-07-03,lets,en
Roller Coaster ,NMIXX,2023-07-03,ride,en
Roller Coaster ,NMIXX,2023-07-03,꽉,ko
Roller Coaster ,NMIXX,2023-07-03,잡아,ko
Roller Coaster ,NMIXX,2023-07-03,going,en
Roller Coaster ,NMIXX,2023-07-03,down,en
Roller Coaster ,NMIXX,2023-07-03,going,en
Roller Coaster ,NMIXX,2023-07-03,up,en
Roller Coaster ,NMIXX,2023-07-03,with,en
Roller Coaster ,NMIXX,2023-07-03,you,en
Roller Coaster ,NMIXX,2023-07-03,가장,ko
Roller Coaster ,NMIXX,2023-07-03,높이,ko
Roller Coaster ,NMIXX,2023-07-03,올라,ko
Roller Coaster ,NMIXX,2023-07-03,stop,en
Roller Coaster ,NMIXX,2023-07-03,oh,en
Roller Coaster ,NMIXX,2023-07-03,무수한,ko
Roller Coaster ,NMIXX,2023-07-03,별종과,ko
Roller Coaster ,NMIXX,2023-07-03,그,ko
Roller Coaster ,NMIXX,2023-07-03,중의,ko
Roller Coaster ,NMIXX,2023-07-03,별,ko
Roller Coaster ,NMIXX,2023-07-03,하나,ko
Roller Coaster ,NMIXX,2023-07-03,come,en
Roller Coaster ,NMIXX,2023-07-03,here,en
Roller Coaster ,NMIXX,2023-07-03,my,en
Roller Coaster ,NMIXX,2023-07-03,dear,en
Roller Coaster ,NMIXX,2023-07-03,shooting,en
Roller Coaster ,NMIXX,2023-07-03,star,en
Roller Coaster ,NMIXX,2023-07-03,roller,en
Roller Coaster ,NMIXX,2023-07-03,coaster,en
Roller Coaster ,NMIXX,2023-07-03,ririride,en
Roller Coaster ,NMIXX,2023-07-03,우린,ko
Roller Coaster ,NMIXX,2023-07-03,바람을,ko
Roller Coaster ,NMIXX,2023-07-03,갈라,ko
Roller Coaster ,NMIXX,2023-07-03,so,en
Roller Coaster ,NMIXX,2023-07-03,incredible,en
Roller Coaster ,NMIXX,2023-07-03,달려,ko
Roller Coaster ,NMIXX,2023-07-03,make,en
Roller Coaster ,NMIXX,2023-07-03,me,en
Roller Coaster ,NMIXX,2023-07-03,feel,en
Roller Coaster ,NMIXX,2023-07-03,so,en
Roller Coaster ,NMIXX,2023-07-03,high,en
Roller Coaster ,NMIXX,2023-07-03,nanana,en
Roller Coaster ,NMIXX,2023-07-03,지금,ko
Roller Coaster ,NMIXX,2023-07-03,기분이,ko
Roller Coaster ,NMIXX,2023-07-03,어때,ko
Roller Coaster ,NMIXX,2023-07-03,how,en
Roller Coaster ,NMIXX,2023-07-03,incredible,en
Roller Coaster ,NMIXX,2023-07-03,lets,en
Roller Coaster ,NMIXX,2023-07-03,ride,en
Roller Coaster ,NMIXX,2023-07-03,꽉,ko
Roller Coaster ,NMIXX,2023-07-03,잡아,ko
Roller Coaster ,NMIXX,2023-07-03,going,en
Roller Coaster ,NMIXX,2023-07-03,down,en
Roller Coaster ,NMIXX,2023-07-03,going,en
Roller Coaster ,NMIXX,2023-07-03,up,en
Roller Coaster ,NMIXX,2023-07-03,with,en
Roller Coaster ,NMIXX,2023-07-03,you,en
Roller Coaster ,NMIXX,2023-07-03,가장,ko
Roller Coaster ,NMIXX,2023-07-03,높이,ko
Roller Coaster ,NMIXX,2023-07-03,올라,ko
Roller Coaster ,NMIXX,2023-07-03,stop,en
Roller Coaster ,NMIXX,2023-07-03,처음,ko
Roller Coaster ,NMIXX,2023-07-03,같은,ko
Roller Coaster ,NMIXX,2023-07-03,느낌,ko
Roller Coaster ,NMIXX,2023-07-03,적응이,ko
Roller Coaster ,NMIXX,2023-07-03,잘,ko
Roller Coaster ,NMIXX,2023-07-03,안돼,ko
Roller Coaster ,NMIXX,2023-07-03,black,en
Roller Coaster ,NMIXX,2023-07-03,hole처럼,ko
Roller Coaster ,NMIXX,2023-07-03,빠져들어가,ko
