title,artist,date,word,language
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,you,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,wanna,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,play,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,its,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,a,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,sweet,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,crazy,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,love,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,얼어있던,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,맘들이,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,하나,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,둘씩,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,깨어나,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,흐려있던,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,내,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,맘에,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,니가,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,뜨고,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,난,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,후에,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,호기심에,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,달려가,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,나도,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,몰래,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,잡던,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,손,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,닿는,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,순간,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,색을,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,입혀가던,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,나,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,조금,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,더,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,더,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,가까워질,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,수록,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,너와,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,함께,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,있는,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,순간,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,빨라지는,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,심장,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,소리,ko
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,silent,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,flow,en
Sweet Crazy Love ,ODD EYE CIRCLE (LOONA),2017-10-31,바람도,ko
