title,artist,date,word,language
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,저,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,달빛,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,spotlight조금씩,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,따라와,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,contact,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,my,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,heartoh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh오늘따라,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,두근두근,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,돼,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,어쩌면,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,날,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,위해,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,준비된,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,show깨고,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,싶지,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,않은,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,꿈같아oh,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,oh,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,ohfly,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,me,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,to,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,the,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,moon,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,now,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,fantasy,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,무언가,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,홀린,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,듯omg,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,맴돌고,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,도는,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,melody귓속에,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,퍼져가는,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,그,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,순간i,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,dont,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,really,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,care,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,now,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,날,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,감싼듯한,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,milky,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,way,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,im,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,not,en
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,insane투명한,ko
LOONATIC ,Odd Eye Circle (LOONA),2017-09-23,달빛의,ko
