title,artist,date,word,language
Back Down ,P1Harmony,2022-11-30,yeah,en
Back Down ,P1Harmony,2022-11-30,bring,en
Back Down ,P1Harmony,2022-11-30,it,en
Back Down ,P1Harmony,2022-11-30,on,en
Back Down ,P1Harmony,2022-11-30,yeah,en
Back Down ,P1Harmony,2022-11-30,yeah,en
Back Down ,P1Harmony,2022-11-30,look,en
Back Down ,P1Harmony,2022-11-30,at,en
Back Down ,P1Harmony,2022-11-30,that,en
Back Down ,P1Harmony,2022-11-30,쟤네,ko
Back Down ,P1Harmony,2022-11-30,봐,ko
Back Down ,P1Harmony,2022-11-30,그게,ko
Back Down ,P1Harmony,2022-11-30,네,ko
Back Down ,P1Harmony,2022-11-30,패착,ko
Back Down ,P1Harmony,2022-11-30,계속해,ko
Back Down ,P1Harmony,2022-11-30,getting,en
Back Down ,P1Harmony,2022-11-30,bigger,en
Back Down ,P1Harmony,2022-11-30,팽창,ko
Back Down ,P1Harmony,2022-11-30,hit,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,h,en
Back Down ,P1Harmony,2022-11-30,hit,en
Back Down ,P1Harmony,2022-11-30,hit,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,yuh,en
Back Down ,P1Harmony,2022-11-30,you,en
Back Down ,P1Harmony,2022-11-30,cant,en
Back Down ,P1Harmony,2022-11-30,see,en
Back Down ,P1Harmony,2022-11-30,me,en
Back Down ,P1Harmony,2022-11-30,in,en
Back Down ,P1Harmony,2022-11-30,the,en
Back Down ,P1Harmony,2022-11-30,sky,en
Back Down ,P1Harmony,2022-11-30,y,en
Back Down ,P1Harmony,2022-11-30,y,en
Back Down ,P1Harmony,2022-11-30,y,en
Back Down ,P1Harmony,2022-11-30,oh,en
Back Down ,P1Harmony,2022-11-30,숨,ko
Back Down ,P1Harmony,2022-11-30,들이쉬어,ko
Back Down ,P1Harmony,2022-11-30,내뱉어,ko
Back Down ,P1Harmony,2022-11-30,어우,ko
Back Down ,P1Harmony,2022-11-30,자,ko
Back Down ,P1Harmony,2022-11-30,물러서,ko
Back Down ,P1Harmony,2022-11-30,알아서,ko
Back Down ,P1Harmony,2022-11-30,bro는,ko
Back Down ,P1Harmony,2022-11-30,무슨,ko
Back Down ,P1Harmony,2022-11-30,발,ko
Back Down ,P1Harmony,2022-11-30,빼,ko
Back Down ,P1Harmony,2022-11-30,여기가,ko
Back Down ,P1Harmony,2022-11-30,어디라고,ko
Back Down ,P1Harmony,2022-11-30,ha,en
Back Down ,P1Harmony,2022-11-30,ha,en
Back Down ,P1Harmony,2022-11-30,oh,en
Back Down ,P1Harmony,2022-11-30,boy,en
Back Down ,P1Harmony,2022-11-30,주제를,ko
Back Down ,P1Harmony,2022-11-30,알아,ko
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,dont,en
Back Down ,P1Harmony,2022-11-30,need,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,dont,en
Back Down ,P1Harmony,2022-11-30,need,en
Back Down ,P1Harmony,2022-11-30,second,en
Back Down ,P1Harmony,2022-11-30,chances,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,dont,en
Back Down ,P1Harmony,2022-11-30,care,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,aint,en
Back Down ,P1Harmony,2022-11-30,scared,en
Back Down ,P1Harmony,2022-11-30,anymore,en
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,기호,ko
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,소울,ko
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,이겨,ko
Back Down ,P1Harmony,2022-11-30,낼,ko
Back Down ,P1Harmony,2022-11-30,수,ko
Back Down ,P1Harmony,2022-11-30,있어,ko
Back Down ,P1Harmony,2022-11-30,together,en
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,기호,ko
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,소울,ko
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,덤벼,ko
Back Down ,P1Harmony,2022-11-30,누구든지,ko
Back Down ,P1Harmony,2022-11-30,yeah,en
Back Down ,P1Harmony,2022-11-30,whoever,en
Back Down ,P1Harmony,2022-11-30,so,en
Back Down ,P1Harmony,2022-11-30,what,en
Back Down ,P1Harmony,2022-11-30,you,en
Back Down ,P1Harmony,2022-11-30,waiting,en
Back Down ,P1Harmony,2022-11-30,for,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,달려,ko
Back Down ,P1Harmony,2022-11-30,all,en
Back Down ,P1Harmony,2022-11-30,ready,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,우린,ko
Back Down ,P1Harmony,2022-11-30,go,en
Back Down ,P1Harmony,2022-11-30,steady,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,you,en
Back Down ,P1Harmony,2022-11-30,know,en
Back Down ,P1Harmony,2022-11-30,that,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,never,en
Back Down ,P1Harmony,2022-11-30,gonna,en
Back Down ,P1Harmony,2022-11-30,ra,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,바로,ko
Back Down ,P1Harmony,2022-11-30,go,en
Back Down ,P1Harmony,2022-11-30,get,en
Back Down ,P1Harmony,2022-11-30,it,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,절대,ko
Back Down ,P1Harmony,2022-11-30,dont,en
Back Down ,P1Harmony,2022-11-30,worry,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,you,en
Back Down ,P1Harmony,2022-11-30,know,en
Back Down ,P1Harmony,2022-11-30,that,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,never,en
Back Down ,P1Harmony,2022-11-30,gonna,en
Back Down ,P1Harmony,2022-11-30,ra,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,ring,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,a,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,a,en
Back Down ,P1Harmony,2022-11-30,pray,en
Back Down ,P1Harmony,2022-11-30,for,en
Back Down ,P1Harmony,2022-11-30,me,en
Back Down ,P1Harmony,2022-11-30,im,en
Back Down ,P1Harmony,2022-11-30,gonna,en
Back Down ,P1Harmony,2022-11-30,do,en
Back Down ,P1Harmony,2022-11-30,something,en
Back Down ,P1Harmony,2022-11-30,big,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,ting,en
Back Down ,P1Harmony,2022-11-30,이미,ko
Back Down ,P1Harmony,2022-11-30,저울은,ko
Back Down ,P1Harmony,2022-11-30,비대칭,ko
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,비켜,ko
Back Down ,P1Harmony,2022-11-30,이견,ko
Back Down ,P1Harmony,2022-11-30,없을,ko
Back Down ,P1Harmony,2022-11-30,거라,ko
Back Down ,P1Harmony,2022-11-30,v,en
Back Down ,P1Harmony,2022-11-30,win,en
Back Down ,P1Harmony,2022-11-30,너를,ko
Back Down ,P1Harmony,2022-11-30,걸어,ko
Back Down ,P1Harmony,2022-11-30,little,en
Back Down ,P1Harmony,2022-11-30,moment,en
Back Down ,P1Harmony,2022-11-30,겁내지,ko
Back Down ,P1Harmony,2022-11-30,마,ko
Back Down ,P1Harmony,2022-11-30,now,en
Back Down ,P1Harmony,2022-11-30,im,en
Back Down ,P1Harmony,2022-11-30,on,en
Back Down ,P1Harmony,2022-11-30,it,en
Back Down ,P1Harmony,2022-11-30,고민들은,ko
Back Down ,P1Harmony,2022-11-30,하지,ko
Back Down ,P1Harmony,2022-11-30,말아,ko
Back Down ,P1Harmony,2022-11-30,yeah,en
Back Down ,P1Harmony,2022-11-30,yeah,en
Back Down ,P1Harmony,2022-11-30,맘먹고,ko
Back Down ,P1Harmony,2022-11-30,날아다녀,ko
Back Down ,P1Harmony,2022-11-30,woah,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,dont,en
Back Down ,P1Harmony,2022-11-30,need,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,dont,en
Back Down ,P1Harmony,2022-11-30,need,en
Back Down ,P1Harmony,2022-11-30,second,en
Back Down ,P1Harmony,2022-11-30,chances,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,dont,en
Back Down ,P1Harmony,2022-11-30,care,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,aint,en
Back Down ,P1Harmony,2022-11-30,scared,en
Back Down ,P1Harmony,2022-11-30,anymore,en
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,소울,ko
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,종섭,ko
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,이겨,ko
Back Down ,P1Harmony,2022-11-30,낼,ko
Back Down ,P1Harmony,2022-11-30,수,ko
Back Down ,P1Harmony,2022-11-30,있어,ko
Back Down ,P1Harmony,2022-11-30,together,en
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,소울,ko
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,종섭,ko
Back Down ,P1Harmony,2022-11-30,"",en
Back Down ,P1Harmony,2022-11-30,덤벼,ko
Back Down ,P1Harmony,2022-11-30,누구든지,ko
Back Down ,P1Harmony,2022-11-30,yeah,en
Back Down ,P1Harmony,2022-11-30,whatever,en
Back Down ,P1Harmony,2022-11-30,so,en
Back Down ,P1Harmony,2022-11-30,what,en
Back Down ,P1Harmony,2022-11-30,you,en
Back Down ,P1Harmony,2022-11-30,waiting,en
Back Down ,P1Harmony,2022-11-30,for,en
Back Down ,P1Harmony,2022-11-30,what,en
Back Down ,P1Harmony,2022-11-30,you,en
Back Down ,P1Harmony,2022-11-30,waiting,en
Back Down ,P1Harmony,2022-11-30,for,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,달려,ko
Back Down ,P1Harmony,2022-11-30,all,en
Back Down ,P1Harmony,2022-11-30,ready,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,우린,ko
Back Down ,P1Harmony,2022-11-30,go,en
Back Down ,P1Harmony,2022-11-30,steady,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,you,en
Back Down ,P1Harmony,2022-11-30,know,en
Back Down ,P1Harmony,2022-11-30,that,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,never,en
Back Down ,P1Harmony,2022-11-30,gonna,en
Back Down ,P1Harmony,2022-11-30,ra,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,come,en
Back Down ,P1Harmony,2022-11-30,on,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,바로,ko
Back Down ,P1Harmony,2022-11-30,go,en
Back Down ,P1Harmony,2022-11-30,get,en
Back Down ,P1Harmony,2022-11-30,it,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,절대,ko
Back Down ,P1Harmony,2022-11-30,dont,en
Back Down ,P1Harmony,2022-11-30,worry,en
Back Down ,P1Harmony,2022-11-30,back,en
Back Down ,P1Harmony,2022-11-30,down,en
Back Down ,P1Harmony,2022-11-30,you,en
Back Down ,P1Harmony,2022-11-30,know,en
Back Down ,P1Harmony,2022-11-30,that,en
Back Down ,P1Harmony,2022-11-30,we,en
Back Down ,P1Harmony,2022-11-30,never,en
Back Down ,P1Harmony,2022-11-30,gonna,en
Back Down ,P1Harmony,2022-11-30,ra,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,ta,en
Back Down ,P1Harmony,2022-11-30,back,en
