title,artist,date,word,language
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,yeah,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,ha,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,ha,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,man,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,thats,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,what,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,im,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,talkin,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,bout,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,ha,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,dum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,durum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,duru,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,rurum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,dum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,durum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,dum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,dum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,durum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,duru,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,rurum,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,woo,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,멋쟁이는,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,신발을,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,구겨,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,woo,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,멋쟁이는,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,넥타이를,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,풀어,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,woo,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,도대체,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,뭐가,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,문제야,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,oh,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,yeah,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,yeah,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,yeah,en
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,넌,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,뭔데,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,그리,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,많니,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,말이,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,내,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,멋대로,ko
Doom Du Doom (둠두둠) ,P1Harmony,2022-07-20,살겠다잖니,ko
