title,artist,date,word,language
Automatic ,Red Velvet,2015-03-15,how,en
Automatic ,Red Velvet,2015-03-15,do,en
Automatic ,Red Velvet,2015-03-15,you,en
Automatic ,Red Velvet,2015-03-15,like,en
Automatic ,Red Velvet,2015-03-15,this,en
Automatic ,Red Velvet,2015-03-15,to,en
Automatic ,Red Velvet,2015-03-15,be,en
Automatic ,Red Velvet,2015-03-15,natural,en
Automatic ,Red Velvet,2015-03-15,and,en
Automatic ,Red Velvet,2015-03-15,automatic,en
Automatic ,Red Velvet,2015-03-15,for,en
Automatic ,Red Velvet,2015-03-15,ya,en
Automatic ,Red Velvet,2015-03-15,i,en
Automatic ,Red Velvet,2015-03-15,love,en
Automatic ,Red Velvet,2015-03-15,the,en
Automatic ,Red Velvet,2015-03-15,way,en
Automatic ,Red Velvet,2015-03-15,내,ko
Automatic ,Red Velvet,2015-03-15,맘을,ko
Automatic ,Red Velvet,2015-03-15,감싸,ko
Automatic ,Red Velvet,2015-03-15,안아,ko
Automatic ,Red Velvet,2015-03-15,채우고,ko
Automatic ,Red Velvet,2015-03-15,있어,ko
Automatic ,Red Velvet,2015-03-15,전엔,ko
Automatic ,Red Velvet,2015-03-15,몰랐던,ko
Automatic ,Red Velvet,2015-03-15,it,en
Automatic ,Red Velvet,2015-03-15,just,en
Automatic ,Red Velvet,2015-03-15,comes,en
Automatic ,Red Velvet,2015-03-15,automatic,en
Automatic ,Red Velvet,2015-03-15,아주,ko
Automatic ,Red Velvet,2015-03-15,작은,ko
Automatic ,Red Velvet,2015-03-15,몸짓에,ko
Automatic ,Red Velvet,2015-03-15,감각들이,ko
Automatic ,Red Velvet,2015-03-15,움직여,ko
Automatic ,Red Velvet,2015-03-15,it,en
Automatic ,Red Velvet,2015-03-15,just,en
Automatic ,Red Velvet,2015-03-15,comes,en
Automatic ,Red Velvet,2015-03-15,so,en
Automatic ,Red Velvet,2015-03-15,natural,en
Automatic ,Red Velvet,2015-03-15,it,en
Automatic ,Red Velvet,2015-03-15,just,en
Automatic ,Red Velvet,2015-03-15,comes,en
Automatic ,Red Velvet,2015-03-15,automatic,en
Automatic ,Red Velvet,2015-03-15,매일,ko
Automatic ,Red Velvet,2015-03-15,기다리던,ko
Automatic ,Red Velvet,2015-03-15,환상에,ko
Automatic ,Red Velvet,2015-03-15,어느새,ko
Automatic ,Red Velvet,2015-03-15,내,ko
Automatic ,Red Velvet,2015-03-15,심장은,ko
Automatic ,Red Velvet,2015-03-15,숨,ko
Automatic ,Red Velvet,2015-03-15,쉬고,ko
Automatic ,Red Velvet,2015-03-15,있어,ko
Automatic ,Red Velvet,2015-03-15,네게,ko
Automatic ,Red Velvet,2015-03-15,잠시,ko
Automatic ,Red Velvet,2015-03-15,흐트러진,ko
Automatic ,Red Velvet,2015-03-15,소리가,ko
Automatic ,Red Velvet,2015-03-15,너를,ko
Automatic ,Red Velvet,2015-03-15,닿아,ko
Automatic ,Red Velvet,2015-03-15,사랑이란,ko
Automatic ,Red Velvet,2015-03-15,진실을,ko
Automatic ,Red Velvet,2015-03-15,모두,ko
Automatic ,Red Velvet,2015-03-15,말하게,ko
Automatic ,Red Velvet,2015-03-15,됐어,ko
Automatic ,Red Velvet,2015-03-15,따뜻한,ko
Automatic ,Red Velvet,2015-03-15,이,ko
Automatic ,Red Velvet,2015-03-15,벨벳,ko
Automatic ,Red Velvet,2015-03-15,skin,en
Automatic ,Red Velvet,2015-03-15,빛이,ko
Automatic ,Red Velvet,2015-03-15,살짝,ko
Automatic ,Red Velvet,2015-03-15,앉은,ko
Automatic ,Red Velvet,2015-03-15,lips,en
Automatic ,Red Velvet,2015-03-15,비에,ko
Automatic ,Red Velvet,2015-03-15,젖은,ko
Automatic ,Red Velvet,2015-03-15,듯한,ko
Automatic ,Red Velvet,2015-03-15,eyes,en
Automatic ,Red Velvet,2015-03-15,모두,ko
Automatic ,Red Velvet,2015-03-15,아름다워,ko
Automatic ,Red Velvet,2015-03-15,i,en
Automatic ,Red Velvet,2015-03-15,love,en
Automatic ,Red Velvet,2015-03-15,the,en
Automatic ,Red Velvet,2015-03-15,way,en
