title,artist,date,word,language
Ice Cream Cake ,Red Velvet,2015-03-16,lalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,lalalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,lalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,oh,en
Ice Cream Cake ,Red Velvet,2015-03-16,햇살,ko
Ice Cream Cake ,Red Velvet,2015-03-16,눈부신,ko
Ice Cream Cake ,Red Velvet,2015-03-16,한가론,ko
Ice Cream Cake ,Red Velvet,2015-03-16,휴일,ko
Ice Cream Cake ,Red Velvet,2015-03-16,예쁜,ko
Ice Cream Cake ,Red Velvet,2015-03-16,새하얀,ko
Ice Cream Cake ,Red Velvet,2015-03-16,원피스를,ko
Ice Cream Cake ,Red Velvet,2015-03-16,입고,ko
Ice Cream Cake ,Red Velvet,2015-03-16,oh,en
Ice Cream Cake ,Red Velvet,2015-03-16,oh,en
Ice Cream Cake ,Red Velvet,2015-03-16,난,ko
Ice Cream Cake ,Red Velvet,2015-03-16,집을,ko
Ice Cream Cake ,Red Velvet,2015-03-16,나섰지,ko
Ice Cream Cake ,Red Velvet,2015-03-16,콧노래,ko
Ice Cream Cake ,Red Velvet,2015-03-16,나오지,ko
Ice Cream Cake ,Red Velvet,2015-03-16,lalalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,lalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,넌,ko
Ice Cream Cake ,Red Velvet,2015-03-16,나를,ko
Ice Cream Cake ,Red Velvet,2015-03-16,바라봐,ko
Ice Cream Cake ,Red Velvet,2015-03-16,넋을,ko
Ice Cream Cake ,Red Velvet,2015-03-16,놓고,ko
Ice Cream Cake ,Red Velvet,2015-03-16,또,en
Ice Cream Cake ,Red Velvet,2015-03-16,봐,ko
Ice Cream Cake ,Red Velvet,2015-03-16,니,ko
Ice Cream Cake ,Red Velvet,2015-03-16,맘을,ko
Ice Cream Cake ,Red Velvet,2015-03-16,사로잡아,ko
Ice Cream Cake ,Red Velvet,2015-03-16,버린,ko
Ice Cream Cake ,Red Velvet,2015-03-16,그,ko
Ice Cream Cake ,Red Velvet,2015-03-16,순간,ko
Ice Cream Cake ,Red Velvet,2015-03-16,oh,en
Ice Cream Cake ,Red Velvet,2015-03-16,떨리는,ko
Ice Cream Cake ,Red Velvet,2015-03-16,목소리,ko
Ice Cream Cake ,Red Velvet,2015-03-16,니,ko
Ice Cream Cake ,Red Velvet,2015-03-16,맘엔,ko
Ice Cream Cake ,Red Velvet,2015-03-16,북소리,ko
Ice Cream Cake ,Red Velvet,2015-03-16,또,en
Ice Cream Cake ,Red Velvet,2015-03-16,반짝이는,ko
Ice Cream Cake ,Red Velvet,2015-03-16,종소리가,ko
Ice Cream Cake ,Red Velvet,2015-03-16,울리지,ko
Ice Cream Cake ,Red Velvet,2015-03-16,lalalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,lalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,lalalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,lalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,lalalalala,en
Ice Cream Cake ,Red Velvet,2015-03-16,주세요,ko
Ice Cream Cake ,Red Velvet,2015-03-16,달콤한,ko
Ice Cream Cake ,Red Velvet,2015-03-16,그,ko
Ice Cream Cake ,Red Velvet,2015-03-16,맛,ko
Ice Cream Cake ,Red Velvet,2015-03-16,ice,en
Ice Cream Cake ,Red Velvet,2015-03-16,cream,en
Ice Cream Cake ,Red Velvet,2015-03-16,cake,en
