title,artist,date,word,language
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,oh,en
Power Up ,Red Velvet,2018-08-06,아무것도,ko
Power Up ,Red Velvet,2018-08-06,안,ko
Power Up ,Red Velvet,2018-08-06,했는데,ko
Power Up ,Red Velvet,2018-08-06,왜,ko
Power Up ,Red Velvet,2018-08-06,시간은,ko
Power Up ,Red Velvet,2018-08-06,벌써,ko
Power Up ,Red Velvet,2018-08-06,3시,ko
Power Up ,Red Velvet,2018-08-06,아이스,ko
Power Up ,Red Velvet,2018-08-06,아메리카노,ko
Power Up ,Red Velvet,2018-08-06,마셔도,ko
Power Up ,Red Velvet,2018-08-06,왜,ko
Power Up ,Red Velvet,2018-08-06,더,ko
Power Up ,Red Velvet,2018-08-06,후끈후끈하니,ko
Power Up ,Red Velvet,2018-08-06,태양은,ko
Power Up ,Red Velvet,2018-08-06,우릴,ko
Power Up ,Red Velvet,2018-08-06,놀리고,ko
Power Up ,Red Velvet,2018-08-06,아스팔트,ko
Power Up ,Red Velvet,2018-08-06,온도,ko
Power Up ,Red Velvet,2018-08-06,50도,ko
Power Up ,Red Velvet,2018-08-06,wow,en
Power Up ,Red Velvet,2018-08-06,원해요,ko
Power Up ,Red Velvet,2018-08-06,에너지,ko
Power Up ,Red Velvet,2018-08-06,차갑거나,ko
Power Up ,Red Velvet,2018-08-06,아예,ko
Power Up ,Red Velvet,2018-08-06,뜨겁게,ko
Power Up ,Red Velvet,2018-08-06,summer,en
Power Up ,Red Velvet,2018-08-06,magic,en
Power Up ,Red Velvet,2018-08-06,반짝인,ko
Power Up ,Red Velvet,2018-08-06,그,ko
Power Up ,Red Velvet,2018-08-06,ocean,en
Power Up ,Red Velvet,2018-08-06,위로,ko
Power Up ,Red Velvet,2018-08-06,난,ko
Power Up ,Red Velvet,2018-08-06,벌써,ko
Power Up ,Red Velvet,2018-08-06,날아,ko
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,airplane,en
Power Up ,Red Velvet,2018-08-06,번개처럼,ko
Power Up ,Red Velvet,2018-08-06,날아라,ko
Power Up ,Red Velvet,2018-08-06,카우아이,ko
Power Up ,Red Velvet,2018-08-06,파도,ko
Power Up ,Red Velvet,2018-08-06,속,ko
Power Up ,Red Velvet,2018-08-06,나를,ko
Power Up ,Red Velvet,2018-08-06,던져,ko
Power Up ,Red Velvet,2018-08-06,버리게,ko
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,아all,ko
Power Up ,Red Velvet,2018-08-06,lets,en
Power Up ,Red Velvet,2018-08-06,power,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,까맣게,ko
Power Up ,Red Velvet,2018-08-06,다,ko
Power Up ,Red Velvet,2018-08-06,타버릴,ko
Power Up ,Red Velvet,2018-08-06,거예요,ko
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,ba,en
Power Up ,Red Velvet,2018-08-06,웬all,ko
Power Up ,Red Velvet,2018-08-06,lets,en
Power Up ,Red Velvet,2018-08-06,power,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,놀,ko
Power Up ,Red Velvet,2018-08-06,때,ko
Power Up ,Red Velvet,2018-08-06,제일,ko
Power Up ,Red Velvet,2018-08-06,신나니까요,ko
Power Up ,Red Velvet,2018-08-06,oh,en
Power Up ,Red Velvet,2018-08-06,좋아하는,ko
Power Up ,Red Velvet,2018-08-06,걸,ko
Power Up ,Red Velvet,2018-08-06,원해,ko
Power Up ,Red Velvet,2018-08-06,봐요,ko
Power Up ,Red Velvet,2018-08-06,i,en
Power Up ,Red Velvet,2018-08-06,want,en
Power Up ,Red Velvet,2018-08-06,it,en
Power Up ,Red Velvet,2018-08-06,i,en
Power Up ,Red Velvet,2018-08-06,want,en
Power Up ,Red Velvet,2018-08-06,it,en
Power Up ,Red Velvet,2018-08-06,want,en
Power Up ,Red Velvet,2018-08-06,it,en
Power Up ,Red Velvet,2018-08-06,want,en
Power Up ,Red Velvet,2018-08-06,it,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,매일,ko
Power Up ,Red Velvet,2018-08-06,그대,ko
Power Up ,Red Velvet,2018-08-06,열정은,ko
Power Up ,Red Velvet,2018-08-06,타오르죠,ko
Power Up ,Red Velvet,2018-08-06,ill,en
Power Up ,Red Velvet,2018-08-06,take,en
Power Up ,Red Velvet,2018-08-06,it,en
Power Up ,Red Velvet,2018-08-06,ill,en
Power Up ,Red Velvet,2018-08-06,take,en
Power Up ,Red Velvet,2018-08-06,it,en
Power Up ,Red Velvet,2018-08-06,take,en
Power Up ,Red Velvet,2018-08-06,it,en
Power Up ,Red Velvet,2018-08-06,take,en
Power Up ,Red Velvet,2018-08-06,it,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,그런,ko
Power Up ,Red Velvet,2018-08-06,게,ko
Power Up ,Red Velvet,2018-08-06,우리의,ko
Power Up ,Red Velvet,2018-08-06,천재적인,ko
Power Up ,Red Velvet,2018-08-06,파워야,ko
Power Up ,Red Velvet,2018-08-06,즉흥적,ko
Power Up ,Red Velvet,2018-08-06,본능적,ko
Power Up ,Red Velvet,2018-08-06,맞아,ko
Power Up ,Red Velvet,2018-08-06,그게,ko
Power Up ,Red Velvet,2018-08-06,필요해,ko
Power Up ,Red Velvet,2018-08-06,떠나요,ko
Power Up ,Red Velvet,2018-08-06,오늘,ko
Power Up ,Red Velvet,2018-08-06,밤,ko
Power Up ,Red Velvet,2018-08-06,짜릿함을,ko
Power Up ,Red Velvet,2018-08-06,찾으러,ko
Power Up ,Red Velvet,2018-08-06,level,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,엔진,ko
Power Up ,Red Velvet,2018-08-06,소리,ko
Power Up ,Red Velvet,2018-08-06,들뜬,ko
Power Up ,Red Velvet,2018-08-06,맘의,ko
Power Up ,Red Velvet,2018-08-06,background,en
Power Up ,Red Velvet,2018-08-06,music,en
Power Up ,Red Velvet,2018-08-06,봐,ko
Power Up ,Red Velvet,2018-08-06,벌써,ko
Power Up ,Red Velvet,2018-08-06,날아,ko
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,airplane,en
Power Up ,Red Velvet,2018-08-06,태양,ko
Power Up ,Red Velvet,2018-08-06,위로,ko
Power Up ,Red Velvet,2018-08-06,날아라,ko
Power Up ,Red Velvet,2018-08-06,diving,en
Power Up ,Red Velvet,2018-08-06,to,en
Power Up ,Red Velvet,2018-08-06,the,en
Power Up ,Red Velvet,2018-08-06,sky,en
Power Up ,Red Velvet,2018-08-06,완전,ko
Power Up ,Red Velvet,2018-08-06,소름,ko
Power Up ,Red Velvet,2018-08-06,돋았어,ko
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,슬all,ko
Power Up ,Red Velvet,2018-08-06,lets,en
Power Up ,Red Velvet,2018-08-06,power,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,까맣게,ko
Power Up ,Red Velvet,2018-08-06,다,ko
Power Up ,Red Velvet,2018-08-06,타버릴,ko
Power Up ,Red Velvet,2018-08-06,거예요,ko
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,airplane,en
Power Up ,Red Velvet,2018-08-06,번개처럼,ko
Power Up ,Red Velvet,2018-08-06,날아라,ko
Power Up ,Red Velvet,2018-08-06,카우아이,ko
Power Up ,Red Velvet,2018-08-06,파도,ko
Power Up ,Red Velvet,2018-08-06,속,ko
Power Up ,Red Velvet,2018-08-06,나를,ko
Power Up ,Red Velvet,2018-08-06,던져,ko
Power Up ,Red Velvet,2018-08-06,버리게,ko
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,예all,ko
Power Up ,Red Velvet,2018-08-06,lets,en
Power Up ,Red Velvet,2018-08-06,power,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,까맣게,ko
Power Up ,Red Velvet,2018-08-06,다,ko
Power Up ,Red Velvet,2018-08-06,타버릴,ko
Power Up ,Red Velvet,2018-08-06,거예요,ko
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,ba,en
Power Up ,Red Velvet,2018-08-06,조all,ko
Power Up ,Red Velvet,2018-08-06,lets,en
Power Up ,Red Velvet,2018-08-06,power,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,놀,ko
Power Up ,Red Velvet,2018-08-06,때,ko
Power Up ,Red Velvet,2018-08-06,제일,ko
Power Up ,Red Velvet,2018-08-06,신나니까요,ko
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,선생님은,ko
Power Up ,Red Velvet,2018-08-06,내게,ko
Power Up ,Red Velvet,2018-08-06,말씀하셨죠,ko
Power Up ,Red Velvet,2018-08-06,uh,en
Power Up ,Red Velvet,2018-08-06,uh,en
Power Up ,Red Velvet,2018-08-06,놀,ko
Power Up ,Red Velvet,2018-08-06,때도,ko
Power Up ,Red Velvet,2018-08-06,일할,ko
Power Up ,Red Velvet,2018-08-06,때도,ko
Power Up ,Red Velvet,2018-08-06,즐겁게,ko
Power Up ,Red Velvet,2018-08-06,해,ko
Power Up ,Red Velvet,2018-08-06,right,en
Power Up ,Red Velvet,2018-08-06,그래,ko
Power Up ,Red Velvet,2018-08-06,난,ko
Power Up ,Red Velvet,2018-08-06,유달리,ko
Power Up ,Red Velvet,2018-08-06,반짝거렸죠,ko
Power Up ,Red Velvet,2018-08-06,huh,en
Power Up ,Red Velvet,2018-08-06,뜨거움도,ko
Power Up ,Red Velvet,2018-08-06,새로움도,ko
Power Up ,Red Velvet,2018-08-06,its,en
Power Up ,Red Velvet,2018-08-06,mine,en
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,airplane,en
Power Up ,Red Velvet,2018-08-06,번개처럼,ko
Power Up ,Red Velvet,2018-08-06,날아라,ko
Power Up ,Red Velvet,2018-08-06,카우아이,ko
Power Up ,Red Velvet,2018-08-06,파도,ko
Power Up ,Red Velvet,2018-08-06,속,ko
Power Up ,Red Velvet,2018-08-06,나를,ko
Power Up ,Red Velvet,2018-08-06,던져,ko
Power Up ,Red Velvet,2018-08-06,버리게,ko
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,조all,ko
Power Up ,Red Velvet,2018-08-06,lets,en
Power Up ,Red Velvet,2018-08-06,power,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,까맣게,ko
Power Up ,Red Velvet,2018-08-06,다,ko
Power Up ,Red Velvet,2018-08-06,타버릴,ko
Power Up ,Red Velvet,2018-08-06,거예요,ko
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,go,en
Power Up ,Red Velvet,2018-08-06,airplane,en
Power Up ,Red Velvet,2018-08-06,태양,ko
Power Up ,Red Velvet,2018-08-06,위로,ko
Power Up ,Red Velvet,2018-08-06,날아라,ko
Power Up ,Red Velvet,2018-08-06,diving,en
Power Up ,Red Velvet,2018-08-06,to,en
Power Up ,Red Velvet,2018-08-06,the,en
Power Up ,Red Velvet,2018-08-06,sky,en
Power Up ,Red Velvet,2018-08-06,완전,ko
Power Up ,Red Velvet,2018-08-06,소름,ko
Power Up ,Red Velvet,2018-08-06,돋았어,ko
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,yeah,en
Power Up ,Red Velvet,2018-08-06,아all,ko
Power Up ,Red Velvet,2018-08-06,lets,en
Power Up ,Red Velvet,2018-08-06,power,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,까맣게,ko
Power Up ,Red Velvet,2018-08-06,다,ko
Power Up ,Red Velvet,2018-08-06,타버릴,ko
Power Up ,Red Velvet,2018-08-06,거예요,ko
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,babanana,en
Power Up ,Red Velvet,2018-08-06,bababanananana,en
Power Up ,Red Velvet,2018-08-06,ba,en
Power Up ,Red Velvet,2018-08-06,lets,en
Power Up ,Red Velvet,2018-08-06,power,en
Power Up ,Red Velvet,2018-08-06,up,en
Power Up ,Red Velvet,2018-08-06,놀,ko
Power Up ,Red Velvet,2018-08-06,때,ko
Power Up ,Red Velvet,2018-08-06,제일,ko
Power Up ,Red Velvet,2018-08-06,신나니까요,ko
