title,artist,date,word,language
Queendom ,Red Velvet,2021-08-16,queens,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,dururururu,en
Queendom ,Red Velvet,2021-08-16,uhhuh,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,hey,en
Queendom ,Red Velvet,2021-08-16,here,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,go,en
Queendom ,Red Velvet,2021-08-16,again,en
Queendom ,Red Velvet,2021-08-16,눈부신,ko
Queendom ,Red Velvet,2021-08-16,햇살,ko
Queendom ,Red Velvet,2021-08-16,아래,ko
Queendom ,Red Velvet,2021-08-16,아이처럼,ko
Queendom ,Red Velvet,2021-08-16,활짝,ko
Queendom ,Red Velvet,2021-08-16,웃는,ko
Queendom ,Red Velvet,2021-08-16,너,ko
Queendom ,Red Velvet,2021-08-16,hmm,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,oh,en
Queendom ,Red Velvet,2021-08-16,hey,en
Queendom ,Red Velvet,2021-08-16,같은,ko
Queendom ,Red Velvet,2021-08-16,꿈속에,ko
Queendom ,Red Velvet,2021-08-16,우릴,ko
Queendom ,Red Velvet,2021-08-16,계속,ko
Queendom ,Red Velvet,2021-08-16,불러,ko
Queendom ,Red Velvet,2021-08-16,댄,ko
Queendom ,Red Velvet,2021-08-16,먼,ko
Queendom ,Red Velvet,2021-08-16,기억,ko
Queendom ,Red Velvet,2021-08-16,너머의,ko
Queendom ,Red Velvet,2021-08-16,wonderland,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,are,en
Queendom ,Red Velvet,2021-08-16,queens,en
Queendom ,Red Velvet,2021-08-16,in,en
Queendom ,Red Velvet,2021-08-16,the,en
Queendom ,Red Velvet,2021-08-16,red,en
Queendom ,Red Velvet,2021-08-16,castle,en
Queendom ,Red Velvet,2021-08-16,dont,en
Queendom ,Red Velvet,2021-08-16,need,en
Queendom ,Red Velvet,2021-08-16,crown,en
Queendom ,Red Velvet,2021-08-16,타고났지,ko
Queendom ,Red Velvet,2021-08-16,dazzle,en
Queendom ,Red Velvet,2021-08-16,함께,ko
Queendom ,Red Velvet,2021-08-16,만들어,ko
Queendom ,Red Velvet,2021-08-16,온,ko
Queendom ,Red Velvet,2021-08-16,paradigm,en
Queendom ,Red Velvet,2021-08-16,확실히,ko
Queendom ,Red Velvet,2021-08-16,다른,ko
Queendom ,Red Velvet,2021-08-16,stereotype,en
Queendom ,Red Velvet,2021-08-16,볼수록,ko
Queendom ,Red Velvet,2021-08-16,빛나는,ko
Queendom ,Red Velvet,2021-08-16,pose,en
Queendom ,Red Velvet,2021-08-16,problems,en
Queendom ,Red Velvet,2021-08-16,저,ko
Queendom ,Red Velvet,2021-08-16,하늘,ko
Queendom ,Red Velvet,2021-08-16,위로,ko
Queendom ,Red Velvet,2021-08-16,던져,ko
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,are,en
Queendom ,Red Velvet,2021-08-16,makin,en
Queendom ,Red Velvet,2021-08-16,the,en
Queendom ,Red Velvet,2021-08-16,rules,en
Queendom ,Red Velvet,2021-08-16,cause,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,are,en
Queendom ,Red Velvet,2021-08-16,queens,en
Queendom ,Red Velvet,2021-08-16,and,en
Queendom ,Red Velvet,2021-08-16,kings,en
Queendom ,Red Velvet,2021-08-16,손을,ko
Queendom ,Red Velvet,2021-08-16,더,ko
Queendom ,Red Velvet,2021-08-16,높이,ko
Queendom ,Red Velvet,2021-08-16,모일수록,ko
Queendom ,Red Velvet,2021-08-16,아름답게,ko
Queendom ,Red Velvet,2021-08-16,shining,en
Queendom ,Red Velvet,2021-08-16,bling,en
Queendom ,Red Velvet,2021-08-16,bling,en
Queendom ,Red Velvet,2021-08-16,비가,ko
Queendom ,Red Velvet,2021-08-16,내려도,ko
Queendom ,Red Velvet,2021-08-16,strong,en
Queendom ,Red Velvet,2021-08-16,and,en
Queendom ,Red Velvet,2021-08-16,beautiful,en
Queendom ,Red Velvet,2021-08-16,모두,ko
Queendom ,Red Velvet,2021-08-16,다른,ko
Queendom ,Red Velvet,2021-08-16,색깔로,ko
Queendom ,Red Velvet,2021-08-16,완성한,ko
Queendom ,Red Velvet,2021-08-16,rainbow,en
Queendom ,Red Velvet,2021-08-16,ladidado,en
Queendom ,Red Velvet,2021-08-16,babadida,en
Queendom ,Red Velvet,2021-08-16,ladidado,en
Queendom ,Red Velvet,2021-08-16,babadida,en
Queendom ,Red Velvet,2021-08-16,다시,ko
Queendom ,Red Velvet,2021-08-16,한번,ko
Queendom ,Red Velvet,2021-08-16,시작해볼까,ko
Queendom ,Red Velvet,2021-08-16,thats,en
Queendom ,Red Velvet,2021-08-16,our,en
Queendom ,Red Velvet,2021-08-16,queendom,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,ladidado,en
Queendom ,Red Velvet,2021-08-16,babadida,en
Queendom ,Red Velvet,2021-08-16,ladidado,en
Queendom ,Red Velvet,2021-08-16,babadida,en
Queendom ,Red Velvet,2021-08-16,너와,ko
Queendom ,Red Velvet,2021-08-16,손을,ko
Queendom ,Red Velvet,2021-08-16,맞잡은,ko
Queendom ,Red Velvet,2021-08-16,순간,ko
Queendom ,Red Velvet,2021-08-16,thats,en
Queendom ,Red Velvet,2021-08-16,our,en
Queendom ,Red Velvet,2021-08-16,queendom,en
Queendom ,Red Velvet,2021-08-16,hoo,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,strong,en
Queendom ,Red Velvet,2021-08-16,nothing,en
Queendom ,Red Velvet,2021-08-16,missing,en
Queendom ,Red Velvet,2021-08-16,wake,en
Queendom ,Red Velvet,2021-08-16,up,en
Queendom ,Red Velvet,2021-08-16,답은,ko
Queendom ,Red Velvet,2021-08-16,simple,en
Queendom ,Red Velvet,2021-08-16,be,en
Queendom ,Red Velvet,2021-08-16,boss,en
Queendom ,Red Velvet,2021-08-16,불어,ko
Queendom ,Red Velvet,2021-08-16,whistle,en
Queendom ,Red Velvet,2021-08-16,oh,en
Queendom ,Red Velvet,2021-08-16,더,ko
Queendom ,Red Velvet,2021-08-16,큰,ko
Queendom ,Red Velvet,2021-08-16,세상이,ko
Queendom ,Red Velvet,2021-08-16,너를,ko
Queendom ,Red Velvet,2021-08-16,주목해,ko
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,축제를,ko
Queendom ,Red Velvet,2021-08-16,열어볼까,ko
Queendom ,Red Velvet,2021-08-16,볼까,ko
Queendom ,Red Velvet,2021-08-16,난,ko
Queendom ,Red Velvet,2021-08-16,너의,ko
Queendom ,Red Velvet,2021-08-16,손을,ko
Queendom ,Red Velvet,2021-08-16,잡아,ko
Queendom ,Red Velvet,2021-08-16,잡아,ko
Queendom ,Red Velvet,2021-08-16,기다린,ko
Queendom ,Red Velvet,2021-08-16,지금이야,ko
Queendom ,Red Velvet,2021-08-16,지금,ko
Queendom ,Red Velvet,2021-08-16,너답게,ko
Queendom ,Red Velvet,2021-08-16,펼쳐봐,ko
Queendom ,Red Velvet,2021-08-16,놀러와,ko
Queendom ,Red Velvet,2021-08-16,my,en
Queendom ,Red Velvet,2021-08-16,carnival,en
Queendom ,Red Velvet,2021-08-16,climax,en
Queendom ,Red Velvet,2021-08-16,지금부터야,ko
Queendom ,Red Velvet,2021-08-16,watch,en
Queendom ,Red Velvet,2021-08-16,out,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,are,en
Queendom ,Red Velvet,2021-08-16,makin,en
Queendom ,Red Velvet,2021-08-16,the,en
Queendom ,Red Velvet,2021-08-16,rules,en
Queendom ,Red Velvet,2021-08-16,oh,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,cause,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,are,en
Queendom ,Red Velvet,2021-08-16,queens,en
Queendom ,Red Velvet,2021-08-16,and,en
Queendom ,Red Velvet,2021-08-16,kings,en
Queendom ,Red Velvet,2021-08-16,손을,ko
Queendom ,Red Velvet,2021-08-16,더,ko
Queendom ,Red Velvet,2021-08-16,높이,ko
Queendom ,Red Velvet,2021-08-16,모일수록,ko
Queendom ,Red Velvet,2021-08-16,아름답게,ko
Queendom ,Red Velvet,2021-08-16,shining,en
Queendom ,Red Velvet,2021-08-16,bling,en
Queendom ,Red Velvet,2021-08-16,bling,en
Queendom ,Red Velvet,2021-08-16,비가,ko
Queendom ,Red Velvet,2021-08-16,내려도,ko
Queendom ,Red Velvet,2021-08-16,strong,en
Queendom ,Red Velvet,2021-08-16,and,en
Queendom ,Red Velvet,2021-08-16,beautiful,en
Queendom ,Red Velvet,2021-08-16,모두,ko
Queendom ,Red Velvet,2021-08-16,다른,ko
Queendom ,Red Velvet,2021-08-16,색깔로,ko
Queendom ,Red Velvet,2021-08-16,완성한,ko
Queendom ,Red Velvet,2021-08-16,rainbow,en
Queendom ,Red Velvet,2021-08-16,더,ko
Queendom ,Red Velvet,2021-08-16,크게,ko
Queendom ,Red Velvet,2021-08-16,외쳐,ko
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,do,en
Queendom ,Red Velvet,2021-08-16,it,en
Queendom ,Red Velvet,2021-08-16,better,en
Queendom ,Red Velvet,2021-08-16,어둠을,ko
Queendom ,Red Velvet,2021-08-16,헤쳐,ko
Queendom ,Red Velvet,2021-08-16,빛을,ko
Queendom ,Red Velvet,2021-08-16,따라가,ko
Queendom ,Red Velvet,2021-08-16,no,en
Queendom ,Red Velvet,2021-08-16,ah,en
Queendom ,Red Velvet,2021-08-16,새로운,ko
Queendom ,Red Velvet,2021-08-16,color,en
Queendom ,Red Velvet,2021-08-16,이름은,ko
Queendom ,Red Velvet,2021-08-16,together,en
Queendom ,Red Velvet,2021-08-16,ooh,en
Queendom ,Red Velvet,2021-08-16,its,en
Queendom ,Red Velvet,2021-08-16,now,en
Queendom ,Red Velvet,2021-08-16,or,en
Queendom ,Red Velvet,2021-08-16,never,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,got,en
Queendom ,Red Velvet,2021-08-16,forever,en
Queendom ,Red Velvet,2021-08-16,yeah,en
Queendom ,Red Velvet,2021-08-16,cause,en
Queendom ,Red Velvet,2021-08-16,we,en
Queendom ,Red Velvet,2021-08-16,are,en
Queendom ,Red Velvet,2021-08-16,queens,en
Queendom ,Red Velvet,2021-08-16,and,en
Queendom ,Red Velvet,2021-08-16,kings,en
Queendom ,Red Velvet,2021-08-16,oh,en
Queendom ,Red Velvet,2021-08-16,손을,ko
