title,artist,date,word,language
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,no,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,alright,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,alright,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,alright,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,1,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,2,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,5,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,uh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,요즘,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,나,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,조금,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,패닉,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,상황,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ha,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,솔직히,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,완전,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,홀릭인데,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,머릿속,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,어떤,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,녀석,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,그,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,생각,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,하나뿐이야,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,one,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,alright,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,친구들,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,say,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,걔는,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,안돼,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,너무,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,나빠,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,니가,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,다쳐,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,uhm,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,누가,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,말려,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,내가,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,좋으면,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,yeah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,가는,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,거죠,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,예all,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,예all,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,예all,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,yeah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,yeah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,yeah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,youre,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,so,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,youre,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,so,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,youre,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,so,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,yeah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,yeah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,yeah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,yeah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,아예,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bang,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bang,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,pow,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,아예,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,잘생긴,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,그,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,얼굴,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,하나,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,믿고,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,산대요,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,괜찮다면,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,널,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,내가,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,길들여,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,볼게,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,mine,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,mine,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,mine,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,mine,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,alright,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,멋대로,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,해,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,허락할게,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,있는,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,힘껏,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,나빠져,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,봐,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ah,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,uhm,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,no,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,그런,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,니가,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,변해갈,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,때,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,짜릿하지,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,아all,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,ey,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,oh,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,my,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,god,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,아all,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,bad,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,boy,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,아all,ko
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,hes,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,a,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
RBB (Really Bad Boy) ,Red Velvet,2018-11-30,really,en
