title,artist,date,word,language
Rebirth (환생) ,Red Velvet,2017-08-18,태어난,ko
Rebirth (환생) ,Red Velvet,2017-08-18,것,ko
Rebirth (환생) ,Red Velvet,2017-08-18,같아요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,내,ko
Rebirth (환생) ,Red Velvet,2017-08-18,모든,ko
Rebirth (환생) ,Red Velvet,2017-08-18,게,ko
Rebirth (환생) ,Red Velvet,2017-08-18,다,ko
Rebirth (환생) ,Red Velvet,2017-08-18,달라졌어요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,그대,ko
Rebirth (환생) ,Red Velvet,2017-08-18,만난,ko
Rebirth (환생) ,Red Velvet,2017-08-18,후로,ko
Rebirth (환생) ,Red Velvet,2017-08-18,난,ko
Rebirth (환생) ,Red Velvet,2017-08-18,새사람이,ko
Rebirth (환생) ,Red Velvet,2017-08-18,됐어요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,우리,ko
Rebirth (환생) ,Red Velvet,2017-08-18,엄마가,ko
Rebirth (환생) ,Red Velvet,2017-08-18,제일,ko
Rebirth (환생) ,Red Velvet,2017-08-18,놀라요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,우선,ko
Rebirth (환생) ,Red Velvet,2017-08-18,아침,ko
Rebirth (환생) ,Red Velvet,2017-08-18,일찍,ko
Rebirth (환생) ,Red Velvet,2017-08-18,깨어나,ko
Rebirth (환생) ,Red Velvet,2017-08-18,그대가,ko
Rebirth (환생) ,Red Velvet,2017-08-18,권해주던,ko
Rebirth (환생) ,Red Velvet,2017-08-18,음악,ko
Rebirth (환생) ,Red Velvet,2017-08-18,틀죠,ko
Rebirth (환생) ,Red Velvet,2017-08-18,뭔지,ko
Rebirth (환생) ,Red Velvet,2017-08-18,잘,ko
Rebirth (환생) ,Red Velvet,2017-08-18,몰라도,ko
Rebirth (환생) ,Red Velvet,2017-08-18,난,ko
Rebirth (환생) ,Red Velvet,2017-08-18,그,ko
Rebirth (환생) ,Red Velvet,2017-08-18,음악이,ko
Rebirth (환생) ,Red Velvet,2017-08-18,좋아요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,제목도,ko
Rebirth (환생) ,Red Velvet,2017-08-18,외기,ko
Rebirth (환생) ,Red Velvet,2017-08-18,힘든,ko
Rebirth (환생) ,Red Velvet,2017-08-18,그,ko
Rebirth (환생) ,Red Velvet,2017-08-18,노래,ko
Rebirth (환생) ,Red Velvet,2017-08-18,할,ko
Rebirth (환생) ,Red Velvet,2017-08-18,때도,ko
Rebirth (환생) ,Red Velvet,2017-08-18,안된,ko
Rebirth (환생) ,Red Velvet,2017-08-18,샤워를,ko
Rebirth (환생) ,Red Velvet,2017-08-18,하며,ko
Rebirth (환생) ,Red Velvet,2017-08-18,그,ko
Rebirth (환생) ,Red Velvet,2017-08-18,멜로딜,ko
Rebirth (환생) ,Red Velvet,2017-08-18,따라,ko
Rebirth (환생) ,Red Velvet,2017-08-18,해요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,늘,ko
Rebirth (환생) ,Red Velvet,2017-08-18,힘들었던,ko
Rebirth (환생) ,Red Velvet,2017-08-18,나의,ko
Rebirth (환생) ,Red Velvet,2017-08-18,아침이,ko
Rebirth (환생) ,Red Velvet,2017-08-18,이렇게,ko
Rebirth (환생) ,Red Velvet,2017-08-18,즐거울,ko
Rebirth (환생) ,Red Velvet,2017-08-18,수,ko
Rebirth (환생) ,Red Velvet,2017-08-18,있나요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,오,ko
Rebirth (환생) ,Red Velvet,2017-08-18,놀라워라,ko
Rebirth (환생) ,Red Velvet,2017-08-18,그대,ko
Rebirth (환생) ,Red Velvet,2017-08-18,향한,ko
Rebirth (환생) ,Red Velvet,2017-08-18,내,ko
Rebirth (환생) ,Red Velvet,2017-08-18,마음,ko
Rebirth (환생) ,Red Velvet,2017-08-18,오,ko
Rebirth (환생) ,Red Velvet,2017-08-18,새로워라,ko
Rebirth (환생) ,Red Velvet,2017-08-18,처음,ko
Rebirth (환생) ,Red Velvet,2017-08-18,보는,ko
Rebirth (환생) ,Red Velvet,2017-08-18,내,ko
Rebirth (환생) ,Red Velvet,2017-08-18,모습,ko
Rebirth (환생) ,Red Velvet,2017-08-18,매일,ko
Rebirth (환생) ,Red Velvet,2017-08-18,이렇다면,ko
Rebirth (환생) ,Red Velvet,2017-08-18,모진,ko
Rebirth (환생) ,Red Velvet,2017-08-18,이,ko
Rebirth (환생) ,Red Velvet,2017-08-18,세상도,ko
Rebirth (환생) ,Red Velvet,2017-08-18,참,ko
Rebirth (환생) ,Red Velvet,2017-08-18,살아갈,ko
Rebirth (환생) ,Red Velvet,2017-08-18,만할,ko
Rebirth (환생) ,Red Velvet,2017-08-18,거예요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,전철,ko
Rebirth (환생) ,Red Velvet,2017-08-18,안에,ko
Rebirth (환생) ,Red Velvet,2017-08-18,멋진,ko
Rebirth (환생) ,Red Velvet,2017-08-18,오빠들,ko
Rebirth (환생) ,Red Velvet,2017-08-18,이제는,ko
Rebirth (환생) ,Red Velvet,2017-08-18,쳐다보지,ko
Rebirth (환생) ,Red Velvet,2017-08-18,않아요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,몇,ko
Rebirth (환생) ,Red Velvet,2017-08-18,정거장,ko
Rebirth (환생) ,Red Velvet,2017-08-18,지나면,ko
Rebirth (환생) ,Red Velvet,2017-08-18,그댈,ko
Rebirth (환생) ,Red Velvet,2017-08-18,만나게,ko
Rebirth (환생) ,Red Velvet,2017-08-18,돼요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,차창에,ko
Rebirth (환생) ,Red Velvet,2017-08-18,비친,ko
Rebirth (환생) ,Red Velvet,2017-08-18,내,ko
Rebirth (환생) ,Red Velvet,2017-08-18,얼굴,ko
Rebirth (환생) ,Red Velvet,2017-08-18,웃네요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,관심도,ko
Rebirth (환생) ,Red Velvet,2017-08-18,없던,ko
Rebirth (환생) ,Red Velvet,2017-08-18,꽃가게에서,ko
Rebirth (환생) ,Red Velvet,2017-08-18,발길이,ko
Rebirth (환생) ,Red Velvet,2017-08-18,멈춰져요,ko
Rebirth (환생) ,Red Velvet,2017-08-18,주머니,ko
Rebirth (환생) ,Red Velvet,2017-08-18,털어,ko
Rebirth (환생) ,Red Velvet,2017-08-18,한,ko
Rebirth (환생) ,Red Velvet,2017-08-18,다발,ko
Rebirth (환생) ,Red Velvet,2017-08-18,샀죠,ko
Rebirth (환생) ,Red Velvet,2017-08-18,오늘은,ko
