title,artist,date,word,language
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,빨간,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,맛,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,궁금해,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,honey,en
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,아all,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,깨물면,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,점점,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,녹아든,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,아all,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,strawberry,en
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,그,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,맛,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,슬all,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,corner,en
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,candy,en
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,shop,en
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,찾아,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,봐,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,baby,en
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,슬all,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,내가,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,제일,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,좋아하는,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,건,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,여름,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,그,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,맛,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,야자나무,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,그늘,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,아래,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,졸고,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,싶고,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,뜨거운,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,여름밤의,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,바람은,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,불고,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,너무,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,쉽게,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,사랑,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,빠져,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,버릴,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,나인틴,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,우린,ko
Red Flavor (빨간 맛) ,Red Velvet,2017-07-09,제법,ko
