title,artist,date,word,language
Rookie ,Red Velvet,2017-01-31,alright,en
Rookie ,Red Velvet,2017-01-31,1,en
Rookie ,Red Velvet,2017-01-31,2,en
Rookie ,Red Velvet,2017-01-31,당당히,ko
Rookie ,Red Velvet,2017-01-31,넌,ko
Rookie ,Red Velvet,2017-01-31,고개를,ko
Rookie ,Red Velvet,2017-01-31,들고,ko
Rookie ,Red Velvet,2017-01-31,나를,ko
Rookie ,Red Velvet,2017-01-31,봐,ko
Rookie ,Red Velvet,2017-01-31,역시,ko
Rookie ,Red Velvet,2017-01-31,rookie,en
Rookie ,Red Velvet,2017-01-31,rookie,en
Rookie ,Red Velvet,2017-01-31,my,en
Rookie ,Red Velvet,2017-01-31,super,en
Rookie ,Red Velvet,2017-01-31,rookie,en
Rookie ,Red Velvet,2017-01-31,rookie,en
Rookie ,Red Velvet,2017-01-31,boy,en
Rookie ,Red Velvet,2017-01-31,좋아,ko
Rookie ,Red Velvet,2017-01-31,볼,ko
Rookie ,Red Velvet,2017-01-31,때마다,ko
Rookie ,Red Velvet,2017-01-31,진짜,ko
Rookie ,Red Velvet,2017-01-31,넌,ko
Rookie ,Red Velvet,2017-01-31,내,ko
Rookie ,Red Velvet,2017-01-31,type,en
Rookie ,Red Velvet,2017-01-31,역시,ko
Rookie ,Red Velvet,2017-01-31,rookie,en
Rookie ,Red Velvet,2017-01-31,rookie,en
Rookie ,Red Velvet,2017-01-31,my,en
Rookie ,Red Velvet,2017-01-31,super,en
Rookie ,Red Velvet,2017-01-31,rookie,en
Rookie ,Red Velvet,2017-01-31,rookie,en
Rookie ,Red Velvet,2017-01-31,boy,en
Rookie ,Red Velvet,2017-01-31,ha,en
Rookie ,Red Velvet,2017-01-31,이토록,ko
Rookie ,Red Velvet,2017-01-31,거센,ko
Rookie ,Red Velvet,2017-01-31,존재감,ko
Rookie ,Red Velvet,2017-01-31,난,ko
Rookie ,Red Velvet,2017-01-31,이미,ko
Rookie ,Red Velvet,2017-01-31,혹시나,ko
Rookie ,Red Velvet,2017-01-31,하는,ko
Rookie ,Red Velvet,2017-01-31,작은,ko
Rookie ,Red Velvet,2017-01-31,의심조차,ko
Rookie ,Red Velvet,2017-01-31,못,ko
Rookie ,Red Velvet,2017-01-31,해,ko
Rookie ,Red Velvet,2017-01-31,즐기는,ko
Rookie ,Red Velvet,2017-01-31,척,ko
Rookie ,Red Velvet,2017-01-31,하하,ko
Rookie ,Red Velvet,2017-01-31,난,ko
Rookie ,Red Velvet,2017-01-31,웃어,ko
Rookie ,Red Velvet,2017-01-31,봐,ko
Rookie ,Red Velvet,2017-01-31,애써,ko
Rookie ,Red Velvet,2017-01-31,말투까지,ko
Rookie ,Red Velvet,2017-01-31,니,ko
Rookie ,Red Velvet,2017-01-31,앞에선,ko
Rookie ,Red Velvet,2017-01-31,마치,ko
Rookie ,Red Velvet,2017-01-31,ice같지,ko
