title,artist,date,word,language
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,hahaha,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,are,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,you,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,ready,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,for,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,this,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,zimzalabim,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,암거나,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,거나,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,거나,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,쫓다,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,지치지,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,마,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,늘,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,바라,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,바라,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,바라봤자,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,꿈이,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,아냐,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,널,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,꺼내,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,꺼내,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,꺼내,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,진짜,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,니,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,맘을,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,봐,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,뭘,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,원해,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,원해,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,원해,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,tell,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,me,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,신나는,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,하룰,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,만들어,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,볼까,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,네모난,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,지구,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,위로,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,걱정은,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,모두,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,던져,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,예all,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,nananana,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,nanananana,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,higher,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,입술에,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,피어나는,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,주문에,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,너를,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,맡겨,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,예all,ko
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,nananana,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,nanananana,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,ha,en
Zimzalabim (짐살라빔) ,Red Velvet,2019-06-19,아all,ko
