title,artist,date,word,language
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,싶지,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,않아,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,울고,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,싶지,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,않아,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,사랑해서,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,사랑한다는,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,말이,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,부족해서,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,그,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,어떤,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,말을,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,꺼내봐도,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,너,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,하나만,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,아끼던,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,날,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,두고서,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,어디,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,간,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,거니,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,내가,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,싫어,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,어어,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,져서,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,멀리,ko
Don't Wanna Cry (울고 싶지 않아) ,SEVENTEEN,2017-05-22,간,ko
