title,artist,date,word,language
HIT ,SEVENTEEN,2019-08-05,sound,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,sound,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,sound,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,hit,en
HIT ,SEVENTEEN,2019-08-05,sound,en
HIT ,SEVENTEEN,2019-08-05,yes,en
HIT ,SEVENTEEN,2019-08-05,im,en
HIT ,SEVENTEEN,2019-08-05,crazy,en
HIT ,SEVENTEEN,2019-08-05,더,ko
HIT ,SEVENTEEN,2019-08-05,미치는,ko
HIT ,SEVENTEEN,2019-08-05,중이야,ko
HIT ,SEVENTEEN,2019-08-05,if,en
HIT ,SEVENTEEN,2019-08-05,you,en
HIT ,SEVENTEEN,2019-08-05,can,en
HIT ,SEVENTEEN,2019-08-05,see,en
HIT ,SEVENTEEN,2019-08-05,나에게로,ko
HIT ,SEVENTEEN,2019-08-05,와,ko
HIT ,SEVENTEEN,2019-08-05,내일의,ko
HIT ,SEVENTEEN,2019-08-05,널,ko
HIT ,SEVENTEEN,2019-08-05,오늘이,ko
HIT ,SEVENTEEN,2019-08-05,만들,ko
HIT ,SEVENTEEN,2019-08-05,거야,ko
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,쇠뿔,ko
HIT ,SEVENTEEN,2019-08-05,달린,ko
HIT ,SEVENTEEN,2019-08-05,버펄로,ko
HIT ,SEVENTEEN,2019-08-05,오직,ko
HIT ,SEVENTEEN,2019-08-05,직진,ko
HIT ,SEVENTEEN,2019-08-05,들이받아,ko
HIT ,SEVENTEEN,2019-08-05,i,en
HIT ,SEVENTEEN,2019-08-05,want,en
HIT ,SEVENTEEN,2019-08-05,a,en
HIT ,SEVENTEEN,2019-08-05,new,en
HIT ,SEVENTEEN,2019-08-05,level,en
HIT ,SEVENTEEN,2019-08-05,세계는,ko
HIT ,SEVENTEEN,2019-08-05,모두,ko
HIT ,SEVENTEEN,2019-08-05,내게로,ko
HIT ,SEVENTEEN,2019-08-05,올라가,ko
HIT ,SEVENTEEN,2019-08-05,to,en
HIT ,SEVENTEEN,2019-08-05,the,en
HIT ,SEVENTEEN,2019-08-05,top,en
HIT ,SEVENTEEN,2019-08-05,이데아,ko
HIT ,SEVENTEEN,2019-08-05,이건,ko
HIT ,SEVENTEEN,2019-08-05,hit다,ko
HIT ,SEVENTEEN,2019-08-05,그렇다,ko
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
HIT ,SEVENTEEN,2019-08-05,wow,en
