title,artist,date,word,language
Mansae (만세) ,SEVENTEEN,2015-09-10,alright,en
Mansae (만세) ,SEVENTEEN,2015-09-10,say,en
Mansae (만세) ,SEVENTEEN,2015-09-10,the,en
Mansae (만세) ,SEVENTEEN,2015-09-10,name,en
Mansae (만세) ,SEVENTEEN,2015-09-10,seventeen,en
Mansae (만세) ,SEVENTEEN,2015-09-10,yep,en
Mansae (만세) ,SEVENTEEN,2015-09-10,내,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,맘,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,때리는,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,gesture,en
Mansae (만세) ,SEVENTEEN,2015-09-10,만세,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,삼창하지,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,백,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,번,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,but,en
Mansae (만세) ,SEVENTEEN,2015-09-10,깨고,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,나선,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,매번,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,say,en
Mansae (만세) ,SEVENTEEN,2015-09-10,im,en
Mansae (만세) ,SEVENTEEN,2015-09-10,so,en
Mansae (만세) ,SEVENTEEN,2015-09-10,stupid,en
Mansae (만세) ,SEVENTEEN,2015-09-10,꿈,en
Mansae (만세) ,SEVENTEEN,2015-09-10,속에선,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,매일,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,매일,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,ah,en
Mansae (만세) ,SEVENTEEN,2015-09-10,ha,en
Mansae (만세) ,SEVENTEEN,2015-09-10,네가,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,내,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,왼팔에,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,팔짱,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,끼지,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,꿈만,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,깨면,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,왜이래,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,ah,en
Mansae (만세) ,SEVENTEEN,2015-09-10,ha,en
Mansae (만세) ,SEVENTEEN,2015-09-10,마치,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,영희,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,없는,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,철수,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,같이,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,어떡해,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,아,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,머리,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,속에,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,가득,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,할말이,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,많은데,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,누가,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,대신,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,말,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,좀,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,해줘,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,vernon,en
Mansae (만세) ,SEVENTEEN,2015-09-10,lets,en
Mansae (만세) ,SEVENTEEN,2015-09-10,go,en
Mansae (만세) ,SEVENTEEN,2015-09-10,uh,en
Mansae (만세) ,SEVENTEEN,2015-09-10,그녀를,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,노렸어,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,내가,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,한번,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,찍었으면,ko
Mansae (만세) ,SEVENTEEN,2015-09-10,yeah,en
Mansae (만세) ,SEVENTEEN,2015-09-10,i,en
Mansae (만세) ,SEVENTEEN,2015-09-10,gotta,en
Mansae (만세) ,SEVENTEEN,2015-09-10,slam,en
Mansae (만세) ,SEVENTEEN,2015-09-10,dunk,en
Mansae (만세) ,SEVENTEEN,2015-09-10,너만,ko
