title,artist,date,word,language
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,밤은,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,deep,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,deep,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,켜져,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,있는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,tv,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,시끄럽지,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,맘처럼,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,대체,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어떠한,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이유로,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,맘을,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,껐다,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,켰다,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,멋대론지,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그게,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,싫다는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,게,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,아니고,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,혹시,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너무,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,피곤할까,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,봐,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,걱정돼서,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그렇지,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,맘이,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그래,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,나는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너면,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,need,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,no,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,other,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,마치,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,찌더움이,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,없는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,summer,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,여태,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,느껴왔던,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,쓸쓸함의,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,온점,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,생각에,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,잠,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,못,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,자다가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,보면,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,오전,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이런,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너를,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너를,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,봐도,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,더,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,생각나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내게,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,유일한,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그대를,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,때문에,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이제,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,빼곡히,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,좋은,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,걸,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그대는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어떤가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,때문에,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,잠들기,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,힘들까,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,쉴,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,틈,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,없이,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,설레게,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,하면,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,저쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,하루가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,멀다,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,하고,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,좋아져,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,성격이,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,덜렁대고,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,좀,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,물러서,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그치만,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,널,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,위해서,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,절대로,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,안,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,물러서,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,같이,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,부르자,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,um,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,콧노래,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,하나씩,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이어폰을,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,나눠,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,끼니,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,사이가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,좋으네,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,두뇌,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,스케치,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,위에,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너를,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그려,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,뭐라는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,거야,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,암튼,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,나는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그냥,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,좋아,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,아까부터,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,같은,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,말,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,계속해서,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,미안해,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그치만,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이게,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,다야,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,별,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어려운,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,말,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,다,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,해봐도,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,진심은,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이게,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,every,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,everything,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이런,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너를,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너를,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,봐도,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,더,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,생각나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,모든,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,게,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,꿈이면,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,정말,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그대를,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,때문에,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이제,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,빼곡히,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,좋은,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,걸,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그대는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어떤가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,때문에,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,잠들기,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,힘들까,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,쉴,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,틈,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,없이,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,설레게,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,하면,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,i,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,really,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,like,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,you,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,oh,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,oh,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,oh,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,oh,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,better,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,tell,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,yeah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,better,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,tell,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,somebody,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,oh,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,oh,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,oh,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,oh,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,youre,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,all,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,mine,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,밝은,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,넌,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,우주,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,저,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,끝까지,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,닿을,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,만큼,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,더,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,빛나는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,없음,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,woo,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,baby,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그대를,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,너,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,때문에,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,이제,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,빼곡히,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,ah,en
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,매일,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,좋은,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,걸,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어쩌나,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,그대는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,어떤가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,내,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,마음을,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,알기는,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,아는가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,난,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,네가,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,없음,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,안,ko
Oh My! (어쩌나) ,SEVENTEEN,2018-07-16,되는데,ko
