title,artist,date,word,language
1 of 1 ,SHINee,2016-10-04,1분,ko
1 of 1 ,SHINee,2016-10-04,1초,ko
1 of 1 ,SHINee,2016-10-04,다르듯,ko
1 of 1 ,SHINee,2016-10-04,날마다,ko
1 of 1 ,SHINee,2016-10-04,넌,ko
1 of 1 ,SHINee,2016-10-04,새로워져,ko
1 of 1 ,SHINee,2016-10-04,하나,ko
1 of 1 ,SHINee,2016-10-04,중에,ko
1 of 1 ,SHINee,2016-10-04,그중에,ko
1 of 1 ,SHINee,2016-10-04,제일,ko
1 of 1 ,SHINee,2016-10-04,첫,ko
1 of 1 ,SHINee,2016-10-04,번째,ko
1 of 1 ,SHINee,2016-10-04,유일하단,ko
1 of 1 ,SHINee,2016-10-04,뜻인,ko
1 of 1 ,SHINee,2016-10-04,거야,ko
1 of 1 ,SHINee,2016-10-04,너,ko
1 of 1 ,SHINee,2016-10-04,나를,ko
1 of 1 ,SHINee,2016-10-04,부르는,ko
1 of 1 ,SHINee,2016-10-04,네,ko
1 of 1 ,SHINee,2016-10-04,목소리,ko
1 of 1 ,SHINee,2016-10-04,사뿐하게,ko
1 of 1 ,SHINee,2016-10-04,다가와서,ko
1 of 1 ,SHINee,2016-10-04,내,ko
1 of 1 ,SHINee,2016-10-04,귓가에,ko
1 of 1 ,SHINee,2016-10-04,미끄러져,ko
1 of 1 ,SHINee,2016-10-04,손에,ko
1 of 1 ,SHINee,2016-10-04,감겨오는,ko
1 of 1 ,SHINee,2016-10-04,네,ko
1 of 1 ,SHINee,2016-10-04,손길이,ko
1 of 1 ,SHINee,2016-10-04,처음,ko
1 of 1 ,SHINee,2016-10-04,만나는,ko
1 of 1 ,SHINee,2016-10-04,저,ko
1 of 1 ,SHINee,2016-10-04,눈부신,ko
1 of 1 ,SHINee,2016-10-04,세상으로,ko
1 of 1 ,SHINee,2016-10-04,나를,ko
1 of 1 ,SHINee,2016-10-04,이끌어,ko
1 of 1 ,SHINee,2016-10-04,넌,ko
1 of 1 ,SHINee,2016-10-04,1,en
1 of 1 ,SHINee,2016-10-04,of,en
1 of 1 ,SHINee,2016-10-04,1,en
1 of 1 ,SHINee,2016-10-04,girl,en
1 of 1 ,SHINee,2016-10-04,오직,ko
1 of 1 ,SHINee,2016-10-04,하나,ko
1 of 1 ,SHINee,2016-10-04,틀림없이,ko
1 of 1 ,SHINee,2016-10-04,나의,ko
1 of 1 ,SHINee,2016-10-04,답인,ko
1 of 1 ,SHINee,2016-10-04,너,ko
1 of 1 ,SHINee,2016-10-04,넌,ko
1 of 1 ,SHINee,2016-10-04,1,en
1 of 1 ,SHINee,2016-10-04,of,en
1 of 1 ,SHINee,2016-10-04,1,en
1 of 1 ,SHINee,2016-10-04,girl,en
1 of 1 ,SHINee,2016-10-04,완벽해,ko
