title,artist,date,word,language
Countless (셀 수 없는) ,SHINee,2018-09-10,다가서면,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,두,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,발,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,물러서고,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,셋을,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,주고,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,나면,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,넷을,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,기대하고,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,우릴,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,계산하며,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,너를,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,떠날,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,때를,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,기다린,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,건지,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,몰라,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,너를,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,원망하고,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,네게,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,투정하고,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,몹쓸,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,이율,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,대고,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,이내,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,포기하고,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,손을,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,꼽아가며,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,너와,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,다른,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,점을,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,세왔던,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,건지,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,몰라,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,어쩌면,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,난,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,너,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,아닌,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,또,en
Countless (셀 수 없는) ,SHINee,2018-09-10,다른,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,꿈을,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,꾼,ko
Countless (셀 수 없는) ,SHINee,2018-09-10,지,ko
