title,artist,date,word,language
Dream Girl ,SHINee,2013-02-19,어디서부터,ko
Dream Girl ,SHINee,2013-02-19,시작됐는지,ko
Dream Girl ,SHINee,2013-02-19,그게,ko
Dream Girl ,SHINee,2013-02-19,중요한,ko
Dream Girl ,SHINee,2013-02-19,게,ko
Dream Girl ,SHINee,2013-02-19,아냐,ko
Dream Girl ,SHINee,2013-02-19,지금,ko
Dream Girl ,SHINee,2013-02-19,내,ko
Dream Girl ,SHINee,2013-02-19,눈엔,ko
Dream Girl ,SHINee,2013-02-19,너무,ko
Dream Girl ,SHINee,2013-02-19,완벽한,ko
Dream Girl ,SHINee,2013-02-19,니,ko
Dream Girl ,SHINee,2013-02-19,모습만,ko
Dream Girl ,SHINee,2013-02-19,보이는,ko
Dream Girl ,SHINee,2013-02-19,걸,ko
Dream Girl ,SHINee,2013-02-19,회색,ko
Dream Girl ,SHINee,2013-02-19,빛,ko
Dream Girl ,SHINee,2013-02-19,이,ko
Dream Girl ,SHINee,2013-02-19,세상에,ko
Dream Girl ,SHINee,2013-02-19,니,ko
Dream Girl ,SHINee,2013-02-19,입술만,ko
Dream Girl ,SHINee,2013-02-19,붉게,ko
Dream Girl ,SHINee,2013-02-19,빛나,ko
Dream Girl ,SHINee,2013-02-19,입을,ko
Dream Girl ,SHINee,2013-02-19,맞추려던,ko
Dream Girl ,SHINee,2013-02-19,그,ko
Dream Girl ,SHINee,2013-02-19,순간,ko
Dream Girl ,SHINee,2013-02-19,키태,ko
Dream Girl ,SHINee,2013-02-19,또,en
Dream Girl ,SHINee,2013-02-19,꿈에서,ko
Dream Girl ,SHINee,2013-02-19,깨네,ko
Dream Girl ,SHINee,2013-02-19,아직도,ko
Dream Girl ,SHINee,2013-02-19,니,ko
Dream Girl ,SHINee,2013-02-19,얼굴이,ko
Dream Girl ,SHINee,2013-02-19,이렇게,ko
Dream Girl ,SHINee,2013-02-19,생생한데,ko
Dream Girl ,SHINee,2013-02-19,잡았던,ko
Dream Girl ,SHINee,2013-02-19,손의,ko
Dream Girl ,SHINee,2013-02-19,온기가,ko
Dream Girl ,SHINee,2013-02-19,이렇게,ko
Dream Girl ,SHINee,2013-02-19,따스한데,ko
Dream Girl ,SHINee,2013-02-19,밤이면,ko
Dream Girl ,SHINee,2013-02-19,내게,ko
Dream Girl ,SHINee,2013-02-19,다가와,ko
Dream Girl ,SHINee,2013-02-19,아침이,ko
Dream Girl ,SHINee,2013-02-19,되면,ko
Dream Girl ,SHINee,2013-02-19,사라져,ko
Dream Girl ,SHINee,2013-02-19,매일,ko
Dream Girl ,SHINee,2013-02-19,이렇게,ko
Dream Girl ,SHINee,2013-02-19,똑같이,ko
Dream Girl ,SHINee,2013-02-19,너를,ko
Dream Girl ,SHINee,2013-02-19,보낼,ko
Dream Girl ,SHINee,2013-02-19,순,ko
Dream Girl ,SHINee,2013-02-19,없는데,ko
Dream Girl ,SHINee,2013-02-19,baby,en
Dream Girl ,SHINee,2013-02-19,모두,ko
Dream Girl ,SHINee,2013-02-19,꿈인,ko
Dream Girl ,SHINee,2013-02-19,걸,ko
Dream Girl ,SHINee,2013-02-19,알지만,ko
Dream Girl ,SHINee,2013-02-19,baby,en
Dream Girl ,SHINee,2013-02-19,oh,en
Dream Girl ,SHINee,2013-02-19,제발,ko
Dream Girl ,SHINee,2013-02-19,날,ko
Dream Girl ,SHINee,2013-02-19,떠나지,ko
Dream Girl ,SHINee,2013-02-19,말아,ko
Dream Girl ,SHINee,2013-02-19,dream,en
Dream Girl ,SHINee,2013-02-19,girl,en
Dream Girl ,SHINee,2013-02-19,손에,ko
Dream Girl ,SHINee,2013-02-19,잡힐,ko
Dream Girl ,SHINee,2013-02-19,듯,ko
Dream Girl ,SHINee,2013-02-19,잡히지,ko
Dream Girl ,SHINee,2013-02-19,않는,ko
Dream Girl ,SHINee,2013-02-19,dream,en
Dream Girl ,SHINee,2013-02-19,girl,en
Dream Girl ,SHINee,2013-02-19,매일,ko
Dream Girl ,SHINee,2013-02-19,밤,ko
Dream Girl ,SHINee,2013-02-19,이렇게,ko
Dream Girl ,SHINee,2013-02-19,널,ko
Dream Girl ,SHINee,2013-02-19,기다려,ko
Dream Girl ,SHINee,2013-02-19,dream,en
Dream Girl ,SHINee,2013-02-19,girl,en
Dream Girl ,SHINee,2013-02-19,달콤히,ko
Dream Girl ,SHINee,2013-02-19,사랑을,ko
Dream Girl ,SHINee,2013-02-19,속삭이고,ko
Dream Girl ,SHINee,2013-02-19,아침이,ko
Dream Girl ,SHINee,2013-02-19,되면,ko
Dream Girl ,SHINee,2013-02-19,사라질,ko
Dream Girl ,SHINee,2013-02-19,dream,en
Dream Girl ,SHINee,2013-02-19,girl,en
Dream Girl ,SHINee,2013-02-19,잠깐만,ko
Dream Girl ,SHINee,2013-02-19,멈춰서,ko
Dream Girl ,SHINee,2013-02-19,이건,ko
Dream Girl ,SHINee,2013-02-19,꿈이,ko
Dream Girl ,SHINee,2013-02-19,아닌데,ko
Dream Girl ,SHINee,2013-02-19,눈부신,ko
Dream Girl ,SHINee,2013-02-19,그,ko
Dream Girl ,SHINee,2013-02-19,미소,ko
Dream Girl ,SHINee,2013-02-19,이건,ko
Dream Girl ,SHINee,2013-02-19,니가,ko
Dream Girl ,SHINee,2013-02-19,확실해,ko
