title,artist,date,word,language
Everybody ,SHINee,2013-10-11,wake,en
Everybody ,SHINee,2013-10-11,up,en
Everybody ,SHINee,2013-10-11,wake,en
Everybody ,SHINee,2013-10-11,up,en
Everybody ,SHINee,2013-10-11,해가,ko
Everybody ,SHINee,2013-10-11,뜬다,ko
Everybody ,SHINee,2013-10-11,everybody,en
Everybody ,SHINee,2013-10-11,해가,ko
Everybody ,SHINee,2013-10-11,뜬다,ko
Everybody ,SHINee,2013-10-11,everybody,en
Everybody ,SHINee,2013-10-11,everyeverybody,en
Everybody ,SHINee,2013-10-11,everybody,en
Everybody ,SHINee,2013-10-11,everybody,en
Everybody ,SHINee,2013-10-11,everyeverybody,en
Everybody ,SHINee,2013-10-11,잠든,ko
Everybody ,SHINee,2013-10-11,이,ko
Everybody ,SHINee,2013-10-11,밤을,ko
Everybody ,SHINee,2013-10-11,깨워,ko
Everybody ,SHINee,2013-10-11,늘,ko
Everybody ,SHINee,2013-10-11,어른스런,ko
Everybody ,SHINee,2013-10-11,가면,ko
Everybody ,SHINee,2013-10-11,뒤에,ko
Everybody ,SHINee,2013-10-11,가려져,ko
Everybody ,SHINee,2013-10-11,있는,ko
Everybody ,SHINee,2013-10-11,소녀의,ko
Everybody ,SHINee,2013-10-11,눈빛과,ko
Everybody ,SHINee,2013-10-11,같은,ko
Everybody ,SHINee,2013-10-11,반짝임,ko
Everybody ,SHINee,2013-10-11,눈부셔,ko
Everybody ,SHINee,2013-10-11,한,ko
Everybody ,SHINee,2013-10-11,번쯤,ko
Everybody ,SHINee,2013-10-11,철,ko
Everybody ,SHINee,2013-10-11,없이,ko
Everybody ,SHINee,2013-10-11,굴고,ko
Everybody ,SHINee,2013-10-11,싶었을,ko
Everybody ,SHINee,2013-10-11,걸,ko
Everybody ,SHINee,2013-10-11,니,ko
Everybody ,SHINee,2013-10-11,가슴,ko
Everybody ,SHINee,2013-10-11,안에,ko
Everybody ,SHINee,2013-10-11,사는,ko
Everybody ,SHINee,2013-10-11,너를,ko
Everybody ,SHINee,2013-10-11,닮은,ko
Everybody ,SHINee,2013-10-11,그,ko
Everybody ,SHINee,2013-10-11,애처럼,ko
Everybody ,SHINee,2013-10-11,이,ko
Everybody ,SHINee,2013-10-11,밤의,ko
Everybody ,SHINee,2013-10-11,틈새를,ko
Everybody ,SHINee,2013-10-11,파고든,ko
Everybody ,SHINee,2013-10-11,순간,ko
Everybody ,SHINee,2013-10-11,첨,ko
Everybody ,SHINee,2013-10-11,듣는,ko
Everybody ,SHINee,2013-10-11,리듬이,ko
Everybody ,SHINee,2013-10-11,널,ko
Everybody ,SHINee,2013-10-11,찾아,ko
Everybody ,SHINee,2013-10-11,간,ko
Everybody ,SHINee,2013-10-11,시간,ko
Everybody ,SHINee,2013-10-11,난,ko
Everybody ,SHINee,2013-10-11,마치,ko
Everybody ,SHINee,2013-10-11,피리,ko
Everybody ,SHINee,2013-10-11,부는,ko
Everybody ,SHINee,2013-10-11,사내처럼,ko
