title,artist,date,word,language
I Want You ,SHINee,2018-06-11,빠져,ko
I Want You ,SHINee,2018-06-11,까만,ko
I Want You ,SHINee,2018-06-11,선율이,ko
I Want You ,SHINee,2018-06-11,번져,ko
I Want You ,SHINee,2018-06-11,나의,ko
I Want You ,SHINee,2018-06-11,너를,ko
I Want You ,SHINee,2018-06-11,그려내,ko
I Want You ,SHINee,2018-06-11,잊혀졌던,ko
I Want You ,SHINee,2018-06-11,memory,en
I Want You ,SHINee,2018-06-11,조각,ko
I Want You ,SHINee,2018-06-11,같은,ko
I Want You ,SHINee,2018-06-11,눈물이,ko
I Want You ,SHINee,2018-06-11,되감아,ko
I Want You ,SHINee,2018-06-11,지길,ko
I Want You ,SHINee,2018-06-11,바래,ko
I Want You ,SHINee,2018-06-11,두,ko
I Want You ,SHINee,2018-06-11,눈,ko
I Want You ,SHINee,2018-06-11,감아,ko
I Want You ,SHINee,2018-06-11,oh,en
I Want You ,SHINee,2018-06-11,na,en
I Want You ,SHINee,2018-06-11,na,en
I Want You ,SHINee,2018-06-11,na,en
I Want You ,SHINee,2018-06-11,꿈이라도,ko
I Want You ,SHINee,2018-06-11,좋으니,ko
I Want You ,SHINee,2018-06-11,너를,ko
I Want You ,SHINee,2018-06-11,내게,ko
I Want You ,SHINee,2018-06-11,보여줘,ko
I Want You ,SHINee,2018-06-11,널,ko
I Want You ,SHINee,2018-06-11,불러,ko
I Want You ,SHINee,2018-06-11,oh,en
I Want You ,SHINee,2018-06-11,na,en
I Want You ,SHINee,2018-06-11,na,en
I Want You ,SHINee,2018-06-11,na,en
I Want You ,SHINee,2018-06-11,긴,ko
I Want You ,SHINee,2018-06-11,시간,ko
I Want You ,SHINee,2018-06-11,넘어,ko
I Want You ,SHINee,2018-06-11,다시,ko
I Want You ,SHINee,2018-06-11,이곳으로,ko
I Want You ,SHINee,2018-06-11,태all,ko
I Want You ,SHINee,2018-06-11,i,en
I Want You ,SHINee,2018-06-11,want,en
I Want You ,SHINee,2018-06-11,you,en
I Want You ,SHINee,2018-06-11,태all,ko
I Want You ,SHINee,2018-06-11,눈앞에,ko
I Want You ,SHINee,2018-06-11,니가,ko
I Want You ,SHINee,2018-06-11,다시,ko
I Want You ,SHINee,2018-06-11,다가와,ko
I Want You ,SHINee,2018-06-11,태all,ko
