title,artist,date,word,language
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,떨어져,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,깨질듯,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,한,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,투명한,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,네게,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,달콤한,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,독물,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,퍼지듯,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,하얗게,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,얼어붙은,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,내,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,오랜,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,상처가,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,너의,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,가슴속,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,깊게,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,퍼져도,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,"",en
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,민,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,"",en
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,태,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,"",en
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,잡은,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,듯,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,할,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,때,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,파고드는,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,"",en
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,민,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,"",en
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,태,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,"",en
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,크롬의,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,비늘,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,날카로움,ko
Love Like Oxygen (산소 같은 너) ,SHINee,2012-04-25,산소,ko
