title,artist,date,word,language
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,있어,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,보이지,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,않는,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,실,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,같은,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,투명한,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,마음이,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,oh,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,말을,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,걸어,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,다짐해,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,저,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,하늘에,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,그,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,어떤,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,힘든,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,길이라도,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,계속,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,갈게,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,oh,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,함께,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,걸어온,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,길,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,위에,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,다시,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,서보면,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,다섯,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,겹,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,포개진,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,손과,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,눈물과,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,기억,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,너무,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,또렷해,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,잊고,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,싶지,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,않아,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,잊을,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,수,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,없어,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,네가,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,남겨둔,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,예쁜,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,말들은,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,한,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,편의,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,시가,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,되어,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,노래가,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,되고,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,목소리,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,날아,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,너,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,있는,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,곳에,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,닿을,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,거란,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,걸,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,우린,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,알잖아,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,별이,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,사라진다면,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,모두,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,잊혀질까,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,소중했던,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,널,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,안아,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,내,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,품에,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,끝나지,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,않은,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,이,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,소설의,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,페이지,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,마지막까지,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,함께,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,채울래,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,보고,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,싶다,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,말해보지만,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,빈,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,마음,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,채워지지가,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,않는,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,오늘,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,밤,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,oh,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,서로를,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,마주해,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,우린,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,늘,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,여전해,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,yeah,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,오늘도,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,꿈을,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,꾸는,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,소년들,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,같네,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,네가,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,남겨둔,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,예쁜,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,말들은,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,oh,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,you,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,are,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,baby,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,한,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,편의,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,시가,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,되어,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,노래가,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,되고,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,노래가,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,되고,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,목소리,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,날아,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,너,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,있는,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,곳에,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,oh,en
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,닿을,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,거란,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,걸,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,우린,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,알잖아,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,우린,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,알아,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,별이,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,사라진다면,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,모두,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,잊혀질까,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,잊혀질까,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,소중했던,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,널,ko
Our Page (네가 남겨둔 말) ,SHINee,2018-06-25,안아,ko
