title,artist,date,word,language
Tell Me What To Do ,SHINee,2016-11-14,what,en
Tell Me What To Do ,SHINee,2016-11-14,to,en
Tell Me What To Do ,SHINee,2016-11-14,do,en
Tell Me What To Do ,SHINee,2016-11-14,tell,en
Tell Me What To Do ,SHINee,2016-11-14,me,en
Tell Me What To Do ,SHINee,2016-11-14,what,en
Tell Me What To Do ,SHINee,2016-11-14,to,en
Tell Me What To Do ,SHINee,2016-11-14,do,en
Tell Me What To Do ,SHINee,2016-11-14,whoa,en
Tell Me What To Do ,SHINee,2016-11-14,tell,en
Tell Me What To Do ,SHINee,2016-11-14,me,en
Tell Me What To Do ,SHINee,2016-11-14,what,en
Tell Me What To Do ,SHINee,2016-11-14,to,en
Tell Me What To Do ,SHINee,2016-11-14,do,en
Tell Me What To Do ,SHINee,2016-11-14,tell,en
Tell Me What To Do ,SHINee,2016-11-14,me,en
Tell Me What To Do ,SHINee,2016-11-14,what,en
Tell Me What To Do ,SHINee,2016-11-14,to,en
Tell Me What To Do ,SHINee,2016-11-14,do,en
Tell Me What To Do ,SHINee,2016-11-14,whoa,en
Tell Me What To Do ,SHINee,2016-11-14,요즘,ko
Tell Me What To Do ,SHINee,2016-11-14,난,ko
Tell Me What To Do ,SHINee,2016-11-14,i,en
Tell Me What To Do ,SHINee,2016-11-14,dont,en
Tell Me What To Do ,SHINee,2016-11-14,know,en
Tell Me What To Do ,SHINee,2016-11-14,i,en
Tell Me What To Do ,SHINee,2016-11-14,dont,en
Tell Me What To Do ,SHINee,2016-11-14,know,en
Tell Me What To Do ,SHINee,2016-11-14,you,en
Tell Me What To Do ,SHINee,2016-11-14,많은,ko
Tell Me What To Do ,SHINee,2016-11-14,걸,ko
Tell Me What To Do ,SHINee,2016-11-14,포기한,ko
Tell Me What To Do ,SHINee,2016-11-14,듯한,ko
Tell Me What To Do ,SHINee,2016-11-14,눈빛,ko
Tell Me What To Do ,SHINee,2016-11-14,하지만,ko
Tell Me What To Do ,SHINee,2016-11-14,들려,ko
Tell Me What To Do ,SHINee,2016-11-14,무언의,ko
Tell Me What To Do ,SHINee,2016-11-14,외침,ko
Tell Me What To Do ,SHINee,2016-11-14,tell,en
Tell Me What To Do ,SHINee,2016-11-14,me,en
Tell Me What To Do ,SHINee,2016-11-14,what,en
Tell Me What To Do ,SHINee,2016-11-14,to,en
Tell Me What To Do ,SHINee,2016-11-14,do,en
Tell Me What To Do ,SHINee,2016-11-14,극적인,ko
Tell Me What To Do ,SHINee,2016-11-14,전개도,ko
Tell Me What To Do ,SHINee,2016-11-14,없는,ko
Tell Me What To Do ,SHINee,2016-11-14,연인,ko
Tell Me What To Do ,SHINee,2016-11-14,시간이,ko
Tell Me What To Do ,SHINee,2016-11-14,두는,ko
Tell Me What To Do ,SHINee,2016-11-14,패착인,ko
Tell Me What To Do ,SHINee,2016-11-14,걸까,ko
Tell Me What To Do ,SHINee,2016-11-14,끝내지,ko
Tell Me What To Do ,SHINee,2016-11-14,않아도,ko
Tell Me What To Do ,SHINee,2016-11-14,이미,ko
Tell Me What To Do ,SHINee,2016-11-14,끝난,ko
Tell Me What To Do ,SHINee,2016-11-14,tell,en
Tell Me What To Do ,SHINee,2016-11-14,me,en
Tell Me What To Do ,SHINee,2016-11-14,what,en
Tell Me What To Do ,SHINee,2016-11-14,to,en
Tell Me What To Do ,SHINee,2016-11-14,do,en
Tell Me What To Do ,SHINee,2016-11-14,풀리지,ko
Tell Me What To Do ,SHINee,2016-11-14,않는,ko
Tell Me What To Do ,SHINee,2016-11-14,매듭은,ko
Tell Me What To Do ,SHINee,2016-11-14,우리,ko
Tell Me What To Do ,SHINee,2016-11-14,앞에,ko
Tell Me What To Do ,SHINee,2016-11-14,있는데,ko
Tell Me What To Do ,SHINee,2016-11-14,내가,ko
Tell Me What To Do ,SHINee,2016-11-14,먼저,ko
