title,artist,date,word,language
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,지난,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,새벽,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,진흙,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,속,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,눈,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,뜬,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,무언가,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,모두,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,나를,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,무서워했지,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,oh,en
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,yeah,en
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,앞으로,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,뻗은,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,두,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,팔,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,난,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,살아있는,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,워킹데드,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,그,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,숨은,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,차가웠지,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,숨,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,쉬는,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,게,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,지겨워질,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,쯤,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,그,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,때,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,그대,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,발견,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,so,en
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,shocked,en
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,why,en
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,so,en
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,serious,en
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,로미오와,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,줄리엣,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,슬픈,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,러브스토리가,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,아,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,아니야,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,다,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,잘,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,될,ko
Why So Serious? (Album & MV Versions) ,SHINee,2013-04-26,거야,ko
